id,lat,lon,type,highway,ref,name,source,source_ref,milepost:county,milepost:state,towards,is_in:state_code,old_ref,note:ref,unsigned_ref,noref,note,official_name,ref:left,ref:right,unsigned:ref,fixme,FIXME,source:imagery,noname,old_exit_to,destination,FIXME:ref,destination:ref,odbl,fuel:cng,source:exit_to,unsigned,noref:left,maxspeed,destination:street,check_date,unsigned_ref:right,tiger:reviewed,traffic_sign,traffic_sign:direction,ref:signed,status,exit_to,junction:ref,unsigned_ref:left,description,start_date,construction,proposed:highway
281266,37.558997,-122.3015709,node,motorway_junction,414B,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302889,37.3256491,-122.0507934,node,motorway_junction,18,Unnamed Exit,http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivenorth.pdf;http://www.dot.ca.gov/hq/traffops/signtech/calnexus/pdf/eightyfivesouth.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653731,34.0368014,-118.28685,node,motorway_junction,13A,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653744,34.030077,-118.2572282,node,motorway_junction,14B,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653772,34.0511029,-118.2139046,node,motorway_junction,135C,Unnamed Exit,usgs_imagery;survey;image,AM909_DSCV3511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653844,34.0635255,-117.81727,node,motorway_junction,41,Unnamed Exit,usgs_imagery;CDOT,,42.02,41.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653852,34.0727377,-117.7837196,node,motorway_junction,44,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660097,33.750405,-116.274197,node,motorway_junction,139,Unnamed Exit,survey;image;yahoo_imagery,AM909_DSCQ9140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661586,35.2609879,-116.0766791,node,motorway_junction,246,Unnamed Exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667802,34.1845821,-117.4338245,node,motorway_junction,119,Unnamed Exit,bing_imagery_0.25m_200601;survey;image,AM909_DSCX0016,12.84,119.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667816,34.1361671,-117.510738,node,motorway_junction,64A,Unnamed Exit,bing_imagery_0.06m_200706;survey;image,AM909_DSCY2058,11.65,63.80,Barstow;San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
