id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
281266,37.558997,-122.3015709,node,,,Unnamed Exit,,,414B,
302889,37.3256491,-122.0507934,node,,,Unnamed Exit,,,18,
653731,34.0368014,-118.28685,node,,,Unnamed Exit,,,13A,
653744,34.030077,-118.2572282,node,,,Unnamed Exit,,,14B,
653772,34.0511029,-118.2139046,node,,,Unnamed Exit,,,135C,
653844,34.0635255,-117.81727,node,,,Unnamed Exit,,,41,
653852,34.0727377,-117.7837196,node,,,Unnamed Exit,,,44,
660097,33.750405,-116.274197,node,,,Unnamed Exit,,,139,
661586,35.2609879,-116.0766791,node,,,Unnamed Exit,,,246,
667802,34.1845821,-117.4338245,node,,,Unnamed Exit,,,119,
667816,34.1361671,-117.510738,node,,,Unnamed Exit,,,64A,
667825,34.1346494,-117.6419393,node,,,Unnamed Exit,,,56,
667855,34.1201567,-117.6997866,node,,,Unnamed Exit,,,52,
667885,34.1197751,-117.7901155,node,,,Unnamed Exit,,,47,
667895,34.1209942,-117.8324762,node,,,Unnamed Exit,,,44B,
667897,34.1202098,-117.8369495,node,,,Unnamed Exit,,,44A,
667918,34.1208491,-117.8794968,node,,,Unnamed Exit,,,42,
667922,34.1208735,-117.8944726,node,,,Unnamed Exit,,,41,
668142,34.072529,-117.9996619,node,,,Unnamed Exit,,,22,
668182,33.927475,-118.1035122,node,,,Unnamed Exit,,,10,
668183,33.9237163,-118.104409,node,,,Unnamed Exit,,,,
10565341,34.0234837,-118.1727565,node,,,Unnamed Exit,,,19,
10565353,33.9347524,-118.1767682,node,,,Unnamed Exit,,,12B,
10683747,34.3200555,-118.4948647,node,,,Unnamed Exit,,,161A,
11931818,34.1491781,-118.0511656,node,,,Unnamed Exit,,,31,
13885935,34.0790025,-118.2274504,node,,,Unnamed Exit,,,,
14806184,34.4406357,-118.6001923,node,,,Unnamed Exit,,,172,
14840394,33.7611078,-117.863661,node,,,Unnamed Exit,,,105A,
14840398,33.7353994,-117.8186491,node,,,Unnamed Exit,,,101B,
14840399,33.7134232,-117.7865613,node,,,Unnamed Exit,,,99,
14920985,34.0946238,-118.2060777,node,,,Unnamed Exit,,,27,
14956244,34.1111627,-118.1815415,node,,,Unnamed Exit,,,,
14970639,33.7862564,-118.0937659,node,,,Unnamed Exit,,,23,
14974918,33.8818549,-118.191717,node,,,Unnamed Exit,,,8B,
14995402,34.0915116,-118.2397004,node,,,Unnamed Exit,,,138,
15068953,34.0655596,-118.164413,node,,,Unnamed Exit,,,,
15258878,33.8773112,-118.1352824,node,,,Unnamed Exit,,,15A,
15261772,34.0848833,-118.2193243,node,,,Unnamed Exit,,,26A,
15282069,33.838994,-117.8342297,node,,,Unnamed Exit,,,17,
15380188,34.0598866,-118.2518519,node,,,Unnamed Exit,,,24A,
15390917,33.9391262,-117.8766481,node,,,Unnamed Exit,,,11,
15390926,33.9962933,-117.840074,node,,,Unnamed Exit,,,,
