clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Exit_From_Address,Exit_From_Label,Flagged,Flag_Reason,Is_Unclear_OCR,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road
"Coalville , 84017 Holiday Hills ( 66 )",435-336-4421 I-80 Exit 162 ( UT 280 ),MO,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2006,Coalville,UT,,( UT 280 ),I-80 Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
"Coalville , 84017 Hills ( 66 )",435-336-4421 I-80 Holiday Exit 162 ( UT 280 ),M <U+25A1>,Coalville,84017,Hills ( 66 ),435-336-4421,2007,Coalville,UT,,( UT 280 ),I-80 Holiday Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
"D Coalville , 84017 Holiday Hills ( 66 ) )",4 435-336-4421 I-80 Exit 162 ( UT 280 ),M <U+2610> <U+2610> <U+2610>,Coalville,84017,Holiday Hills ( 66 ) ),435-336-4421,2008,Coalville,UT,,( UT 280 ),I-80 Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
D Coalville ( 84017 ) Holiday Hills ( 66 ),435-336-4421 I-80 Exit 162 ( UT 280 ),M <U+25A1> <U+2610>,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2014,Coalville,UT,,( UT 280 ),I-80 Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),D M <U+25A1> D D,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2015,Coalville,UT,,( UT 280 ),I-80 Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),<U+25A1> <U+2610> <U+2610> <U+2610> <U+2610>,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2016,Coalville,UT,,( UT 280 ),I-80 Exit 162 ,Exit,162,162,,False,,False,I-80,,,,
"E Heber City , 84032 Heber Mart ( Chevron )",435-654-4642 US 40 & US 189 ( 1/2 mi E ),<U+2610> 000,Heber City,84032,Heber Mart ( Chevron ),435-654-4642,2006,Heber City,UT,Chevron,( 1/2 mi E ),US 40 & US 189,empty,,,,False,,False,US 40,US 189,,,
Heber Mart ( Chevron ),"FHeber 4435-654-4642 City , 84032 US 40 & US 189 ( 1/2 mi E )",0000 n,,84032,,435-654-4642,2007,Heber City,UT,,( 1/2 mi E ),"City , 84032 US 40 & US 189",empty,,,,False,,False,US 40,US 189,,,
"Heber City , 84032 K & T's Last Stop ( Chevron )",435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),) <U+2610> 0 <U+2610> <U+2610>,Heber City,84032,K & T's Last Stop ( Chevron ),435-654-4642,2008,Heber City,UT,Chevron,( 1/2 mi S of jct US 189 ),1590 US 40 S,Proper,,,,False,,False,US 40,,,,
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),189 ) <U+25A1> <U+2610><U+2610> <U+25A1>,Heber City,84032,Silver Eagle Country Store,435-654-4642,2014,Heber City,UT,,( 1/2 mi S of jct US 189 ),1590 US 40 S,Proper,,,,False,,False,US 40,,,,
E Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610><U+2610>,Heber City,84032,Silver Eagle Country Store,435-654-4642,2015,Heber City,UT,,( 1/2 mi S of jct US 189 ),1590 US 40 S,Proper,,,,False,,False,US 40,,,,
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),<U+2610> D,Heber City,84032,Silver Eagle Country Store,435-654-4642,2016,Heber City,UT,,( 1/2 mi S of jct US 189 ),1590 US 40 S,Proper,,,,False,,False,US 40,,,,
"( N ) , 84054 Flying J Fuel Stop # 0500100",801-936-1408 Salt Lake City I-215 Exit 28 ( UT 68 ) #,MU 24 <U+2610> <U+2610>,,84054,Flying J Fuel Stop # 0500100,801-936-1408,2006,North Salt Lake,UT,Flying J,( UT 68 ) #,Salt Lake City I-215 Exit 28 ,Exit,28,28,,False,,False,I-215,,,,
ISalt Lake City ( N ) Flying J Fuel Stop # 0500100,801-936-1408 I-215 Exit 28 ( UT 68 ),M <U+2610>,,84054,00,801-936-1408,2007,North Salt Lake,UT,,( UT 68 ),I-215 Exit 28 ,Exit,28,28,,False,,False,I-215,,,,
"Salt Lake City ( N ) , 84054 Flying J Fuel Stop # 0500100 124",3 801-936-1408 I-215 Exit 28 ( UT 68 ),124 M,Salt Lake City,84054,Flying J Fuel Stop # 0500100 124,801-936-1408,2008,North Salt Lake,UT,Flying J,( UT 68 ),I-215 Exit 28 ,Exit,28,28,,False,,False,I-215,,,,
D Salt Lake City ( North ) ( 84054 ) Flying J Fuel Stop # 772,3 801-936-1408 I-215 Exit 27 ( UT 68 N ),24 M,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2014,North Salt Lake,UT,Flying J,( UT 68 N ),I-215 Exit 27 ,Exit,27,27,,False,,False,I-215,,,,
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING J,FLYING J 24 DOMO,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2015,North Salt Lake,UT,Flying J,( UT 68 N ) FLYING J,I-215 Exit 27 ,Exit,27,27,,False,,False,I-215,,,,
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING,FLYING J 24,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,2016,North Salt Lake,UT,Flying J,( UT 68 N ) FLYING,I-215 Exit 27 ,Exit,27,27,,False,,False,I-215,,,,
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),MO,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2006,Park City,UT,Sinclair,( US 40 ),I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),) 24 MO D,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2007,Park City,UT,Sinclair,( US 40 ),I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),24 M <U+25A1> <U+25A1> <U+2610>,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2008,Park City,UT,Sinclair,( US 40 ),I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),24 S,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2014,Park City,UT,Sinclair,( US 40 ),I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ) AMREST,24 S D,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2015,Park City,UT,Sinclair,( US 40 ) AMREST,I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),24 S <U+2610>,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,2016,Park City,UT,Sinclair,( US 40 ),I-80 Exit 146 ,Exit,146,146,,False,,False,I-80,,,,
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,S T,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2006,Roosevelt,UT,Sinclair,,US 40 W,empty,,,,False,,False,US 40,,,,
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,SO,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2007,Roosevelt,UT,Sinclair,,US 40 W,empty,,,,False,,False,US 40,,,,
"E Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,<U+2610> <U+2610> <U+25A1> <U+25A1> <U+2610>,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,2008,Roosevelt,UT,Sinclair,,US 40 W,empty,,,,False,,False,US 40,,,,
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),435-722-9940 1128 US 40 ( 1 mi W of town ),<U+25A1> S <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,2014,Roosevelt,UT,Chevron,( 1 mi W of town ),1128 US 40,Proper,,,,False,,False,US 40,,,,
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),$ 435-722-9940 1128 US 40 ( 1 mi W of town ),<U+2610> S <U+25A1> <U+25A1> <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,2015,Roosevelt,UT,Chevron,( 1 mi W of town ),1128 US 40,Proper,,,,False,,False,US 40,,,,
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),6 435-722-9940 1128 US 40 ( 1 mi W of town ),<U+2610> SO <U+25A1>,Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,2016,Roosevelt,UT,Chevron,( 1 mi W of town ),1128 US 40,Proper,,,,False,,False,US 40,,,,
"D Lake Point , 84074 TravelCenters of America / Salt E )",801-250-8585 I-80 Exit 99 Lake City,TA 24 XL O <U+2610>,Lake Point,84074,TravelCenters of America / Salt E ),801-250-8585,2006,Tooele,UT,TravelCenters,,I-80 Exit 99 Lake City,Exit,99,99,,False,,False,I-80,,,,
