clean_line1,clean_line2,city,zip_code,label,phone,state,chain,has_phone_match,Success_Match_Rate,Phone_Success_Match_Rate
"Coalville , 84017 Holiday Hills ( 66 )",435-336-4421 I-80 Exit 162 ( UT 280 ),Coalville,84017,Holiday Hills ( 66 ),435-336-4421,UT,,True,7/6 successful match,True
"Coalville , 84017 Hills ( 66 )",435-336-4421 I-80 Holiday Exit 162 ( UT 280 ),Coalville,84017,Hills ( 66 ),435-336-4421,UT,,True,7/6 successful match,True
"D Coalville , 84017 Holiday Hills ( 66 ) )",4 435-336-4421 I-80 Exit 162 ( UT 280 ),Coalville,84017,Holiday Hills ( 66 ) ),435-336-4421,UT,,True,7/6 successful match,True
D Coalville ( 84017 ) Holiday Hills ( 66 ),435-336-4421 I-80 Exit 162 ( UT 280 ),Coalville,84017,Holiday Hills ( 66 ),435-336-4421,UT,,True,7/6 successful match,True
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),Coalville,84017,Holiday Hills ( 66 ),435-336-4421,UT,,True,7/6 successful match,True
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),Coalville,84017,Holiday Hills ( 66 ),435-336-4421,UT,,True,7/6 successful match,True
"E Heber City , 84032 Heber Mart ( Chevron )",435-654-4642 US 40 & US 189 ( 1/2 mi E ),Heber City,84032,Heber Mart ( Chevron ),435-654-4642,UT,Chevron,True,5/6 successful match,True
Heber Mart ( Chevron ),"FHeber 4435-654-4642 City , 84032 US 40 & US 189 ( 1/2 mi E )",,84032,,435-654-4642,UT,,True,7/6 successful match,True
"Heber City , 84032 K & T's Last Stop ( Chevron )",435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),Heber City,84032,K & T's Last Stop ( Chevron ),435-654-4642,UT,Chevron,True,6/6 successful match,True
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),Heber City,84032,Silver Eagle Country Store,435-654-4642,UT,,True,7/6 successful match,True
E Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),Heber City,84032,Silver Eagle Country Store,435-654-4642,UT,,True,7/6 successful match,True
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),Heber City,84032,Silver Eagle Country Store,435-654-4642,UT,,True,7/6 successful match,True
"( N ) , 84054 Flying J Fuel Stop # 0500100",801-936-1408 Salt Lake City I-215 Exit 28 ( UT 68 ) #,,84054,Flying J Fuel Stop # 0500100,801-936-1408,UT,Flying J,True,7/6 successful match,True
ISalt Lake City ( N ) Flying J Fuel Stop # 0500100,801-936-1408 I-215 Exit 28 ( UT 68 ),,84054,00,801-936-1408,UT,,True,7/6 successful match,True
"Salt Lake City ( N ) , 84054 Flying J Fuel Stop # 0500100 124",3 801-936-1408 I-215 Exit 28 ( UT 68 ),Salt Lake City,84054,Flying J Fuel Stop # 0500100 124,801-936-1408,UT,Flying J,True,7/6 successful match,True
D Salt Lake City ( North ) ( 84054 ) Flying J Fuel Stop # 772,3 801-936-1408 I-215 Exit 27 ( UT 68 N ),Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,UT,Flying J,True,7/6 successful match,True
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING J,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,UT,Flying J,True,7/6 successful match,True
Salt Lake City ( N ) ( 84054 ) Flying J Fuel Stop # 772,801-936-1408 I-215 Exit 27 ( UT 68 N ) FLYING,Salt Lake City,84054,Flying J Fuel Stop # 772,801-936-1408,UT,Flying J,True,7/6 successful match,True
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
"D Silver Creek , 84060 Bell's Silver Creek Junction ( Sinclair )",435-649-9243 I-80 Exit 146 ( US 40 ),Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ) AMREST,Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
D Silver Creek ( 84060 ) Bell's Silver Creek Junction ( Sinclair ),435-649-9243 I-80 Exit 146 ( US 40 ),Silver Creek,84060,Bell's Silver Creek Junction ( Sinclair ),435-649-9243,UT,Sinclair,True,7/6 successful match,True
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,UT,Sinclair,True,6/6 successful match,True
"Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,UT,Sinclair,True,6/6 successful match,True
"E Roosevelt , 84066 Top Stop Food Store # 66 ( Sinclair )",435-722-9940 US 40 W,Roosevelt,84066,Top Stop Food Store # 66 ( Sinclair ),435-722-9940,UT,Sinclair,True,6/6 successful match,True
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),435-722-9940 1128 US 40 ( 1 mi W of town ),Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,UT,Chevron,True,7/6 successful match,True
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),$ 435-722-9940 1128 US 40 ( 1 mi W of town ),Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,UT,Chevron,True,7/6 successful match,True
Roosevelt ( 84066 ) Top Stop # 66 ( Chevron ),6 435-722-9940 1128 US 40 ( 1 mi W of town ),Roosevelt,84066,Top Stop # 66 ( Chevron ),435-722-9940,UT,Chevron,True,7/6 successful match,True
"D Lake Point , 84074 TravelCenters of America / Salt E )",801-250-8585 I-80 Exit 99 Lake City,Lake Point,84074,TravelCenters of America / Salt E ),801-250-8585,UT,TravelCenters,True,7/6 successful match,True
"Lake Point , 84074 TravelCenters of America / SLC",801-250-8585 I-80 Exit 99 TA,Lake Point,84074,TravelCenters of America / SLC,801-250-8585,UT,TravelCenters,True,7/6 successful match,True
"ILake Point , 84074 TA- Salt Lake City ( Tesoro )",3 801-250-8585 I-80 Exit 99 TA,Lake Point,84074,TA- Salt Lake City ( Tesoro ),801-250-8585,UT,Tesoro,True,5/6 successful match,True
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ),801-250-8585 I-80 Exit 99,Lake Point,84074,TA Tooele # 060 ( Shell ),801-250-8585,UT,Shell,True,5/6 successful match,True
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ),801-250-8585 I-80 Exit 99,Lake Point,84074,TA Tooele # 060 ( Shell ),801-250-8585,UT,Shell,True,5/6 successful match,True
D Lake Point ( 84074 ) TA Tooele # 060 ( Shell ) Z,801-250-8585 I-80 Exit 99,Lake Point,84074,TA Tooele # 060 ( Shell ) Z,801-250-8585,UT,Shell,True,5/6 successful match,True
"Lake Point , 84074 Flying J Travel Plaza # 0500015",801-508-7400 I-80 Exit 99,Lake Point,84074,Flying J Travel Plaza # 0500015,801-508-7400,UT,Flying J,True,7/6 successful match,True
Flying J Travel Plaza # 0500015,"GLake 3801-508-7400 Point , 84074 I-80 Exit 99 #",,84074,15,801-508-7400,UT,,True,7/6 successful match,True
"D Lake Point , 84074 Flying J Travel",3 801-508-7400 I-80 Exit 99 Plaza # 0500015 B,Lake Point,84074,Flying J Travel,801-508-7400,UT,Flying J,True,7/6 successful match,True
D Lake Point ( 84074 ) Flying J Travel Plaza # 742,801-508-7400 I-80 Exit 99,Lake Point,84074,Flying J Travel Plaza # 742,801-508-7400,UT,Flying J,True,7/6 successful match,True
D Lake Point ( 84074 ) Flying J Travel Plaza # 742,801-508-7400 I-80 Exit 99 FLYING,Lake Point,84074,Flying J Travel Plaza # 742,801-508-7400,UT,Flying J,True,7/6 successful match,True
D Lake Point ( 84074 ) Flying J Travel Plaza # 742 FLYING J,3 801-508-7400 I-80 Exit 99,Lake Point,84074,Flying J Travel Plaza # 742 FLYING J,801-508-7400,UT,Flying J,True,7/6 successful match,True
"Vernal , 84078 Top Stop # 40 ( Sinclair )",435-789-8292 1355 US 40 E,Vernal,84078,Top Stop # 40 ( Sinclair ),435-789-8292,UT,Sinclair,True,7/6 successful match,True
"D Vernal , 84078 Top Stop # 40 ( Sinclair )",435-789-8292 1355 US 40 E,Vernal,84078,Top Stop # 40 ( Sinclair ),435-789-8292,UT,Sinclair,True,7/6 successful match,True
"D Vernal , 84078 Top Stop # 40 (",435-789-8292 1355 US 40 E Sinclair ),Vernal,84078,Top Stop # 40 (,435-789-8292,UT,,True,7/6 successful match,True
D Vernal ( 84078 ) Top Stop # 40 ( Chevron ),6 435-789-8292 1355 US 40 E,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,UT,Chevron,True,7/6 successful match,True
D Vernal ( 84078 ) Top Stop # 40 ( Chevron ),435-789-8292 1355 US 40 E,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,UT,Chevron,True,7/6 successful match,True
Vernal ( 84078 ) Top Stop # 40 ( Chevron ),435-789-8292 1355 US 40 E,Vernal,84078,Top Stop # 40 ( Chevron ),435-789-8292,UT,Chevron,True,7/6 successful match,True
"Woods Cross , 84087 RB's One Stop ( 66 )",801-295-3241 I-15 Exit 316 ( 500 S ),Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,UT,,True,7/6 successful match,True
"Cross , 84087 RB's One Stop ( 66 )",DWoods 3801-295-3241 I-15 Exit 316 ( 500 S ),Cross,84087,RB's One Stop ( 66 ),801-295-3241,UT,,True,7/6 successful match,True
"Woods Cross , 84087 RB's One Stop ( 66 )",3 801-295-3241 I-15 Exit 316 ( 500 S ),Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,UT,,True,7/6 successful match,True
Woods Cross ( 84087 ) RB's One Stop ( 66 ) S ),801-295-3241 I-15 Exit 316 ( 500 S ),Woods Cross,84087,RB's One Stop ( 66 ) S ),801-295-3241,UT,,True,7/6 successful match,True
D Woods Cross ( 84087 ) RB's One Stop ( 66 ),801-295-3241 I-15 Exit 316 ( 500 S ),Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,UT,,True,7/6 successful match,True
Woods Cross ( 84087 ) RB's One Stop ( 66 ),801-295-3241 I-15 Exit 316 ( 500 S ),Woods Cross,84087,RB's One Stop ( 66 ),801-295-3241,UT,,True,7/6 successful match,True
"ISalt Lake City ( W ) , 84104 Dunn Oil # 2 ( Chevron )",801-975-7188 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Dunn Oil # 2 ( Chevron ),801-975-7188,UT,Chevron,True,7/6 successful match,True
Salt Lake City ( W ) Dunn Oil # 2 ( Chevron ),801-975-7188 I-215 Exit 21 ( California Ave E ),,84104,,801-975-7188,UT,,True,7/6 successful match,True
),"31801-975-7188 Salt Lake City ( W ) , 84104 I-215 Dunn Exit Oil # 21 2 ( Chevron ( California Ave E )",,84104,,801-975-7188,UT,,True,4/6 successful match,True
D Salt Lake City ( West ) ( 84104 ) Dunn Oil # 2 7-11 ( Tesoro ),3 801-975-7188 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188,UT,Tesoro,True,6/6 successful match,True
Salt Lake City ( W ) ( 84104 ) Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Dunn Oil # 2 7-11 ( Tesoro ),801-975-7188,UT,Tesoro,True,6/6 successful match,True
Salt Lake City ( W ) ( 84104 ) Dunn Oil # 2 7-11 ( Chevron ),801-975-7188 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Dunn Oil # 2 7-11 ( Chevron ),801-975-7188,UT,Chevron,True,7/6 successful match,True
"Lake City ( W ) , 84104 Sapp Bros. Truck Stop ( Sinclair )",DSalt 3801-977-3900 I-215 Exit 21 ( California Ave E ),Lake City,84104,Sapp Bros. Truck Stop ( Sinclair ),801-977-3900,UT,Sinclair,True,7/6 successful match,True
Salt Lake City ( W ) Sapp Bros. Truck Stop ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),,84104,,801-977-3900,UT,,True,7/6 successful match,True
"Salt Lake City ( W ) , 84104 Sapp Bros. Travel Center ( Sinclair ) 24",3 801-977-3900 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Sapp Bros. Travel Center ( Sinclair ) 24,801-977-3900,UT,Sinclair,True,7/6 successful match,True
D Salt Lake City ( West ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,UT,Sinclair,True,7/6 successful match,True
Salt Lake City ( W ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,UT,Sinclair,True,7/6 successful match,True
D Salt Lake City ( W ) ( 84104 ) Sapp Bros. - Salt Lake City ( Sinclair ),3 801-977-3900 I-215 Exit 21 ( California Ave E ),Salt Lake City,84104,Sapp Bros. - Salt Lake City ( Sinclair ),801-977-3900,UT,Sinclair,True,7/6 successful match,True
"Salt Lake City , 84115 Premium Oil ( Chevron )",801-484-1662 I-15-80 Exit 305 B ( 2100 S ),Salt Lake City,84115,Premium Oil ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
"City , 84115 Premium Oil ( Chevron )",D 31801-484-1662 Salt Lake I-15-80 Exit 305 B ( 2100 S ),City,84115,Premium Oil ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
"Salt Lake City , 84115 Premium Oil ( Chevron )",801-484-1662 I-15-80 Exit 305 B ( 2100 S ),Salt Lake City,84115,Premium Oil ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
D Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),801-484-1662 I-15-80 Exit 305 B ( 2100 S ),Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
D Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),3 801-484-1662 I-15-80 Exit 305 B ( 2100 S ),Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
Salt Lake City ( 84115 ) Premium Oil # 1 ( Chevron ),3 801-484-1662 I-15-80 Exit 305 B ( 2100 S ),Salt Lake City,84115,Premium Oil # 1 ( Chevron ),801-484-1662,UT,Chevron,True,7/6 successful match,True
,"<U+25A0><U+25A0> 3801-972-371181191-15-80 DSalt Lake City , 84119 Flying J Exit Travel 305 Plaza A ( UT # 201 0500007 W )",,84119,,801-972-3711,UT,,True,7/6 successful match,True
"Salt Lake City , 84119 Flying J Travel Plaza # 0500007",801-972-3711 I-15-80 Exit 305 A ( UT 201 W ),Salt Lake City,84119,Flying J Travel Plaza # 0500007,801-972-3711,UT,Flying J,True,7/6 successful match,True
"Salt Lake City , 84119 Flying J Travel Plaza # 0500007 24",3 801-972-3711 I-15-80 Exit 305 B ( UT 201 W ),Salt Lake City,84119,Flying J Travel Plaza # 0500007 24,801-972-3711,UT,Flying J,True,7/6 successful match,True
D Salt Lake City ( 84119 ) Flying J Travel Plaza # 746,3 801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,Salt Lake City,84119,Flying J Travel Plaza # 746,801-972-3711,UT,Flying J,True,7/6 successful match,True
D Salt Lake City ( 84119 ) Flying J Travel Plaza # 746 FLYING J,3 801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB X17,Salt Lake City,84119,Flying J Travel Plaza # 746 FLYING J,801-972-3711,UT,Flying J,True,7/6 successful match,True
Salt Lake City ( 84119 ) Flying J Travel Plaza # 746 FLYING,801-972-3711 I-15 X 305 B / I-80 WB X 122 / UT 201 EB,Salt Lake City,84119,Flying J Travel Plaza # 746 FLYING,801-972-3711,UT,Flying J,True,7/6 successful match,True
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E ) A",Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,UT,Flying J,True,7/6 successful match,True
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E )",Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,UT,Flying J,True,7/6 successful match,True
"Brigham City , 84302 Flying J Fuel Stop # 0001188","435-723-3924 I-15-84 Exit 362 ( US 91 , 1 mi E )",Brigham City,84302,Flying J Fuel Stop # 0001188,435-723-3924,UT,Flying J,True,7/6 successful match,True
Brigham City ( 84302 ) Fuel Stop ( 66 ),435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),Brigham City,84302,Fuel Stop ( 66 ),435-723-3924,UT,,True,7/6 successful match,True
Brigham City ( 84302 ) Bell's Fuel Stop ( 66 ),435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),Brigham City,84302,Bell's Fuel Stop ( 66 ),435-723-3924,UT,,True,7/6 successful match,True
Brigham City ( 84302 ) Bell's Fuel Stop ( 66 ),3 435-723-3924 I-15-84 Exit 362 ( 1 mi E - Medical Dr N ),Brigham City,84302,Bell's Fuel Stop ( 66 ),435-723-3924,UT,,True,7/6 successful match,True
"Logan , 84321 LW's Truck Stop ( Texaco )",435-753-7461 1000 UT 30 W,Logan,84321,LW's Truck Stop ( Texaco ),435-753-7461,UT,Texaco,True,6/6 successful match,True
"Logan , 84321 LW's Truck Stop ( Texaco )",435-753-7461 1000 UT 30 W,Logan,84321,LW's Truck Stop ( Texaco ),435-753-7461,UT,Texaco,True,6/6 successful match,True
"Logan , 84321 LW's Truck Stop ( Texaco",3 435-753-7461 1000 UT 30 W ),Logan,84321,LW's Truck Stop ( Texaco,435-753-7461,UT,Texaco,True,6/6 successful match,True
Logan ( 84321 ) LW's Truck Stop ( Texaco ),435-753-7461 1020 UT 30 W & UT 252,Logan,84321,LW's Truck Stop ( Texaco ),435-753-7461,UT,Texaco,True,6/6 successful match,True
Logan ( 84321 ) LW's Truck Stop ( Chevron ),435-753-7461 1020 UT 30 W & UT 252,Logan,84321,LW's Truck Stop ( Chevron ),435-753-7461,UT,Chevron,True,7/6 successful match,True
Logan ( 84321 ) LW's Truck Stop ( Chevron ),435-753-7461 1020 UT 30 W & UT 252,Logan,84321,LW's Truck Stop ( Chevron ),435-753-7461,UT,Chevron,True,7/6 successful match,True
"Snowville , 84336 Flying J Fuel Stop # 0011139",435-872-8181 I-84 Exit 7,Snowville,84336,Flying J Fuel Stop # 0011139,435-872-8181,UT,Flying J,True,7/6 successful match,True
"B Snowville , 84336 Flying J Fuel Stop # 0011139",435-872-8181 I-84 Exit 7,Snowville,84336,Flying J Fuel Stop # 0011139,435-872-8181,UT,Flying J,True,7/6 successful match,True
"B Snowville , 84336 Flying J Fuel Stop # 0011139",435-872-8181 I-84 Exit 7,Snowville,84336,Flying J Fuel Stop # 0011139,435-872-8181,UT,Flying J,True,7/6 successful match,True
B Snowville ( 84336 ) Flying J Fuel Stop # 774,435-872-8181 I-84 Exit 7,Snowville,84336,Flying J Fuel Stop # 774,435-872-8181,UT,Flying J,True,7/6 successful match,True
435-649-9243 Snowville ( 84336 ) I-80 Flying Exit J Fuel 146 ( Stop US 40 # 774 ),435-872-8181 I-84 Exit 7 FLYING,Snowville,84336,I-80 Flying Exit J Fuel 146 ( Stop US 40 # 774 ),435-872-8181,UT,,True,7/6 successful match,True
B Snowville ( 84336 ) Flying J Fuel Stop # 774,435-872-8181 I-84 Exit 7,Snowville,84336,Flying J Fuel Stop # 774,435-872-8181,UT,Flying J,True,7/6 successful match,True
"Tremonton , 84337 RJ's Fuel Stop ( Sinclair )",435-257-3530 I-84 Exit 40 ( 2267 W UT 30 ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
"C Tremonton , 84337 RJ's Fuel Stop ( Sinclair )",435-257-3530 I-84 Exit 40 ( 2267 W UT 30 ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
"C Tremonton , 84337 RJ's Fuel Stop ( Sinclair )",3 435-257-3530 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
C Tremonton ( 84337 ) RJ's Fuel Stop ( Sinclair ),435-257-3530 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
Tremonton ( 84337 ) RJ's Fuel Stop ( Sinclair ),435-257-3530 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
Tremonton ( 84337 ) RJ's Fuel Stop ( Sinclair ),3 435-257-3530 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,RJ's Fuel Stop ( Sinclair ),435-257-3530,UT,Sinclair,True,7/6 successful match,True
"Elwood , 84337 Exxon Travel Center",435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Exxon Travel Center,435-257-4710,UT,Exxon,True,5/6 successful match,True
"CElwood , 84337 Exxon Travel Center",435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Exxon Travel Center,435-257-4710,UT,Exxon,True,5/6 successful match,True
"Elwood , 84337 Exxon Travel Center",435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Exxon Travel Center,435-257-4710,UT,Exxon,True,5/6 successful match,True
Elwood ( 84337 ) Sunmart # 979 ( Texaco ),435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Sunmart # 979 ( Texaco ),435-257-4710,UT,Texaco,True,7/6 successful match,True
Elwood ( 84337 ) Sunmart # 979 ( Texaco ),435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Sunmart # 979 ( Texaco ),435-257-4710,UT,Texaco,True,7/6 successful match,True
Elwood ( 84337 ) Sunmart # 979 ( Texaco ),435-257-4710 I-15 Exit 376 ( UT 13 N ),Elwood,84337,Sunmart # 979 ( Texaco ),435-257-4710,UT,Texaco,True,7/6 successful match,True
"Tremonton , 84337 Golden Spike Travel Plaza ( Chevron )",435-257-7249 I-84 Exit 40 ( 24.10 W UT 30 ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
"Tremonton , 84337 Golden Spike Travel Plaza ( Chevron )",C 3435-257-7249 I-84 Exit 40 ( 2410 W UT 30 ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
"C Tremonton , 84337 Golden Spike Travel Plaza ( Chevron )",435-257-7249 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
C Tremonton ( 84337 ) Golden Spike Travel Plaza ( Chevron ),435-257-7249 I-84 Exit 40 ( UT 102 E ),Tremonton,84337,Golden Spike Travel Plaza ( Chevron ),435-257-7249,UT,Chevron,True,7/6 successful match,True
