state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Alabama,I-22,12324,Exit 3,EXIT 3,Co Rd 33,"Hamilton, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%203/12324,34.195077,-88.127281,http://maps.google.com/maps?t=m&q=loc:34.195077+-88.127281,Eastbound
Alabama,I-22,12325,Exit 7,EXIT 7,Weston; Hamilton,"Hamilton, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%207/12325,34.17148,-88.067062,http://maps.google.com/maps?t=m&q=loc:34.17148+-88.067062,Eastbound
Alabama,I-22,12326,Exit 11,EXIT 11,AL-17 N; Hamilton,"Hamilton, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2011/12326,34.121844,-88.049574,http://maps.google.com/maps?t=m&q=loc:34.121844+-88.049574,Eastbound
Alabama,I-22,12327,Exit 14,EXIT 14,Hamilton,"Hamilton, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2014/12327,34.09358,-88.011543,http://maps.google.com/maps?t=m&q=loc:34.09358+-88.011543,Eastbound
Alabama,I-22,12328,Exit 16,EXIT 16,US-43; US-278,"Hamilton, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2016/12328,34.072226,-87.981082,http://maps.google.com/maps?t=m&q=loc:34.072226+-87.981082,Eastbound
Alabama,I-22,12329,Exit 22,EXIT 22,Marion County 45,"Guin, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2022/12329,34.043382,-87.893911,http://maps.google.com/maps?t=m&q=loc:34.043382+-87.893911,Eastbound
Alabama,I-22,12330,Exit 26,EXIT 26,Brilliant,"Guin, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2026/12330,34.014677,-87.837812,http://maps.google.com/maps?t=m&q=loc:34.014677+-87.837812,Eastbound
Alabama,I-22,12331,Exit 30,EXIT 30,AL-129; Brilliant; Winfield,"Brilliant, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2030/12331,33.990929,-87.781071,http://maps.google.com/maps?t=m&q=loc:33.990929+-87.781071,Eastbound
Alabama,I-22,12332,Exit 34,EXIT 34,AL-233; Glen Allen; Natural Bridge,"Winfield, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2034/12332,33.968221,-87.71103,http://maps.google.com/maps?t=m&q=loc:33.968221+-87.71103,Eastbound
Alabama,I-22,12333,Exit 39,EXIT 39,AL-13 N; Natural Bridge,"Carbon Hill, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2039/12333,33.952966,-87.622297,http://maps.google.com/maps?t=m&q=loc:33.952966+-87.622297,Eastbound
Alabama,I-22,12334,Exit 46,EXIT 46,Nauvoo,"Carbon Hill, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2046/12334,33.912798,-87.506392,http://maps.google.com/maps?t=m&q=loc:33.912798+-87.506392,Eastbound
Alabama,I-22,12335,Exit 52,EXIT 52,AL-118,"Carbon Hill, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2052/12335,33.873234,-87.441337,http://maps.google.com/maps?t=m&q=loc:33.873234+-87.441337,Eastbound
Alabama,I-22,12336,Exit 53,EXIT 53,Exit,"Townley, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2053/12336,33.864331,-87.417947,http://maps.google.com/maps?t=m&q=loc:33.864331+-87.417947,Eastbound
Alabama,I-22,12337,Exit 57,EXIT 57,AL-118 E; Jasper,"Jasper, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2057/12337,33.856663,-87.356354,http://maps.google.com/maps?t=m&q=loc:33.856663+-87.356354,Eastbound
Alabama,I-22,12338,Exit 61,EXIT 61,AL-69; Jasper; Tuscaloosa,"Jasper, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2061/12338,33.823749,-87.315543,http://maps.google.com/maps?t=m&q=loc:33.823749+-87.315543,Eastbound
Alabama,I-22,12339,Exit 63,EXIT 63,AL-269; Jasper; Parrish,"Jasper, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2063/12339,33.807758,-87.285103,http://maps.google.com/maps?t=m&q=loc:33.807758+-87.285103,Eastbound
Alabama,I-22,12340,Exit 65,EXIT 65,Industrial Parkway Road,"Jasper, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2065/12340,33.796024,-87.244835,http://maps.google.com/maps?t=m&q=loc:33.796024+-87.244835,Eastbound
Alabama,I-22,12341,Exit 70,EXIT 70,Walker County 22; Cordova; Parrish,"Cordova, Alabama",https://www.iexitapp.com/Alabama/I-22/Exit%2070/12341,33.742843,-87.201633,http://maps.google.com/maps?t=m&q=loc:33.742843+-87.201633,Eastbound
