state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Alabama,I-459,33786,Exit 1,EXIT 1,Bessemer; McCalla,"McCalla, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%201/33786,33.333908,-87.002219,http://maps.google.com/maps?t=m&q=loc:33.333908+-87.002219,Northbound
Alabama,I-459,33787,Exit 6,EXIT 6,Bessemer,"Bessemer, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%206/33787,33.337883,-86.923843,http://maps.google.com/maps?t=m&q=loc:33.337883+-86.923843,Northbound
Alabama,I-459,33788,Exit 10,EXIT 10,AL-150; Hoover; Bessemer,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2010/33788,33.352716,-86.855548,http://maps.google.com/maps?t=m&q=loc:33.352716+-86.855548,Northbound
Alabama,I-459,33789,Exit 13,EXIT 13,US-31; Hoover; Pelham,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2013/33789,33.379957,-86.8163,http://maps.google.com/maps?t=m&q=loc:33.379957+-86.8163,Northbound
Alabama,I-459,33791,Exit 17,EXIT 17,Acton Rd,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2017/33791,33.409151,-86.761356,http://maps.google.com/maps?t=m&q=loc:33.409151+-86.761356,Northbound
Alabama,I-459,33792,Exit 19,EXIT 19,U.S. 280 W,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2019/33792,33.435697,-86.737495,http://maps.google.com/maps?t=m&q=loc:33.435697+-86.737495,Northbound
Alabama,I-459,76830,Exit 19,EXIT 19,US 280 E,"Vestavia Hills, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2019/76830,33.437672,-86.735095,http://maps.google.com/maps?t=m&q=loc:33.437672+-86.735095,Northbound
Alabama,I-459,33793,Exit 23,EXIT 23,Liberty Pkwy,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2023/33793,33.487286,-86.709101,http://maps.google.com/maps?t=m&q=loc:33.487286+-86.709101,Northbound
Alabama,I-459,33794,Exit 27,EXIT 27,Grants Mill Rd,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2027/33794,33.521955,-86.668215,http://maps.google.com/maps?t=m&q=loc:33.521955+-86.668215,Northbound
Alabama,I-459,33796,Exit 31,EXIT 31,Derby Pkwy,"Birmingham, Alabama",https://www.iexitapp.com/Alabama/I-459/Exit%2031/33796,33.567969,-86.638236,http://maps.google.com/maps?t=m&q=loc:33.567969+-86.638236,Northbound
