state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Arizona,AZ 101,41287,Exit 3,EXIT 3,Thomas Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%203/41287,33.47381,-112.266324,http://maps.google.com/maps?t=m&q=loc:33.47381+-112.266324,Eastbound
Arizona,AZ 101,41288,Exit 4,EXIT 4,Indian School Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%204/41288,33.488628,-112.263738,http://maps.google.com/maps?t=m&q=loc:33.488628+-112.263738,Eastbound
Arizona,AZ 101,41289,Exit 5,EXIT 5,Camelback Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%205/41289,33.502736,-112.267998,http://maps.google.com/maps?t=m&q=loc:33.502736+-112.267998,Eastbound
Arizona,AZ 101,41290,Exit 6,EXIT 6,Bethany Home Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%206/41290,33.517336,-112.268988,http://maps.google.com/maps?t=m&q=loc:33.517336+-112.268988,Eastbound
Arizona,AZ 101,41291,Exit 7A,EXIT 7A,W Glendale Avenue,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%207A/41291,33.528829,-112.268993,http://maps.google.com/maps?t=m&q=loc:33.528829+-112.268993,Eastbound
Arizona,AZ 101,41292,Exit 7B,EXIT 7B,Luke AFB Glendale,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%207B/41292,33.53127,-112.269173,http://maps.google.com/maps?t=m&q=loc:33.53127+-112.269173,Eastbound
Arizona,AZ 101,41293,Exit 8,EXIT 8,Northern Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%208/41293,33.54644,-112.271067,http://maps.google.com/maps?t=m&q=loc:33.54644+-112.271067,Eastbound
Arizona,AZ 101,41294,Exit 9,EXIT 9,Olive Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%209/41294,33.560531,-112.257535,http://maps.google.com/maps?t=m&q=loc:33.560531+-112.257535,Eastbound
Arizona,AZ 101,41295,Exit 10,EXIT 10,Peoria Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2010/41295,33.57566,-112.258073,http://maps.google.com/maps?t=m&q=loc:33.57566+-112.258073,Eastbound
Arizona,AZ 101,41296,Exit 11,EXIT 11,US 60 (Grand Avenue) / 91st Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2011/41296,33.589415,-112.260986,http://maps.google.com/maps?t=m&q=loc:33.589415+-112.260986,Eastbound
Arizona,AZ 101,41297,Exit 12,EXIT 12,Thunderbird Road,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2012/41297,33.605835,-112.249126,http://maps.google.com/maps?t=m&q=loc:33.605835+-112.249126,Eastbound
Arizona,AZ 101,41298,Exit 14,EXIT 14,Bell Road,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2014/41298,33.63147,-112.239756,http://maps.google.com/maps?t=m&q=loc:33.63147+-112.239756,Eastbound
Arizona,AZ 101,41299,Exit 15,EXIT 15,Union Hills Drive,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2015/41299,33.648084,-112.233173,http://maps.google.com/maps?t=m&q=loc:33.648084+-112.233173,Eastbound
Arizona,AZ 101,41300,Exit 17,EXIT 17,75th Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2017/41300,33.666339,-112.226401,http://maps.google.com/maps?t=m&q=loc:33.666339+-112.226401,Eastbound
Arizona,AZ 101,41301,Exit 18,EXIT 18,67th Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2018/41301,33.667588,-112.210153,http://maps.google.com/maps?t=m&q=loc:33.667588+-112.210153,Eastbound
Arizona,AZ 101,41302,Exit 19,EXIT 19,59th Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2019/41302,33.668158,-112.194072,http://maps.google.com/maps?t=m&q=loc:33.668158+-112.194072,Eastbound
Arizona,AZ 101,41303,Exit 20,EXIT 20,51st Avenue,"Glendale, Arizona",https://www.iexitapp.com/Arizona/AZ%20101/Exit%2020/41303,33.668223,-112.177306,http://maps.google.com/maps?t=m&q=loc:33.668223+-112.177306,Eastbound
