state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Arizona,AZ 51,41197,Exit 14,EXIT 14,Union Hills Drive,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%2014/41197,33.660221,-111.999909,http://maps.google.com/maps?t=m&q=loc:33.660221+-111.999909,Southbound
Arizona,AZ 51,41210,"Exit 15A,B","EXIT 15A,B","Loop 101 – Scottsdale, Glendale","Phoenix, Arizona","https://www.iexitapp.com/Arizona/AZ%2051/Exit%2015A,B/41210",33.661958,-111.999624,http://maps.google.com/maps?t=m&q=loc:33.661958+-111.999624,Southbound
Arizona,AZ 51,41198,Exit 13,EXIT 13,Bell Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%2013/41198,33.645621,-112.001384,http://maps.google.com/maps?t=m&q=loc:33.645621+-112.001384,Southbound
Arizona,AZ 51,41199,Exit 12,EXIT 12,Greenway Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%2012/41199,33.631654,-112.004632,http://maps.google.com/maps?t=m&q=loc:33.631654+-112.004632,Southbound
Arizona,AZ 51,41200,Exit 10,EXIT 10,Cactus Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%2010/41200,33.602399,-112.009637,http://maps.google.com/maps?t=m&q=loc:33.602399+-112.009637,Southbound
Arizona,AZ 51,41201,Exit 9,EXIT 9,Shea Boulevard,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%209/41201,33.587994,-112.009715,http://maps.google.com/maps?t=m&q=loc:33.587994+-112.009715,Southbound
Arizona,AZ 51,41202,Exit 7,EXIT 7,Northern Avenue,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%207/41202,33.564829,-112.033712,http://maps.google.com/maps?t=m&q=loc:33.564829+-112.033712,Southbound
Arizona,AZ 51,41203,Exit 5,EXIT 5,Glendale Avenue / Lincoln Drive,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%205/41203,33.542637,-112.040709,http://maps.google.com/maps?t=m&q=loc:33.542637+-112.040709,Southbound
Arizona,AZ 51,41204,Exit 4B,EXIT 4B,Colter Street / Camelback Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%204B/41204,33.528066,-112.043721,http://maps.google.com/maps?t=m&q=loc:33.528066+-112.043721,Southbound
Arizona,AZ 51,41205,Exit 4A,EXIT 4A,Highland Avenue / Camelback Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%204A/41205,33.518268,-112.04433,http://maps.google.com/maps?t=m&q=loc:33.518268+-112.04433,Southbound
Arizona,AZ 51,41206,Exit 3,EXIT 3,Indian School Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%203/41206,33.499992,-112.043814,http://maps.google.com/maps?t=m&q=loc:33.499992+-112.043814,Southbound
Arizona,AZ 51,41207,Exit 2,EXIT 2,Thomas Road / 20th Street,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%202/41207,33.486022,-112.041407,http://maps.google.com/maps?t=m&q=loc:33.486022+-112.041407,Southbound
Arizona,AZ 51,41208,Exit 1,EXIT 1,McDowell Road,"Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%201/41208,33.470216,-112.038759,http://maps.google.com/maps?t=m&q=loc:33.470216+-112.038759,Southbound
Arizona,AZ 51,41209,"I-10 / Loop 202 east – Tucson, Los Angeles, CA, Sky Harbor Airport",EXIT,"I-10 / Loop 202 east – Tucson, Los Angeles, CA, Sky Harbor Airport","Phoenix, Arizona",https://www.iexitapp.com/Arizona/AZ%2051/Exit%20/41209,33.465539,-112.038218,http://maps.google.com/maps?t=m&q=loc:33.465539+-112.038218,Southbound
