state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Arkansas,I-40,13111,Welcome Center,WELCOME CENTER,Welcome Center,"Van Buren, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Welcome%20Center/13111,35.459942,-94.401088,http://maps.google.com/maps?t=m&q=loc:35.459942+-94.401088,Eastbound
Arkansas,I-40,13112,Exit 3,EXIT 3,Oklahoma 64D S; Dora; Ft. Smith,"Van Buren, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%203/13112,35.459076,-94.395544,http://maps.google.com/maps?t=m&q=loc:35.459076+-94.395544,Eastbound
Arkansas,I-40,13113,Exit 5,EXIT 5,Fayetteville Rd; AR-59,"Van Buren, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%205/13113,35.463054,-94.360432,http://maps.google.com/maps?t=m&q=loc:35.463054+-94.360432,Eastbound
Arkansas,I-40,13115,Weigh Station,WEIGH STATION,Weigh Station,"Van Buren, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Weigh%20Station/13115,35.458048,-94.30033,http://maps.google.com/maps?t=m&q=loc:35.458048+-94.30033,Eastbound
Arkansas,I-40,13116,Exit 12,EXIT 12,"I 49
          (MM: 12.0)","Alma, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2012/13116,35.47893,-94.247821,http://maps.google.com/maps?t=m&q=loc:35.47893+-94.247821,Eastbound
Arkansas,I-40,13117,Exit 13,EXIT 13,US-71 N,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2013/13117,35.487888,-94.231078,http://maps.google.com/maps?t=m&q=loc:35.487888+-94.231078,Eastbound
Arkansas,I-40,13118,Exit 20,EXIT 20,Dyer; Mulberry,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2020/13118,35.513169,-94.119075,http://maps.google.com/maps?t=m&q=loc:35.513169+-94.119075,Eastbound
Arkansas,I-40,13119,Exit 24,EXIT 24,AR-215; Mullberry,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2024/13119,35.528074,-94.0525,http://maps.google.com/maps?t=m&q=loc:35.528074+-94.0525,Eastbound
Arkansas,I-40,13120,Exit 35,EXIT 35,AR-23; Ozark; Huntsville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2035/13120,35.520781,-93.870196,http://maps.google.com/maps?t=m&q=loc:35.520781+-93.870196,Eastbound
Arkansas,I-40,13121,Rest Area,REST AREA,Rest Area,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Rest%20Area/13121,35.521132,-93.851162,http://maps.google.com/maps?t=m&q=loc:35.521132+-93.851162,Eastbound
Arkansas,I-40,48724,Exit 37,EXIT 37,AR-219; Ozark,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2037/48724,35.517076,-93.829079,http://maps.google.com/maps?t=m&q=loc:35.517076+-93.829079,Eastbound
Arkansas,I-40,13123,Exit 41,EXIT 41,AR-186; Altus,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2041/13123,35.505424,-93.76155,http://maps.google.com/maps?t=m&q=loc:35.505424+-93.76155,Eastbound
Arkansas,I-40,13124,Exit 47,EXIT 47,AR-164 N; Hartman,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2047/13124,35.49752,-93.66493,http://maps.google.com/maps?t=m&q=loc:35.49752+-93.66493,Eastbound
Arkansas,I-40,13125,Exit 55,EXIT 55,US-64 E,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2055/13125,35.464382,-93.520241,http://maps.google.com/maps?t=m&q=loc:35.464382+-93.520241,Eastbound
Arkansas,I-40,13126,Exit 57,EXIT 57,Crawford St; University of the Ozarks,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2057/13126,35.45906,-93.48604,http://maps.google.com/maps?t=m&q=loc:35.45906+-93.48604,Eastbound
Arkansas,I-40,13127,Exit 58,EXIT 58,AR-103; AR-21; Clarksville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2058/13127,35.451858,-93.463701,http://maps.google.com/maps?t=m&q=loc:35.451858+-93.463701,Eastbound
Arkansas,I-40,13128,Exit 64,EXIT 64,US-64; Lamar,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2064/13128,35.4161,-93.38719,http://maps.google.com/maps?t=m&q=loc:35.4161+-93.38719,Eastbound
Arkansas,I-40,13129,Exit 67,EXIT 67,AR-315; Knoxville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2067/13129,35.38593,-93.35832,http://maps.google.com/maps?t=m&q=loc:35.38593+-93.35832,Eastbound
Arkansas,I-40,13130,Welcome Center,WELCOME CENTER,Welcome Center,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Welcome%20Center/13130,35.37182,-93.34691,http://maps.google.com/maps?t=m&q=loc:35.37182+-93.34691,Eastbound
Arkansas,I-40,13131,Exit 74,EXIT 74,AR-333; London,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2074/13131,35.336094,-93.259809,http://maps.google.com/maps?t=m&q=loc:35.336094+-93.259809,Eastbound
Arkansas,I-40,13132,Exit 78,EXIT 78,US-64; Russellville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2078/13132,35.32234,-93.195343,http://maps.google.com/maps?t=m&q=loc:35.32234+-93.195343,Eastbound
Arkansas,I-40,13133,Exit 81,EXIT 81,AR-7; Russellville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2081/13133,35.306923,-93.142332,http://maps.google.com/maps?t=m&q=loc:35.306923+-93.142332,Eastbound
Arkansas,I-40,13134,Exit 83,EXIT 83,Weir Rd; AR-326,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2083/13134,35.292344,-93.11185,http://maps.google.com/maps?t=m&q=loc:35.292344+-93.11185,Eastbound
Arkansas,I-40,48725,Exit 84,EXIT 84,AR-331; Russellville; US-64,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2084/48725,35.284937,-93.096291,http://maps.google.com/maps?t=m&q=loc:35.284937+-93.096291,Eastbound
Arkansas,I-40,48726,Exit 88,EXIT 88,Pottsville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2088/48726,35.250477,-93.037872,http://maps.google.com/maps?t=m&q=loc:35.250477+-93.037872,Eastbound
Arkansas,I-40,13137,Exit 94,EXIT 94,AR-105; Atkins,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%2094/13137,35.252831,-92.93682,http://maps.google.com/maps?t=m&q=loc:35.252831+-92.93682,Eastbound
Arkansas,I-40,13138,Exit 101,EXIT 101,Blackwell,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20101/13138,35.221631,-92.833423,http://maps.google.com/maps?t=m&q=loc:35.221631+-92.833423,Eastbound
Arkansas,I-40,13139,Exit 107,EXIT 107,AR-95 N; Morrilton,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20107/13139,35.176251,-92.74846,http://maps.google.com/maps?t=m&q=loc:35.176251+-92.74846,Eastbound
Arkansas,I-40,13140,Exit 108,EXIT 108,AR-9 S,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20108/13140,35.174106,-92.723847,http://maps.google.com/maps?t=m&q=loc:35.174106+-92.723847,Eastbound
Arkansas,I-40,13141,Exit 112,EXIT 112,AR-92 N; Plumerville,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20112/13141,35.16266,-92.646322,http://maps.google.com/maps?t=m&q=loc:35.16266+-92.646322,Eastbound
Arkansas,I-40,13142,Exit 117,EXIT 117,Menifee,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20117/13142,35.154357,-92.558044,http://maps.google.com/maps?t=m&q=loc:35.154357+-92.558044,Eastbound
Arkansas,I-40,13143,Exit 124,EXIT 124,AR-25 N,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20124/13143,35.119265,-92.466949,http://maps.google.com/maps?t=m&q=loc:35.119265+-92.466949,Eastbound
Arkansas,I-40,13145,Exit 125,EXIT 125,US-65 BUS S; US-65 N; Skyline Dr,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20125/13145,35.113045,-92.441736,http://maps.google.com/maps?t=m&q=loc:35.113045+-92.441736,Eastbound
Arkansas,I-40,13146,Exit 127,EXIT 127,US-64; Conway; Vilonia; Beebe,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20127/13146,35.095063,-92.426392,http://maps.google.com/maps?t=m&q=loc:35.095063+-92.426392,Eastbound
Arkansas,I-40,48727,Exit 129,EXIT 129,AR-286; U.S. 65 Business; Dave Ward Drive W; AR-60,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20129/48727,35.069738,-92.417546,http://maps.google.com/maps?t=m&q=loc:35.069738+-92.417546,Eastbound
Arkansas,I-40,13148,Truck Turnout,TURN OUT,Truck Turnout,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Truck%20Turnout/13148,34.999095,-92.41308,http://maps.google.com/maps?t=m&q=loc:34.999095+-92.41308,Eastbound
Arkansas,I-40,13149,Exit 135,EXIT 135,AR-89,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20135/13149,34.974653,-92.417943,http://maps.google.com/maps?t=m&q=loc:34.974653+-92.417943,Eastbound
Arkansas,I-40,13150,Exit 142,EXIT 142,AR-365 N,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20142/13150,34.888065,-92.382796,http://maps.google.com/maps?t=m&q=loc:34.888065+-92.382796,Eastbound
Arkansas,I-40,13152,Exit 148,EXIT 148,Crystal Hill Rd,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20148/13152,34.821181,-92.340022,http://maps.google.com/maps?t=m&q=loc:34.821181+-92.340022,Eastbound
Arkansas,I-40,13153,Exit 150,EXIT 150,Military Dr,"North Little Rock, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20150/13153,34.799324,-92.307327,http://maps.google.com/maps?t=m&q=loc:34.799324+-92.307327,Eastbound
Arkansas,I-40,13154,Exit 152,EXIT 152,AR-365; MacArthur Dr; Pike Ave,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20152/13154,34.786396,-92.281465,http://maps.google.com/maps?t=m&q=loc:34.786396+-92.281465,Eastbound
Arkansas,I-40,13155,Exit 153A,EXIT 153A,AR-107 N; J.F.K.Blvd,"North Little Rock, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20153A/13155,34.781616,-92.269163,http://maps.google.com/maps?t=m&q=loc:34.781616+-92.269163,Eastbound
Arkansas,I-40,13157,Exit 154,EXIT 154,N Hills Blvd,"West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20154/13157,34.777816,-92.246055,http://maps.google.com/maps?t=m&q=loc:34.777816+-92.246055,Eastbound
Arkansas,I-40,13158,Exit 155,EXIT 155,"US 67;US 167
          (MM: 155.0)","West Memphis, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20155/13158,34.776971,-92.236251,http://maps.google.com/maps?t=m&q=loc:34.776971+-92.236251,Eastbound
Arkansas,I-40,76848,Exit 155,EXIT 155,Exit 155 to US-67 Exit 1 - McCain Blvd,"North Little Rock, Arkansas",https://www.iexitapp.com/Arkansas/I-40/Exit%20155/76848,34.776917,-92.236036,http://maps.google.com/maps?t=m&q=loc:34.776917+-92.236036,Eastbound
