state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
California,I-15,10135,Exit 7A,EXIT 7A,Friars Rd E,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%207A/10135,32.784897,-117.114187,http://maps.google.com/maps?t=m&q=loc:32.784897+-117.114187,Northbound
California,I-15,10136,Exit 7B,EXIT 7B,Friars Rd W; Qualcomm Stadium,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%207B/10136,32.787444,-117.114024,http://maps.google.com/maps?t=m&q=loc:32.787444+-117.114024,Northbound
California,I-15,10137,Exit 8,EXIT 8,Aero Dr,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%208/10137,32.805873,-117.11312,http://maps.google.com/maps?t=m&q=loc:32.805873+-117.11312,Northbound
California,I-15,10138,Exit 9,EXIT 9,Tierrasanta Blvd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%209/10138,32.81691,-117.11494,http://maps.google.com/maps?t=m&q=loc:32.81691+-117.11494,Northbound
California,I-15,51807,Exit 9,EXIT 9,Balboa Ave; Tierrasanta Blvd; CA-274,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%209/51807,32.819831,-117.115196,http://maps.google.com/maps?t=m&q=loc:32.819831+-117.115196,Northbound
California,I-15,10139,Exit 10,EXIT 10,Clairemont Mesa Blvd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2010/10139,32.830203,-117.117885,http://maps.google.com/maps?t=m&q=loc:32.830203+-117.117885,Northbound
California,I-15,10140,Exit 11,EXIT 11,"CA 52;CA 52;CA 52
          (MM: 11.0)","San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2011/10140,32.833456,-117.118681,http://maps.google.com/maps?t=m&q=loc:32.833456+-117.118681,Northbound
California,I-15,51808,Exit 11,EXIT 11,CA-52 W,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2011/51808,32.833456,-117.118681,http://maps.google.com/maps?t=m&q=loc:32.833456+-117.118681,Northbound
California,I-15,51809,Exit 11,EXIT 11,CA-52 W,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2011/51809,32.842074,-117.121367,http://maps.google.com/maps?t=m&q=loc:32.842074+-117.121367,Northbound
California,I-15,10142,Exit 13,EXIT 13,Miramar Way,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2013/10142,32.875291,-117.106995,http://maps.google.com/maps?t=m&q=loc:32.875291+-117.106995,Northbound
California,I-15,10143,Exit 14,EXIT 14,Pomerado Road; Miramar Road,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2014/10143,32.887657,-117.112197,http://maps.google.com/maps?t=m&q=loc:32.887657+-117.112197,Northbound
California,I-15,10144,Exit 15,EXIT 15,Carroll Canyon Rd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2015/10144,32.899764,-117.116093,http://maps.google.com/maps?t=m&q=loc:32.899764+-117.116093,Northbound
California,I-15,10145,Exit 16,EXIT 16,Mira Mesa Blvd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2016/10145,32.911936,-117.116023,http://maps.google.com/maps?t=m&q=loc:32.911936+-117.116023,Northbound
California,I-15,10146,Exit 17,EXIT 17,Mercy Rd; Scripps Poway Pkwy,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2017/10146,32.931918,-117.112554,http://maps.google.com/maps?t=m&q=loc:32.931918+-117.112554,Northbound
California,I-15,10147,Exit 18,EXIT 18,Poway Road; Rancho Penasquitos Blvd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2018/10147,32.944688,-117.108049,http://maps.google.com/maps?t=m&q=loc:32.944688+-117.108049,Northbound
California,I-15,10148,Exit 19,EXIT 19,"CA 56
          (MM: 19.0)","San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2019/10148,32.956379,-117.100345,http://maps.google.com/maps?t=m&q=loc:32.956379+-117.100345,Northbound
California,I-15,51812,Exit 19,EXIT 19,California 56 Jct W; Ted Williams Pkwy,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2019/51812,32.956379,-117.100345,http://maps.google.com/maps?t=m&q=loc:32.956379+-117.100345,Northbound
California,I-15,10149,Exit 21,EXIT 21,Carmel Mountain Rd,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2021/10149,32.976118,-117.087805,http://maps.google.com/maps?t=m&q=loc:32.976118+-117.087805,Northbound
California,I-15,10150,Exit 22,EXIT 22,Camino Del Norte,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2022/10150,32.992761,-117.083353,http://maps.google.com/maps?t=m&q=loc:32.992761+-117.083353,Northbound
California,I-15,10151,Exit 23,EXIT 23,Bernardo Center Dr,"San Diego, California",https://www.iexitapp.com/California/I-15/Exit%2023/10151,33.008842,-117.079943,http://maps.google.com/maps?t=m&q=loc:33.008842+-117.079943,Northbound
