state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
California,I-405,37397,Exit 72,EXIT 72,Rinaldi St; Mission Hills,"Granada Hills, California",https://www.iexitapp.com/California/I-405/Exit%2072/37397,34.284525,-118.468497,http://maps.google.com/maps?t=m&q=loc:34.284525+-118.468497,Southbound
California,I-405,37398,Exit 71,EXIT 71,"CA 118
          (MM: 71.0)","Granada Hills, California",https://www.iexitapp.com/California/I-405/Exit%2071/37398,34.269633,-118.472237,http://maps.google.com/maps?t=m&q=loc:34.269633+-118.472237,Southbound
California,I-405,37399,Exit 70,EXIT 70,Granada Hills,"North Hills, California",https://www.iexitapp.com/California/I-405/Exit%2070/37399,34.265509,-118.472286,http://maps.google.com/maps?t=m&q=loc:34.265509+-118.472286,Southbound
California,I-405,55833,Exit 69,EXIT 69,Nordhoff St,"North Hills, California",https://www.iexitapp.com/California/I-405/Exit%2069/55833,34.239556,-118.473132,http://maps.google.com/maps?t=m&q=loc:34.239556+-118.473132,Southbound
California,I-405,37401,Exit 68,EXIT 68,Roscoe Boulevard,"North Hills, California",https://www.iexitapp.com/California/I-405/Exit%2068/37401,34.22536,-118.47326,http://maps.google.com/maps?t=m&q=loc:34.22536+-118.47326,Southbound
California,I-405,37402,Exit 66,EXIT 66,Sherman Way; Reseda,"Van Nuys, California",https://www.iexitapp.com/California/I-405/Exit%2066/37402,34.205465,-118.473417,http://maps.google.com/maps?t=m&q=loc:34.205465+-118.473417,Southbound
California,I-405,37403,Exit 65,EXIT 65,Victory Blvd; Van Nuys,"Van Nuys, California",https://www.iexitapp.com/California/I-405/Exit%2065/37403,34.192325,-118.474377,http://maps.google.com/maps?t=m&q=loc:34.192325+-118.474377,Southbound
California,I-405,37404,Exit 64,EXIT 64,Burbank Blvd,"Van Nuys, California",https://www.iexitapp.com/California/I-405/Exit%2064/37404,34.177352,-118.468567,http://maps.google.com/maps?t=m&q=loc:34.177352+-118.468567,Southbound
California,I-405,37406,Exit 63A,EXIT 63A,Valley Vista Blvd; Sepulveda Blvd,"Sherman Oaks, California",https://www.iexitapp.com/California/I-405/Exit%2063A/37406,34.150966,-118.468396,http://maps.google.com/maps?t=m&q=loc:34.150966+-118.468396,Southbound
California,I-405,55836,Exit 61,EXIT 61,Skirball Center Dr; Mulholland Dr,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2061/55836,34.123752,-118.477813,http://maps.google.com/maps?t=m&q=loc:34.123752+-118.477813,Southbound
California,I-405,37408,Exit 59,EXIT 59,Getty Center Dr,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2059/37408,34.100913,-118.477896,http://maps.google.com/maps?t=m&q=loc:34.100913+-118.477896,Southbound
California,I-405,37409,Exit 57,EXIT 57,Sunset Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2057/37409,34.075126,-118.468541,http://maps.google.com/maps?t=m&q=loc:34.075126+-118.468541,Southbound
California,I-405,37410,Exit 55C,EXIT 55C,Wilshire Boulevard,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2055C/37410,34.059723,-118.45551,http://maps.google.com/maps?t=m&q=loc:34.059723+-118.45551,Southbound
California,I-405,55837,Exit 55C,EXIT 55C,Wilshire Boulevard,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2055C/55837,34.059089,-118.455237,http://maps.google.com/maps?t=m&q=loc:34.059089+-118.455237,Southbound
California,I-405,37411,Exit 55A,EXIT 55A,CA-2;Santa Monica Boulevard,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2055A/37411,34.050269,-118.44907,http://maps.google.com/maps?t=m&q=loc:34.050269+-118.44907,Southbound
California,I-405,55838,Exit 54,EXIT 54,Olympic Boulevard; Pico Boulevard,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2054/55838,34.039554,-118.440436,http://maps.google.com/maps?t=m&q=loc:34.039554+-118.440436,Southbound
California,I-405,55841,Exit 52,EXIT 52,Venice Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2052/55841,34.011787,-118.4183,http://maps.google.com/maps?t=m&q=loc:34.011787+-118.4183,Southbound
California,I-405,37415,Exit 51,EXIT 51,Culver Blvd; Washington Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2051/37415,34.005657,-118.413509,http://maps.google.com/maps?t=m&q=loc:34.005657+-118.413509,Southbound
California,I-405,37416,Exit 50B,EXIT 50B,"CA 90;CA 90
          (MM: 50.0)","Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2050B/37416,33.993478,-118.403782,http://maps.google.com/maps?t=m&q=loc:33.993478+-118.403782,Southbound
California,I-405,37417,Exit 50A,EXIT 50A,Jefferson Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2050A/37417,33.990206,-118.4012,http://maps.google.com/maps?t=m&q=loc:33.990206+-118.4012,Southbound
California,I-405,37418,Exit 49,EXIT 49,H Hughes Pkwy; Sepulveda Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2049/37418,33.979474,-118.392752,http://maps.google.com/maps?t=m&q=loc:33.979474+-118.392752,Southbound
California,I-405,37419,Exit 48,EXIT 48,La Tijera Blvd,"Los Angeles, California",https://www.iexitapp.com/California/I-405/Exit%2048/37419,33.974027,-118.382112,http://maps.google.com/maps?t=m&q=loc:33.974027+-118.382112,Southbound
California,I-405,37420,Exit 47,EXIT 47,Florence Ave; Manchester Blvd,"Inglewood, California",https://www.iexitapp.com/California/I-405/Exit%2047/37420,33.968866,-118.372691,http://maps.google.com/maps?t=m&q=loc:33.968866+-118.372691,Southbound
California,I-405,55843,Exit 46,EXIT 46,Lax Airport,"Inglewood, California",https://www.iexitapp.com/California/I-405/Exit%2046/55843,33.949213,-118.36924,http://maps.google.com/maps?t=m&q=loc:33.949213+-118.36924,Southbound
California,I-405,55844,Exit 46,EXIT 46,Imperial Hwy,"Inglewood, California",https://www.iexitapp.com/California/I-405/Exit%2046/55844,33.936983,-118.368948,http://maps.google.com/maps?t=m&q=loc:33.936983+-118.368948,Southbound
