state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
California,US 50,41213,Exit 1,EXIT 1,Harbor Boulevard,"West Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%201/41213,38.574937,-121.552988,http://maps.google.com/maps?t=m&q=loc:38.574937+-121.552988,Northbound
California,US 50,41214,Exit 3,EXIT 3,"Jefferson Boulevard (SR 84) – Downtown Sacramento (SR 275), West Sacramento","West Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%203/41214,38.575164,-121.534318,http://maps.google.com/maps?t=m&q=loc:38.575164+-121.534318,Northbound
California,US 50,41215,Exit 4A,EXIT 4A,"I-5 to SR 99 north – Redding, Los Angeles","Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%204A/41215,38.570721,-121.515514,http://maps.google.com/maps?t=m&q=loc:38.570721+-121.515514,Northbound
California,US 50,41216,Exit 4B,EXIT 4B,5th Street – Downtown Sacramento,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%204B/41216,38.568785,-121.512464,http://maps.google.com/maps?t=m&q=loc:38.568785+-121.512464,Northbound
California,US 50,41217,Exit 5,EXIT 5,"15th Street, 16th Street","Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%205/41217,38.564672,-121.497454,http://maps.google.com/maps?t=m&q=loc:38.564672+-121.497454,Northbound
California,US 50,41219,Exit 7,EXIT 7,34th Street,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%207/41219,38.558854,-121.471125,http://maps.google.com/maps?t=m&q=loc:38.558854+-121.471125,Northbound
California,US 50,41220,Exit 8A,EXIT 8A,59th Street,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%208A/41220,38.556214,-121.443326,http://maps.google.com/maps?t=m&q=loc:38.556214+-121.443326,Northbound
California,US 50,41221,Exit 8B,EXIT 8B,65th Street,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%208B/41221,38.55169,-121.432638,http://maps.google.com/maps?t=m&q=loc:38.55169+-121.432638,Northbound
California,US 50,41222,Exit 9,EXIT 9,Cal State University Sacramento,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%209/41222,38.552189,-121.415489,http://maps.google.com/maps?t=m&q=loc:38.552189+-121.415489,Northbound
California,US 50,41223,Exit 11,EXIT 11,Watt Avenue,"Sacramento, California",https://www.iexitapp.com/California/US%2050/Exit%2011/41223,38.557785,-121.387309,http://maps.google.com/maps?t=m&q=loc:38.557785+-121.387309,Northbound
