state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Colorado,E 470,76680,Exit 2,EXIT 2,Alameda Parkway,"Morrison, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%202/76680,39.690711,-105.187938,http://maps.google.com/maps?t=m&q=loc:39.690711+-105.187938,Northbound
Colorado,E 470,76681,Exit 4,EXIT 4,CO 8; Morrison Road,"Morrison, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%204/76681,39.65849,-105.182416,http://maps.google.com/maps?t=m&q=loc:39.65849+-105.182416,Northbound
Colorado,E 470,76683,Exit 5A,EXIT 5A,US 285 South; Fairplay,"Morrison, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%205A/76683,39.641835,-105.174378,http://maps.google.com/maps?t=m&q=loc:39.641835+-105.174378,Northbound
Colorado,E 470,76682,Exit 5B,EXIT 5B,US 285; Denver,"Morrison, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%205B/76682,39.636498,-105.165698,http://maps.google.com/maps?t=m&q=loc:39.636498+-105.165698,Northbound
Colorado,E 470,76684,Exit 6,EXIT 6,Quincy Avenue,"Morrison, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%206/76684,39.630734,-105.15928,http://maps.google.com/maps?t=m&q=loc:39.630734+-105.15928,Northbound
Colorado,E 470,76679,Exit 7,EXIT 7,Bowles Avenue,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%207/76679,39.614194,-105.150362,http://maps.google.com/maps?t=m&q=loc:39.614194+-105.150362,Northbound
Colorado,E 470,76686,Exit 10,EXIT 10,Ken Caryl Avenue,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2010/76686,39.582492,-105.143871,http://maps.google.com/maps?t=m&q=loc:39.582492+-105.143871,Northbound
Colorado,E 470,76685,Exit 12,EXIT 12,Kipling Parkway,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2012/76685,39.560238,-105.116045,http://maps.google.com/maps?t=m&q=loc:39.560238+-105.116045,Northbound
Colorado,E 470,76687,Exit 14,EXIT 14,CO 121; Wadsworth Blvd,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2014/76687,39.554103,-105.09256,http://maps.google.com/maps?t=m&q=loc:39.554103+-105.09256,Northbound
Colorado,E 470,76678,Exit 17,EXIT 17,US 85; Santa Fe Drive,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2017/76678,39.564866,-105.038067,http://maps.google.com/maps?t=m&q=loc:39.564866+-105.038067,Northbound
Colorado,E 470,76700,Exit 18,EXIT 18,Lucent Blvd,"Highlands Ranch, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2018/76700,39.561534,-105.013998,http://maps.google.com/maps?t=m&q=loc:39.561534+-105.013998,Northbound
Colorado,E 470,76688,Exit 20,EXIT 20,Broadway,"Highlands Ranch, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2020/76688,39.562065,-104.992737,http://maps.google.com/maps?t=m&q=loc:39.562065+-104.992737,Northbound
Colorado,E 470,76690,Exit 21,EXIT 21,CO 177; University Blvd,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2021/76690,39.563984,-104.968264,http://maps.google.com/maps?t=m&q=loc:39.563984+-104.968264,Northbound
Colorado,E 470,76689,Exit 24,EXIT 24,Quebec Street,"Littleton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2024/76689,39.56406,-104.910206,http://maps.google.com/maps?t=m&q=loc:39.56406+-104.910206,Northbound
Colorado,E 470,76691,Exit 25,EXIT 25,Yosemite Street,"Lone Tree, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2025/76691,39.561429,-104.884628,http://maps.google.com/maps?t=m&q=loc:39.561429+-104.884628,Northbound
Colorado,E 470,41792,I-25,EXIT,I-25,"Lone Tree, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%20/41792,39.560033,-104.882677,http://maps.google.com/maps?t=m&q=loc:39.560033+-104.882677,Northbound
Colorado,E 470,41742,Exit 2,EXIT 2,Peoria Street – Centennial Airport,"Englewood, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%202/41742,39.550491,-104.848456,http://maps.google.com/maps?t=m&q=loc:39.550491+-104.848456,Northbound
Colorado,E 470,41743,Exit 3,EXIT 3,Chambers Road,"Parker, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%203/41743,39.554892,-104.812715,http://maps.google.com/maps?t=m&q=loc:39.554892+-104.812715,Northbound
Colorado,E 470,41744,Exit 4,EXIT 4,Jordan Road – Parker,"Parker, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%204/41744,39.549484,-104.799848,http://maps.google.com/maps?t=m&q=loc:39.549484+-104.799848,Northbound
Colorado,E 470,41745,Exit 5,EXIT 5,"SH 83 (Parker Road) – Parker, Centennial, Aurora","Parker, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%205/41745,39.548776,-104.782547,http://maps.google.com/maps?t=m&q=loc:39.548776+-104.782547,Northbound
Colorado,E 470,41746,Exit 9,EXIT 9,Gartrell Road,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%209/41746,39.576903,-104.732714,http://maps.google.com/maps?t=m&q=loc:39.576903+-104.732714,Northbound
Colorado,E 470,41747,Exit 10,EXIT 10,Smoky Hill Road,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2010/41747,39.591091,-104.71824,http://maps.google.com/maps?t=m&q=loc:39.591091+-104.71824,Northbound
Colorado,E 470,41748,Exit 13,EXIT 13,Quincy Avenue – Aurora,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2013/41748,39.632317,-104.718723,http://maps.google.com/maps?t=m&q=loc:39.632317+-104.718723,Northbound
Colorado,E 470,41749,Exit 16,EXIT 16,Jewell Avenue to Iliff Avenue,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2016/41749,39.675713,-104.724813,http://maps.google.com/maps?t=m&q=loc:39.675713+-104.724813,Northbound
Colorado,E 470,41750,Exit 19,EXIT 19,6th Parkway,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2019/41750,39.713746,-104.722598,http://maps.google.com/maps?t=m&q=loc:39.713746+-104.722598,Northbound
Colorado,E 470,41751,Exit 20A,EXIT 20A,I-70 Gun Club Road,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2020A/41751,39.728511,-104.718178,http://maps.google.com/maps?t=m&q=loc:39.728511+-104.718178,Northbound
Colorado,E 470,41753,Exit 24,EXIT 24,56th Avenue – Front Range Airport,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2024/41753,39.792258,-104.716144,http://maps.google.com/maps?t=m&q=loc:39.792258+-104.716144,Northbound
Colorado,E 470,41754,Exit 25,EXIT 25,64th Avenue,"Aurora, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2025/41754,39.807295,-104.717392,http://maps.google.com/maps?t=m&q=loc:39.807295+-104.717392,Northbound
Colorado,E 470,41755,"Exit 28A,B","EXIT 28A,B",Denver International Airport (east); Peña Boulevard (west),"Denver, Colorado","https://www.iexitapp.com/Colorado/E%20470/Exit%2028A,B/41755",39.825386,-104.746509,http://maps.google.com/maps?t=m&q=loc:39.825386+-104.746509,Northbound
Colorado,E 470,41756,Exit 31,EXIT 31,96th Avenue,"Commerce City, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2031/41756,39.867489,-104.753147,http://maps.google.com/maps?t=m&q=loc:39.867489+-104.753147,Northbound
Colorado,E 470,41757,Exit 32,EXIT 32,104th Avenue,"Commerce City, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2032/41757,39.880086,-104.761361,http://maps.google.com/maps?t=m&q=loc:39.880086+-104.761361,Northbound
Colorado,E 470,41758,Exit 34,EXIT 34,To I-76 west / 120th Avenue,"Commerce City, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2034/41758,39.909353,-104.777903,http://maps.google.com/maps?t=m&q=loc:39.909353+-104.777903,Northbound
Colorado,E 470,41760,Exit 38,EXIT 38,"US 85 to I-76 west – Brighton, Greeley, Commerce City, Denver","Brighton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2038/41760,39.935145,-104.846708,http://maps.google.com/maps?t=m&q=loc:39.935145+-104.846708,Northbound
Colorado,E 470,41761,Exit 43,EXIT 43,Colorado Boulevard – Thornton,"Brighton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2043/41761,39.970731,-104.928751,http://maps.google.com/maps?t=m&q=loc:39.970731+-104.928751,Northbound
Colorado,E 470,41762,Exit 45,EXIT 45,York Street,"Brighton, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2045/41762,39.976523,-104.950302,http://maps.google.com/maps?t=m&q=loc:39.976523+-104.950302,Northbound
Colorado,E 470,41764,Exit 48,EXIT 48,Sheridan Parkway,"Broomfield, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2048/41764,39.984859,-105.00885,http://maps.google.com/maps?t=m&q=loc:39.984859+-105.00885,Northbound
Colorado,E 470,41765,Exit 52,EXIT 52,US 297 – Dillon Road,"Broomfield, Colorado",https://www.iexitapp.com/Colorado/E%20470/Exit%2052/41765,39.961396,-105.079472,http://maps.google.com/maps?t=m&q=loc:39.961396+-105.079472,Northbound
