state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Colorado,I-25,19286,Exit 293,EXIT 293,Carr,"Carr, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20293/19286,40.915054,-104.935596,http://maps.google.com/maps?t=m&q=loc:40.915054+-104.935596,Southbound
Colorado,I-25,19287,Exit 288,EXIT 288,Buckeye Rd,"Carr, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20288/19287,40.845931,-104.964808,http://maps.google.com/maps?t=m&q=loc:40.845931+-104.964808,Southbound
Colorado,I-25,19288,Exit 281,EXIT 281,Owl Canyon Road,"Wellington, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20281/19288,40.758317,-104.992601,http://maps.google.com/maps?t=m&q=loc:40.758317+-104.992601,Southbound
Colorado,I-25,19289,Exit 278,EXIT 278,CO-1 S; Wellington,"Wellington, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20278/19289,40.706372,-104.996752,http://maps.google.com/maps?t=m&q=loc:40.706372+-104.996752,Southbound
Colorado,I-25,19290,Exit 271,EXIT 271,Mountain Vista Dr,"Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20271/19290,40.614259,-105.001494,http://maps.google.com/maps?t=m&q=loc:40.614259+-105.001494,Southbound
Colorado,I-25,19291,Exit 269B,EXIT 269B,CO-14 W; Ft Collins,"Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20269B/19291,40.584703,-105.001444,http://maps.google.com/maps?t=m&q=loc:40.584703+-105.001444,Southbound
Colorado,I-25,19292,Exit 269A,EXIT 269A,CO-14 E; Ault,"Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20269A/19292,40.580912,-105.00147,http://maps.google.com/maps?t=m&q=loc:40.580912+-105.00147,Southbound
Colorado,I-25,19293,Exit 268,EXIT 268,Prospect Rd,"Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20268/19293,40.569856,-105.001488,http://maps.google.com/maps?t=m&q=loc:40.569856+-105.001488,Southbound
Colorado,I-25,19294,Weigh Station,WEIGH STATION,"Weigh Station
          (MM: 267.0)","Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Weigh%20Station/19294,40.558832,-105.001319,http://maps.google.com/maps?t=m&q=loc:40.558832+-105.001319,Southbound
Colorado,I-25,19295,Exit 265,EXIT 265,Harmony Rd,"Fort Collins, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%20265/19295,40.526507,-104.992624,http://maps.google.com/maps?t=m&q=loc:40.526507+-104.992624,Southbound
