state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Colorado,I-25,18999,Exit 11,EXIT 11,Exit,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2011/18999,37.130688,-104.52098,http://maps.google.com/maps?t=m&q=loc:37.130688+-104.52098,Northbound
Colorado,I-25,19000,Exit 13A,EXIT 13A,Van Buren Street,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2013A/19000,37.159372,-104.516179,http://maps.google.com/maps?t=m&q=loc:37.159372+-104.516179,Northbound
Colorado,I-25,19001,Exit 13B,EXIT 13B,Main St,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2013B/19001,37.162552,-104.513727,http://maps.google.com/maps?t=m&q=loc:37.162552+-104.513727,Northbound
Colorado,I-25,19002,Exit 14,EXIT 14,Commercial St,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2014/19002,37.170193,-104.510835,http://maps.google.com/maps?t=m&q=loc:37.170193+-104.510835,Northbound
Colorado,I-25,19003,Exit 15,EXIT 15,US-160 E; Kit Carson Trail,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2015/19003,37.181705,-104.499061,http://maps.google.com/maps?t=m&q=loc:37.181705+-104.499061,Northbound
Colorado,I-25,19004,Exit 18,EXIT 18,El Mora Road,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2018/19004,37.223213,-104.492591,http://maps.google.com/maps?t=m&q=loc:37.223213+-104.492591,Northbound
Colorado,I-25,19005,Exit 23,EXIT 23,CR 42,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2023/19005,37.290481,-104.523318,http://maps.google.com/maps?t=m&q=loc:37.290481+-104.523318,Northbound
Colorado,I-25,19006,Exit 27,EXIT 27,Ludlow; Massacre Memorial,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2027/19006,37.337214,-104.566014,http://maps.google.com/maps?t=m&q=loc:37.337214+-104.566014,Northbound
Colorado,I-25,19007,Exit 30,EXIT 30,Aguilar Rd,"Trinidad, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2030/19007,37.379801,-104.599801,http://maps.google.com/maps?t=m&q=loc:37.379801+-104.599801,Northbound
Colorado,I-25,19008,Exit 34,EXIT 34,Aguilar,"Aguilar, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2034/19008,37.424857,-104.637512,http://maps.google.com/maps?t=m&q=loc:37.424857+-104.637512,Northbound
Colorado,I-25,19009,Exit 41,EXIT 41,Ruqby Rd,"Walsenburg, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2041/19009,37.511154,-104.68763,http://maps.google.com/maps?t=m&q=loc:37.511154+-104.68763,Northbound
Colorado,I-25,19010,Exit 42,EXIT 42,Exit,"Walsenburg, Colorado",https://www.iexitapp.com/Colorado/I-25/Exit%2042/19010,37.520619,-104.696162,http://maps.google.com/maps?t=m&q=loc:37.520619+-104.696162,Northbound
