state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Connecticut,CT 15,58234,Exit 27,EXIT 27,New York 120A; King Street,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2027/58234,41.036976,-73.675357,http://maps.google.com/maps?t=m&q=loc:41.036976+-73.675357,Northbound
Connecticut,CT 15,58235,Greenwich Service Plaza,SERVICE PLAZA,"Greenwich Service Plaza
          (MM: 27.5)","Greenwich, Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Service%20Plaza/58235,41.039931,-73.673359,http://maps.google.com/maps?t=m&q=loc:41.039931+-73.673359,Northbound
Connecticut,CT 15,58236,Exit 28,EXIT 28,Round Hill Rd,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2028/58236,41.082297,-73.665562,http://maps.google.com/maps?t=m&q=loc:41.082297+-73.665562,Northbound
Connecticut,CT 15,58237,Exit 29,EXIT 29,Lake Ave,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2029/58237,41.0912,-73.657301,http://maps.google.com/maps?t=m&q=loc:41.0912+-73.657301,Northbound
Connecticut,CT 15,58238,Exit 31,EXIT 31,North St,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2031/58238,41.094113,-73.631961,http://maps.google.com/maps?t=m&q=loc:41.094113+-73.631961,Northbound
Connecticut,CT 15,58239,Exit 33,EXIT 33,Den Road,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2033/58239,41.100864,-73.577234,http://maps.google.com/maps?t=m&q=loc:41.100864+-73.577234,Northbound
Connecticut,CT 15,58240,Exit 34,EXIT 34,CT-104; Long Ridge Road,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2034/58240,41.101305,-73.570966,http://maps.google.com/maps?t=m&q=loc:41.101305+-73.570966,Northbound
Connecticut,CT 15,58241,Exit 35,EXIT 35,CT-137 N,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2035/58241,41.109822,-73.551638,http://maps.google.com/maps?t=m&q=loc:41.109822+-73.551638,Northbound
Connecticut,CT 15,58242,Exit 36,EXIT 36,CT-106; Old Stamford Rd,", Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2036/58242,41.11738,-73.501428,http://maps.google.com/maps?t=m&q=loc:41.11738+-73.501428,Northbound
Connecticut,CT 15,58243,Exit 37,EXIT 37,State Route 124; New Canaan Darien,"New Canaan, Connecticut",https://www.iexitapp.com/Connecticut/CT%2015/Exit%2037/58243,41.117645,-73.487586,http://maps.google.com/maps?t=m&q=loc:41.117645+-73.487586,Northbound
