state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Connecticut,I-395,40238,Exit 2,EXIT 2,"Route 85 – Waterford, Chesterfield","Waterford, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%202/40238,41.39346,-72.170907,http://maps.google.com/maps?t=m&q=loc:41.39346+-72.170907,Northbound
Connecticut,I-395,40239,Exit 6,EXIT 6,"Route 163 – Uncasville, Montville","Uncasville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%206/40239,41.441253,-72.117293,http://maps.google.com/maps?t=m&q=loc:41.441253+-72.117293,Northbound
Connecticut,I-395,58231,CT State Police Troop,STATE PATROL,"CT State Police Troop
          (MM: 8.0)","Montville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/State%20Patrol/58231,41.471118,-72.116573,http://maps.google.com/maps?t=m&q=loc:41.471118+-72.116573,Northbound
Connecticut,I-395,40240,Exit 9,EXIT 9,"Route 2A east – Ledyard, Preston
          (MM: 9.0)","Uncasville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%209/40240,41.483884,-72.115833,http://maps.google.com/maps?t=m&q=loc:41.483884+-72.115833,Northbound
Connecticut,I-395,40241,Exit 11,EXIT 11,"Route 82 – Salem, Downtown Norwich","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2011/40241,41.505819,-72.114658,http://maps.google.com/maps?t=m&q=loc:41.505819+-72.114658,Northbound
Connecticut,I-395,40242,Exit 13,EXIT 13,"Route 2 / Route 32 – Norwich (east/south); Hartford (west/north)
          (MM: 13.0)","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2013/40242,41.543407,-72.110114,http://maps.google.com/maps?t=m&q=loc:41.543407+-72.110114,Northbound
Connecticut,I-395,40243,Exit 14,EXIT 14,"West Town Street (SR 642) – Yantic, Norwichtown","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2014/40243,41.550363,-72.107101,http://maps.google.com/maps?t=m&q=loc:41.550363+-72.107101,Northbound
Connecticut,I-395,40244,Exit 18,EXIT 18,"Route 97 – Taftville, Occum, Baltic","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2018/40244,41.584577,-72.054488,http://maps.google.com/maps?t=m&q=loc:41.584577+-72.054488,Northbound
Connecticut,I-395,40245,Exit 19,EXIT 19,"Route 169 – Lisbon, Taftville","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2019/40245,41.587871,-72.026668,http://maps.google.com/maps?t=m&q=loc:41.587871+-72.026668,Northbound
Connecticut,I-395,40246,Exit 21,EXIT 21,"Route 12 – Jewett City, Griswold, Lisbon, Taftville","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2021/40246,41.589039,-71.990699,http://maps.google.com/maps?t=m&q=loc:41.589039+-71.990699,Northbound
Connecticut,I-395,40247,Exit 22,EXIT 22,"Route 164 / Route 138 – Jewett City, Preston, Pachaug","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2022/40247,41.589964,-71.982252,http://maps.google.com/maps?t=m&q=loc:41.589964+-71.982252,Northbound
Connecticut,I-395,40248,Exit 24,EXIT 24,"Route 201 – Hopeville, Jewett City","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2024/40248,41.611435,-71.946358,http://maps.google.com/maps?t=m&q=loc:41.611435+-71.946358,Northbound
Connecticut,I-395,40249,Exit 28,EXIT 28,"Lathrop Road (SR 647) – Plainfield, Hopeville","Plainfield, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2028/40249,41.662327,-71.91728,http://maps.google.com/maps?t=m&q=loc:41.662327+-71.91728,Northbound
Connecticut,I-395,40250,Exit 29,EXIT 29,"Route 14A – Plainfield, Sterling Hill, Oneco","Plainfield, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2029/40250,41.681079,-71.908147,http://maps.google.com/maps?t=m&q=loc:41.681079+-71.908147,Northbound
Connecticut,I-395,40251,Exit 32,EXIT 32,"Route 14 – Canterbury, Moosup, Sterling","Moosup, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2032/40251,41.71804,-71.894668,http://maps.google.com/maps?t=m&q=loc:41.71804+-71.894668,Northbound
Connecticut,I-395,40252,Plainfield Northbound Service Plaza,SERVICE PLAZA,"Plainfield Northbound Service Plaza
          (MM: 34.0)","Moosup, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Service%20Plaza/40252,41.751723,-71.878698,http://maps.google.com/maps?t=m&q=loc:41.751723+-71.878698,Northbound
Connecticut,I-395,40253,Exit 35,EXIT 35,"Conn. Tpk. north to US 6 – Providence, RI
          (MM: 35.0)","Moosup, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2035/40253,41.762735,-71.872243,http://maps.google.com/maps?t=m&q=loc:41.762735+-71.872243,Northbound
Connecticut,I-395,40254,Exit 37,EXIT 37,"US 6 – Danielson, East Brooklyn, South Killingly","Danielson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2037/40254,41.792732,-71.876646,http://maps.google.com/maps?t=m&q=loc:41.792732+-71.876646,Northbound
Connecticut,I-395,40255,Exit 38,EXIT 38,"Lhomme Street / Westcott Road (SR 607) – South Killingly, Danielson","Danielson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2038/40255,41.799213,-71.873734,http://maps.google.com/maps?t=m&q=loc:41.799213+-71.873734,Northbound
Connecticut,I-395,40256,Exit 41,EXIT 41,"Route 101 – Dayville, East Killingly, Rogers, Pomfret","Dayville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2041/40256,41.839492,-71.877657,http://maps.google.com/maps?t=m&q=loc:41.839492+-71.877657,Northbound
Connecticut,I-395,40257,Exit 43,EXIT 43,"Lake Road – Attawaugen, Ballouville","Dayville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2043/40257,41.863327,-71.886528,http://maps.google.com/maps?t=m&q=loc:41.863327+-71.886528,Northbound
Connecticut,I-395,40258,Exit 45,EXIT 45,Kennedy Drive / Park Road – Putnam,"Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2045/40258,41.898492,-71.898804,http://maps.google.com/maps?t=m&q=loc:41.898492+-71.898804,Northbound
Connecticut,I-395,40259,Exit 46,EXIT 46,Heritage Road – Putnam,"Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2046/40259,41.905955,-71.893583,http://maps.google.com/maps?t=m&q=loc:41.905955+-71.893583,Northbound
Connecticut,I-395,40260,Exit 47,EXIT 47,"US 44 – Pomfret, Putnam, Providence, RI","Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2047/40260,41.921679,-71.885921,http://maps.google.com/maps?t=m&q=loc:41.921679+-71.885921,Northbound
Connecticut,I-395,40261,Exit 49,EXIT 49,Route 12 – Grosvenor Dale,"Thompson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2049/40261,41.9478,-71.8809,http://maps.google.com/maps?t=m&q=loc:41.9478+-71.8809,Northbound
Connecticut,I-395,40262,Exit 50,EXIT 50,"Route 200 – Thompson, North Grosvenor Dale","Thompson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2050/40262,41.960368,-71.875519,http://maps.google.com/maps?t=m&q=loc:41.960368+-71.875519,Northbound
Connecticut,I-395,40263,Exit 53,EXIT 53,"Wilsonville Road – East Thompson, Wilsonville","North Grosvenordale, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2053/40263,42.005049,-71.853177,http://maps.google.com/maps?t=m&q=loc:42.005049+-71.853177,Northbound
Connecticut,I-395,40286,Exit 53,EXIT 53,"Wilsonville Road – East Thompson, Wilsonville","North Grosvenordale, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2053/40286,42.012236,-71.85661,http://maps.google.com/maps?t=m&q=loc:42.012236+-71.85661,Southbound
Connecticut,I-395,40287,Exit 50,EXIT 50,"Route 200 – Thompson, North Grosvenor Dale","Thompson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2050/40287,41.968633,-71.871167,http://maps.google.com/maps?t=m&q=loc:41.968633+-71.871167,Southbound
Connecticut,I-395,40288,Exit 47,EXIT 47,"US 44 – Pomfret, Putnam, Providence, RI","Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2047/40288,41.928735,-71.882526,http://maps.google.com/maps?t=m&q=loc:41.928735+-71.882526,Southbound
Connecticut,I-395,40289,Exit 46,EXIT 46,Heritage Road – Putnam,"Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2046/40289,41.912667,-71.89041,http://maps.google.com/maps?t=m&q=loc:41.912667+-71.89041,Southbound
Connecticut,I-395,40290,Exit 45,EXIT 45,Kennedy Drive / Park Road – Putnam,"Putnam, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2045/40290,41.903482,-71.897431,http://maps.google.com/maps?t=m&q=loc:41.903482+-71.897431,Southbound
Connecticut,I-395,40291,Exit 43,EXIT 43,"Lake Road – Attawaugen, Ballouville","Dayville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2043/40291,41.870385,-71.891739,http://maps.google.com/maps?t=m&q=loc:41.870385+-71.891739,Southbound
Connecticut,I-395,40292,Exit 41,EXIT 41,"Route 101 – Dayville, East Killingly, Rogers, Pomfret","Dayville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2041/40292,41.84744,-71.879777,http://maps.google.com/maps?t=m&q=loc:41.84744+-71.879777,Southbound
Connecticut,I-395,40293,Exit 38,EXIT 38,"Lhomme Street / Westcott Road (SR 607) – South Killingly, Danielson","Danielson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2038/40293,41.813807,-71.870808,http://maps.google.com/maps?t=m&q=loc:41.813807+-71.870808,Southbound
Connecticut,I-395,40294,Exit 37B,EXIT 37B,"US 6 – Danielson, East Brooklyn, South Killingly","Danielson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2037B/40294,41.798006,-71.874769,http://maps.google.com/maps?t=m&q=loc:41.798006+-71.874769,Southbound
Connecticut,I-395,40295,Exit 37A,EXIT 37A,"US 6 – Danielson, East Brooklyn, South Killingly","Danielson, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2037A/40295,41.793497,-71.876963,http://maps.google.com/maps?t=m&q=loc:41.793497+-71.876963,Southbound
Connecticut,I-395,40297,Plainfield Southbound Service Plaza,SERVICE PLAZA,"Plainfield Southbound Service Plaza
          (MM: 34.0)","Moosup, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Service%20Plaza/40297,41.756538,-71.876406,http://maps.google.com/maps?t=m&q=loc:41.756538+-71.876406,Southbound
Connecticut,I-395,40298,Exit 32,EXIT 32,"Route 14 – Canterbury, Moosup, Sterling","Moosup, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2032/40298,41.723084,-71.89276,http://maps.google.com/maps?t=m&q=loc:41.723084+-71.89276,Southbound
Connecticut,I-395,40299,Exit 29,EXIT 29,"Route 14A – Plainfield, Sterling Hill, Oneco","Plainfield, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2029/40299,41.687327,-71.907488,http://maps.google.com/maps?t=m&q=loc:41.687327+-71.907488,Southbound
Connecticut,I-395,40300,Exit 28,EXIT 28,"Lathrop Road (SR 647) – Plainfield, Hopeville","Plainfield, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2028/40300,41.667871,-71.911874,http://maps.google.com/maps?t=m&q=loc:41.667871+-71.911874,Southbound
Connecticut,I-395,40301,Exit 24,EXIT 24,"Route 201 – Hopeville, Jewett City","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2024/40301,41.618157,-71.945061,http://maps.google.com/maps?t=m&q=loc:41.618157+-71.945061,Southbound
Connecticut,I-395,40302,Exit 22,EXIT 22,"Route 164 / Route 138 – Jewett City, Preston, Pachaug","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2022/40302,41.595584,-71.967029,http://maps.google.com/maps?t=m&q=loc:41.595584+-71.967029,Southbound
Connecticut,I-395,40303,Exit 21A,EXIT 21A,"Route 12 – Jewett City, Griswold, Lisbon, Taftville","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2021A/40303,41.589511,-71.987843,http://maps.google.com/maps?t=m&q=loc:41.589511+-71.987843,Southbound
Connecticut,I-395,40304,Exit 21B,EXIT 21B,"Route 12 – Jewett City, Griswold, Lisbon, Taftville","Jewett City, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2021B/40304,41.589139,-71.991251,http://maps.google.com/maps?t=m&q=loc:41.589139+-71.991251,Southbound
Connecticut,I-395,40305,Exit 18,EXIT 18,"Route 97 – Taftville, Occum, Baltic","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2018/40305,41.585287,-72.047856,http://maps.google.com/maps?t=m&q=loc:41.585287+-72.047856,Southbound
Connecticut,I-395,40306,Exit 14,EXIT 14,"West Town Street (SR 642) – Yantic, Norwichtown","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2014/40306,41.55756,-72.103946,http://maps.google.com/maps?t=m&q=loc:41.55756+-72.103946,Southbound
Connecticut,I-395,40307,Exit 13,EXIT 13,"Route 2 / Route 32 – Hartford, Norwich  Route 2A
          (MM: 13.0)","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2013/40307,41.546022,-72.109179,http://maps.google.com/maps?t=m&q=loc:41.546022+-72.109179,Southbound
Connecticut,I-395,40308,Exit 11,EXIT 11,"Route 82 – Salem, Downtown Norwich","Norwich, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%2011/40308,41.513783,-72.118896,http://maps.google.com/maps?t=m&q=loc:41.513783+-72.118896,Southbound
Connecticut,I-395,40309,Exit 9,EXIT 9,"Route 2A east – Ledyard, Preston
          (MM: 9.0)","Uncasville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%209/40309,41.493344,-72.11487,http://maps.google.com/maps?t=m&q=loc:41.493344+-72.11487,Southbound
Connecticut,I-395,58230,Montville Service Plaza,SERVICE PLAZA,"Montville Service Plaza
          (MM: 8.0)","Montville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Service%20Plaza/58230,41.475403,-72.116621,http://maps.google.com/maps?t=m&q=loc:41.475403+-72.116621,Southbound
Connecticut,I-395,40310,Exit 6,EXIT 6,"Route 163 – Uncasville, Montville","Uncasville, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%206/40310,41.448188,-72.117808,http://maps.google.com/maps?t=m&q=loc:41.448188+-72.117808,Southbound
Connecticut,I-395,40311,Exit 5,EXIT 5,Route 32 south (via SR 693) – New London,"Oxoboxo River, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%205/40311,41.430844,-72.123164,http://maps.google.com/maps?t=m&q=loc:41.430844+-72.123164,Southbound
Connecticut,I-395,40312,Exit 2,EXIT 2,"Route 85 – Waterford, Chesterfield","Waterford, Connecticut",https://www.iexitapp.com/Connecticut/I-395/Exit%202/40312,41.397104,-72.163243,http://maps.google.com/maps?t=m&q=loc:41.397104+-72.163243,Southbound
