state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,417 Toll,41854,Exit 54,EXIT 54,Rinehart Road (CR 431B),"Sanford, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2054/41854,28.798114,-81.330155,http://maps.google.com/maps?t=m&q=loc:28.798114+-81.330155,Southbound
Florida,417 Toll,41855,Exit 52,EXIT 52,"CR 46A – Sanford, Lake Mary","Sanford, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2052/41855,28.792237,-81.302646,http://maps.google.com/maps?t=m&q=loc:28.792237+-81.302646,Southbound
Florida,417 Toll,41856,Exit 50,EXIT 50,US 17 / US 92 (SR 15 / SR 600) – Sanford,"Sanford, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2050/41856,28.772907,-81.291141,http://maps.google.com/maps?t=m&q=loc:28.772907+-81.291141,Southbound
Florida,417 Toll,41857,Exit 49,EXIT 49,CR 427 / Lake Mary Boulevard – Orlando Sanford International Airport,"Sanford, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2049/41857,28.763829,-81.271672,http://maps.google.com/maps?t=m&q=loc:28.763829+-81.271672,Southbound
Florida,417 Toll,41858,Exit 44,EXIT 44,SR 434 (SR 419),"Oviedo, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2044/41858,28.695281,-81.230065,http://maps.google.com/maps?t=m&q=loc:28.695281+-81.230065,Southbound
Florida,417 Toll,41859,Exit 41,EXIT 41,Red Bug Lake Road,"Oviedo, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2041/41859,28.661917,-81.229837,http://maps.google.com/maps?t=m&q=loc:28.661917+-81.229837,Southbound
Florida,417 Toll,41860,Exit 38,EXIT 38,SR 426 (Aloma Avenue),"Oviedo, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2038/41860,28.622503,-81.257871,http://maps.google.com/maps?t=m&q=loc:28.622503+-81.257871,Southbound
Florida,417 Toll,41861,Exit 37,EXIT 37,University Boulevard,"Orlando, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2037/41861,28.60182,-81.252081,http://maps.google.com/maps?t=m&q=loc:28.60182+-81.252081,Southbound
Florida,417 Toll,41862,Toll,TOLL BOOTH,Toll,"Orlando, Florida",https://www.iexitapp.com/Florida/417%20Toll/Toll/41862,28.590831,-81.252843,http://maps.google.com/maps?t=m&q=loc:28.590831+-81.252843,Southbound
Florida,417 Toll,41863,Exit 34,EXIT 34,SR 50 (Colonial Drive),"Orlando, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2034/41863,28.574999,-81.26466,http://maps.google.com/maps?t=m&q=loc:28.574999+-81.26466,Southbound
Florida,417 Toll,41864,"Exit 33B,A","EXIT 33B,A","SR 408 – Orlando, Titusville","Orlando, Florida","https://www.iexitapp.com/Florida/417%20Toll/Exit%2033B,A/41864",28.562029,-81.267915,http://maps.google.com/maps?t=m&q=loc:28.562029+-81.267915,Southbound
Florida,417 Toll,41865,Exit 30,EXIT 30,Curry Ford Road,"Orlando, Florida",https://www.iexitapp.com/Florida/417%20Toll/Exit%2030/41865,28.515045,-81.250233,http://maps.google.com/maps?t=m&q=loc:28.515045+-81.250233,Southbound
Florida,417 Toll,41866,Toll,TOLL BOOTH,Toll,"Orlando, Florida",https://www.iexitapp.com/Florida/417%20Toll/Toll/41866,28.491973,-81.243272,http://maps.google.com/maps?t=m&q=loc:28.491973+-81.243272,Southbound
