state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,Florida's Turnpike,41695,Exit 304,EXIT 304,US 301 – Wildwood,"Wildwood, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20304/41695,28.839003,-82.049391,http://maps.google.com/maps?t=m&q=loc:28.839003+-82.049391,Southbound
Florida,Florida's Turnpike,41696,Okahumpka Service Plaza,SERVICE PLAZA,"Okahumpka Service Plaza
          (MM: 299.0)","Wildwood, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Service%20Plaza/41696,28.788901,-81.987268,http://maps.google.com/maps?t=m&q=loc:28.788901+-81.987268,Southbound
Florida,Florida's Turnpike,41697,Exit 296,EXIT 296,CR 470 – Leesburg,"Okahumpka, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20296/41697,28.761235,-81.945048,http://maps.google.com/maps?t=m&q=loc:28.761235+-81.945048,Southbound
Florida,Florida's Turnpike,41698,Exit 289,EXIT 289,"US 27 (SR 25) to SR 19 – Tavares, Clermont","Leesburg, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20289/41698,28.679681,-81.859135,http://maps.google.com/maps?t=m&q=loc:28.679681+-81.859135,Southbound
Florida,Florida's Turnpike,41699,Exit 272,EXIT 272,"SR 50 – Winter Garden, Clermont","Winter Garden, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20272/41699,28.550823,-81.644654,http://maps.google.com/maps?t=m&q=loc:28.550823+-81.644654,Southbound
Florida,Florida's Turnpike,41700,Exit 267A,EXIT 267A,"SR 429 – Apopka, Tampa","Winter Garden, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20267A/41700,28.545207,-81.569013,http://maps.google.com/maps?t=m&q=loc:28.545207+-81.569013,Southbound
Florida,Florida's Turnpike,41701,Exit 267B,EXIT 267B,SR 50 – Ocoee,"Winter Garden, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20267B/41701,28.546509,-81.559599,http://maps.google.com/maps?t=m&q=loc:28.546509+-81.559599,Southbound
Florida,Florida's Turnpike,41702,Exit 265,EXIT 265,"SR 408 east – Orlando, Titusville","Ocoee, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20265/41702,28.5419,-81.536024,http://maps.google.com/maps?t=m&q=loc:28.5419+-81.536024,Southbound
Florida,Florida's Turnpike,41703,Turkey Lake Service Plaza,SERVICE PLAZA,"Turkey Lake Service Plaza
          (MM: 263.0)","Orlando, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Service%20Plaza/41703,28.518406,-81.50487,http://maps.google.com/maps?t=m&q=loc:28.518406+-81.50487,Southbound
Florida,Florida's Turnpike,41704,Exit 259,EXIT 259,"I-4 (SR 400) – Orlando, Tampa","Orlando, Florida",https://www.iexitapp.com/Florida/Florida's%20Turnpike/Exit%20259/41704,28.480179,-81.450469,http://maps.google.com/maps?t=m&q=loc:28.480179+-81.450469,Southbound
