state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,I-75,45411,Exit 2,EXIT 2,NW 138th St; Graham Dairy Rd,"Hialeah, Florida",https://www.iexitapp.com/Florida/I-75/Exit%202/45411,25.898424,-80.340192,http://maps.google.com/maps?t=m&q=loc:25.898424+-80.340192,Northbound
Florida,I-75,45412,Exit 4,EXIT 4,FL-860; NW 186 St; Miami Gardens Dr,"Hialeah, Florida",https://www.iexitapp.com/Florida/I-75/Exit%204/45412,25.935433,-80.350426,http://maps.google.com/maps?t=m&q=loc:25.935433+-80.350426,Northbound
Florida,I-75,45414,Exit 7A,EXIT 7A,E Miramar Pkwy,"Hollywood, Florida",https://www.iexitapp.com/Florida/I-75/Exit%207A/45414,25.972154,-80.35208,http://maps.google.com/maps?t=m&q=loc:25.972154+-80.35208,Northbound
Florida,I-75,45415,Exit 7B,EXIT 7B,W Miramar Pkwy,"Hollywood, Florida",https://www.iexitapp.com/Florida/I-75/Exit%207B/45415,25.979917,-80.350723,http://maps.google.com/maps?t=m&q=loc:25.979917+-80.350723,Northbound
Florida,I-75,45416,Exit 9A,EXIT 9A,820,"Hollywood, Florida",https://www.iexitapp.com/Florida/I-75/Exit%209A/45416,26.003628,-80.339003,http://maps.google.com/maps?t=m&q=loc:26.003628+-80.339003,Northbound
Florida,I-75,45417,Exit 9B,EXIT 9B,Pines Blvd; FL-820 W,"Hollywood, Florida",https://www.iexitapp.com/Florida/I-75/Exit%209B/45417,26.008272,-80.340179,http://maps.google.com/maps?t=m&q=loc:26.008272+-80.340179,Northbound
Florida,I-75,45418,Exit 11A,EXIT 11A,E Sheridan St,"Pembroke Pines, Florida",https://www.iexitapp.com/Florida/I-75/Exit%2011A/45418,26.023887,-80.348822,http://maps.google.com/maps?t=m&q=loc:26.023887+-80.348822,Northbound
Florida,I-75,45419,Exit 11B,EXIT 11B,W Sheridan St,"Fort Lauderdale, Florida",https://www.iexitapp.com/Florida/I-75/Exit%2011B/45419,26.029935,-80.351532,http://maps.google.com/maps?t=m&q=loc:26.029935+-80.351532,Northbound
Florida,I-75,45420,Exit 13A,EXIT 13A,Griffin Rd E,"Fort Lauderdale, Florida",https://www.iexitapp.com/Florida/I-75/Exit%2013A/45420,26.055836,-80.352841,http://maps.google.com/maps?t=m&q=loc:26.055836+-80.352841,Northbound
Florida,I-75,45421,Exit 13B,EXIT 13B,Griffin Rd W,"Fort Lauderdale, Florida",https://www.iexitapp.com/Florida/I-75/Exit%2013B/45421,26.06293,-80.353622,http://maps.google.com/maps?t=m&q=loc:26.06293+-80.353622,Northbound
