state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,Ronald Reagan Turnpike,41601,Exit 2,EXIT 2,Campbell Drive / Southwest 312th Street - Homestead,"Homestead, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%202/41601,25.472672,-80.447158,http://maps.google.com/maps?t=m&q=loc:25.472672+-80.447158,Northbound
Florida,Ronald Reagan Turnpike,41602,Exit 5,EXIT 5,Biscayne Drive / Southwest 288th Street,"Homestead, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%205/41602,25.494884,-80.417911,http://maps.google.com/maps?t=m&q=loc:25.494884+-80.417911,Northbound
Florida,Ronald Reagan Turnpike,41603,Exit 9,EXIT 9,SR 989 (Southwest 112th Avenue),"Homestead, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%209/41603,25.531237,-80.376939,http://maps.google.com/maps?t=m&q=loc:25.531237+-80.376939,Northbound
Florida,Ronald Reagan Turnpike,41604,Exit 11,EXIT 11,Southwest 216th Street / Cutler Ridge Boulevard,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2011/41604,25.56221,-80.362721,http://maps.google.com/maps?t=m&q=loc:25.56221+-80.362721,Northbound
Florida,Ronald Reagan Turnpike,41605,Exit 12,EXIT 12,Cutler Ridge Boulevard / Caribbean Boulevard / Southwest 200th Street,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2012/41605,25.568822,-80.36281,http://maps.google.com/maps?t=m&q=loc:25.568822+-80.36281,Northbound
Florida,Ronald Reagan Turnpike,41606,Exit 13,EXIT 13,SR 994 (Quail Roost Drive) / Eureka Drive,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2013/41606,25.591403,-80.369167,http://maps.google.com/maps?t=m&q=loc:25.591403+-80.369167,Northbound
Florida,Ronald Reagan Turnpike,41607,Exit 16,EXIT 16,SR 992 (Southwest 152nd Street) / Southwest 117th Avenue,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2016/41607,25.621305,-80.378656,http://maps.google.com/maps?t=m&q=loc:25.621305+-80.378656,Northbound
Florida,Ronald Reagan Turnpike,41608,Exit 17,EXIT 17,SR 874 to SR 826 – Miami,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2017/41608,25.643785,-80.385394,http://maps.google.com/maps?t=m&q=loc:25.643785+-80.385394,Northbound
Florida,Ronald Reagan Turnpike,41609,Exit 19,EXIT 19,Southwest 120th Street,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2019/41609,25.653402,-80.385941,http://maps.google.com/maps?t=m&q=loc:25.653402+-80.385941,Northbound
Florida,Ronald Reagan Turnpike,41610,Snapper Creek Service Plaza,SERVICE PLAZA,"Snapper Creek Service Plaza
          (MM: 19.0)","Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Service%20Plaza/41610,25.655393,-80.38578,http://maps.google.com/maps?t=m&q=loc:25.655393+-80.38578,Northbound
Florida,Ronald Reagan Turnpike,41611,Exit 20,EXIT 20,SR 94 (Southwest 88th Street / Kendall Drive),"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2020/41611,25.680124,-80.388756,http://maps.google.com/maps?t=m&q=loc:25.680124+-80.388756,Northbound
Florida,Ronald Reagan Turnpike,41612,Exit 23,EXIT 23,SR 976 (Southwest 40th Street),"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2023/41612,25.727398,-80.383806,http://maps.google.com/maps?t=m&q=loc:25.727398+-80.383806,Northbound
Florida,Ronald Reagan Turnpike,41613,Exit 25,EXIT 25,US 41 (Southwest 8th Street / SR 90),"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2025/41613,25.755674,-80.385029,http://maps.google.com/maps?t=m&q=loc:25.755674+-80.385029,Northbound
Florida,Ronald Reagan Turnpike,41614,Exit 26,EXIT 26,SR 836 east – Miami International Airport,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2026/41614,25.77141,-80.385604,http://maps.google.com/maps?t=m&q=loc:25.77141+-80.385604,Northbound
Florida,Ronald Reagan Turnpike,41615,Exit 27,EXIT 27,Northwest 12th Street,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2027/41615,25.777222,-80.385802,http://maps.google.com/maps?t=m&q=loc:25.777222+-80.385802,Northbound
Florida,Ronald Reagan Turnpike,41616,Exit 29,EXIT 29,Northwest 41st Street,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2029/41616,25.803474,-80.386012,http://maps.google.com/maps?t=m&q=loc:25.803474+-80.386012,Northbound
Florida,Ronald Reagan Turnpike,41617,Exit 31,EXIT 31,Northwest 74th Street,"Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Exit%2031/41617,25.835033,-80.386835,http://maps.google.com/maps?t=m&q=loc:25.835033+-80.386835,Northbound
Florida,Ronald Reagan Turnpike,41618,Toll,TOLL BOOTH,"Toll
          (MM: 31.0)","Miami, Florida",https://www.iexitapp.com/Florida/Ronald%20Reagan%20Turnpike/Toll/41618,25.845237,-80.387199,http://maps.google.com/maps?t=m&q=loc:25.845237+-80.387199,Northbound
