state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,Sawgrass Expressway,76864,Exit 1,EXIT 1,FL 838; Sunrise Blvd,"Sunrise, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%201/76864,26.139963,-80.343447,http://maps.google.com/maps?t=m&q=loc:26.139963+-80.343447,Northbound
Florida,Sawgrass Expressway,76863,Exit 1B,EXIT 1B,Pat Salerno Drive,"Sunrise, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%201B/76863,26.154922,-80.334109,http://maps.google.com/maps?t=m&q=loc:26.154922+-80.334109,Northbound
Florida,Sawgrass Expressway,76866,Exit 3,EXIT 3,FL 816; Oakland Park Blvd,"Sunrise, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%203/76866,26.165832,-80.321668,http://maps.google.com/maps?t=m&q=loc:26.165832+-80.321668,Northbound
Florida,Sawgrass Expressway,76865,Exit 5,EXIT 5,FL 870; Commercial Blvd,"Parkland, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%205/76865,26.187398,-80.297388,http://maps.google.com/maps?t=m&q=loc:26.187398+-80.297388,Northbound
Florida,Sawgrass Expressway,76867,Exit 8,EXIT 8,FL 814; Atlantic Blvd,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%208/76867,26.227815,-80.29612,http://maps.google.com/maps?t=m&q=loc:26.227815+-80.29612,Northbound
Florida,Sawgrass Expressway,76856,Exit 11,EXIT 11,FL 834; Sample Road,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2011/76856,26.267529,-80.296878,http://maps.google.com/maps?t=m&q=loc:26.267529+-80.296878,Northbound
Florida,Sawgrass Expressway,76857,Exit 14,EXIT 14,Coral Ridge Drive,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2014/76857,26.302141,-80.285602,http://maps.google.com/maps?t=m&q=loc:26.302141+-80.285602,Northbound
Florida,Sawgrass Expressway,76858,Exit 15,EXIT 15,FL 817; University Drive,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2015/76858,26.301785,-80.257577,http://maps.google.com/maps?t=m&q=loc:26.301785+-80.257577,Northbound
Florida,Sawgrass Expressway,76862,Exit 18A,EXIT 18A,US 441 South,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2018A/76862,26.300129,-80.209869,http://maps.google.com/maps?t=m&q=loc:26.300129+-80.209869,Northbound
Florida,Sawgrass Expressway,76861,Exit 18B,EXIT 18B,US 441 North,"Margate, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2018B/76861,26.299843,-80.20099,http://maps.google.com/maps?t=m&q=loc:26.299843+-80.20099,Northbound
Florida,Sawgrass Expressway,76872,Exit 19,EXIT 19,Lyons Road,"Coconut Creek, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2019/76872,26.29988,-80.192693,http://maps.google.com/maps?t=m&q=loc:26.29988+-80.192693,Northbound
Florida,Sawgrass Expressway,76859,Exit 21A,EXIT 21A,"Florida's Turnpike South
          (MM: 21.0)","Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2021A/76859,26.304926,-80.174817,http://maps.google.com/maps?t=m&q=loc:26.304926+-80.174817,Northbound
Florida,Sawgrass Expressway,76860,Exit 21B,EXIT 21B,Florida's Turnpike North,"Coconut Creek, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2021B/76860,26.305171,-80.168256,http://maps.google.com/maps?t=m&q=loc:26.305171+-80.168256,Northbound
Florida,Sawgrass Expressway,76855,Exit 22,EXIT 22,SW 10th Street,"Deerfield Beach, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2022/76855,26.305724,-80.164265,http://maps.google.com/maps?t=m&q=loc:26.305724+-80.164265,Northbound
Florida,Sawgrass Expressway,76873,Exit 19,EXIT 19,Lyons Road,"Coconut Creek, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2019/76873,26.30545,-80.177626,http://maps.google.com/maps?t=m&q=loc:26.30545+-80.177626,Southbound
Florida,Sawgrass Expressway,76871,Exit 18A,EXIT 18A,US 441 North,"Margate, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2018A/76871,26.300188,-80.195806,http://maps.google.com/maps?t=m&q=loc:26.300188+-80.195806,Southbound
Florida,Sawgrass Expressway,76875,Exit 18B,EXIT 18B,US 441 South,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2018B/76875,26.300178,-80.203543,http://maps.google.com/maps?t=m&q=loc:26.300178+-80.203543,Southbound
Florida,Sawgrass Expressway,76874,Exit 15,EXIT 15,FL 817; University Drive,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2015/76874,26.301924,-80.243347,http://maps.google.com/maps?t=m&q=loc:26.301924+-80.243347,Southbound
Florida,Sawgrass Expressway,76876,Exit 14,EXIT 14,Coral Ridge Drive,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2014/76876,26.302331,-80.271746,http://maps.google.com/maps?t=m&q=loc:26.302331+-80.271746,Southbound
Florida,Sawgrass Expressway,76870,Exit 11,EXIT 11,FL 834; Sample Road,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%2011/76870,26.278219,-80.297174,http://maps.google.com/maps?t=m&q=loc:26.278219+-80.297174,Southbound
Florida,Sawgrass Expressway,76878,Exit 8,EXIT 8,FL 814; Atlantic Blvd,"Coral Springs, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%208/76878,26.238386,-80.297082,http://maps.google.com/maps?t=m&q=loc:26.238386+-80.297082,Southbound
Florida,Sawgrass Expressway,76877,Exit 5,EXIT 5,FL 870; Commercial Blvd,"Parkland, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%205/76877,26.20007,-80.296187,http://maps.google.com/maps?t=m&q=loc:26.20007+-80.296187,Southbound
Florida,Sawgrass Expressway,76880,Exit 3,EXIT 3,FL 816; Oakland Park Blvd,"Sunrise, Florida",https://www.iexitapp.com/Florida/Sawgrass%20Expressway/Exit%203/76880,26.174323,-80.313087,http://maps.google.com/maps?t=m&q=loc:26.174323+-80.313087,Southbound
