state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,Western Beltway,41824,Exit 1,EXIT 1,"I-4 (SR 400) – Orlando, Tampa","Kissimmee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%201/41824,28.286357,-81.596068,http://maps.google.com/maps?t=m&q=loc:28.286357+-81.596068,Northbound
Florida,Western Beltway,41793,Exit 1A,EXIT 1A,Sinclair Road,"Kissimmee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%201A/41793,28.291546,-81.599591,http://maps.google.com/maps?t=m&q=loc:28.291546+-81.599591,Northbound
Florida,Western Beltway,41794,Exit 6,EXIT 6,US 192 (SR 530) – Kissimmee,"Kissimmee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%206/41794,28.340373,-81.615701,http://maps.google.com/maps?t=m&q=loc:28.340373+-81.615701,Northbound
Florida,Western Beltway,41795,Toll,TOLL BOOTH,"Toll
          (MM: 7.0)","Orlando, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Toll/41795,28.355689,-81.613051,http://maps.google.com/maps?t=m&q=loc:28.355689+-81.613051,Northbound
Florida,Western Beltway,41796,Exit 8,EXIT 8,"Disney World (via Western Way), Hartzog Road","Winter Garden, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%208/41796,28.371765,-81.609847,http://maps.google.com/maps?t=m&q=loc:28.371765+-81.609847,Northbound
Florida,Western Beltway,41797,Exit 11,EXIT 11,Seidel Road,"Winter Garden, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2011/41797,28.412324,-81.628398,http://maps.google.com/maps?t=m&q=loc:28.412324+-81.628398,Northbound
Florida,Western Beltway,41798,Exit 15,EXIT 15,New Independence Parkway,"Winter Garden, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2015/41798,28.468946,-81.631365,http://maps.google.com/maps?t=m&q=loc:28.468946+-81.631365,Northbound
Florida,Western Beltway,41799,Toll,TOLL BOOTH,"Toll
          (MM: 17.0)","Winter Garden, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Toll/41799,28.496331,-81.618988,http://maps.google.com/maps?t=m&q=loc:28.496331+-81.618988,Northbound
Florida,Western Beltway,41800,Exit 19,EXIT 19,CR 535 (Winter Garden Vineland Road),"Winter Garden, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2019/41800,28.51527,-81.59378,http://maps.google.com/maps?t=m&q=loc:28.51527+-81.59378,Northbound
Florida,Western Beltway,41801,Exit 22,EXIT 22,"Turnpike (SR 91) – Miami, Ocala","Ocoee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2022/41801,28.536001,-81.557121,http://maps.google.com/maps?t=m&q=loc:28.536001+-81.557121,Northbound
Florida,Western Beltway,41802,Exit 23,EXIT 23,SR 50 (West Colonial Drive),"Ocoee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2023/41802,28.547505,-81.557827,http://maps.google.com/maps?t=m&q=loc:28.547505+-81.557827,Northbound
Florida,Western Beltway,41803,Exit 24,EXIT 24,SR 438 (Plant Street / Franklin Street),"Ocoee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2024/41803,28.564136,-81.558211,http://maps.google.com/maps?t=m&q=loc:28.564136+-81.558211,Northbound
Florida,Western Beltway,41804,Exit 26,EXIT 26,West Road to Clarcona-Ocoee Road (CR 437),"Ocoee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2026/41804,28.599491,-81.548607,http://maps.google.com/maps?t=m&q=loc:28.599491+-81.548607,Northbound
Florida,Western Beltway,41805,Toll,TOLL BOOTH,"Toll
          (MM: 27.0)","Ocoee, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Toll/41805,28.61133,-81.536867,http://maps.google.com/maps?t=m&q=loc:28.61133+-81.536867,Northbound
Florida,Western Beltway,41806,Exit 29,EXIT 29,CR 437A (Ocoee-Apopka Road),"Apopka, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2029/41806,28.630269,-81.539196,http://maps.google.com/maps?t=m&q=loc:28.630269+-81.539196,Northbound
Florida,Western Beltway,41807,Exit 30,EXIT 30,"SR 414 east to SR 451 north – Maitland, Apopka","Apopka, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%2030/41807,28.646663,-81.542518,http://maps.google.com/maps?t=m&q=loc:28.646663+-81.542518,Northbound
Florida,Western Beltway,41808,"To US 441 (Orange Blossom Trail / SR 500) / CR 437 (Plymouth-Sorrento Road) / SR 429 Connector Road – Mount Dora, Plymouth",EXIT,"To US 441 (Orange Blossom Trail / SR 500) / CR 437 (Plymouth-Sorrento Road) / SR 429 Connector Road – Mount Dora, Plymouth","Apopka, Florida",https://www.iexitapp.com/Florida/Western%20Beltway/Exit%20/41808,28.694873,-81.559089,http://maps.google.com/maps?t=m&q=loc:28.694873+-81.559089,Northbound
