state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Georgia,GA 316,58134,Sugarloaf Pkwy,EXIT,Sugarloaf Pkwy,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58134,33.961324,-84.068619,http://maps.google.com/maps?t=m&q=loc:33.961324+-84.068619,Eastbound
Georgia,GA 316,58135,Riverside Pkwy,EXIT,Riverside Pkwy,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58135,33.95861,-84.042077,http://maps.google.com/maps?t=m&q=loc:33.95861+-84.042077,Eastbound
Georgia,GA 316,58136,GA-120,EXIT,GA-120,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58136,33.965172,-84.019634,http://maps.google.com/maps?t=m&q=loc:33.965172+-84.019634,Eastbound
Georgia,GA 316,58137,GA-120,EXIT,GA-120,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58137,33.971432,-84.009437,http://maps.google.com/maps?t=m&q=loc:33.971432+-84.009437,Eastbound
Georgia,GA 316,58138,Wimberly Way,EXIT,Wimberly Way,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58138,33.981533,-83.974459,http://maps.google.com/maps?t=m&q=loc:33.981533+-83.974459,Westbound
Georgia,GA 316,58139,Lawrenceville; Buford; Collins Hill Rd,EXIT,Lawrenceville; Buford; Collins Hill Rd,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58139,33.980698,-83.978891,http://maps.google.com/maps?t=m&q=loc:33.980698+-83.978891,Westbound
Georgia,GA 316,58140,Collins Hill Rd,EXIT,Collins Hill Rd,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58140,33.973448,-84.006671,http://maps.google.com/maps?t=m&q=loc:33.973448+-84.006671,Westbound
Georgia,GA 316,58141,GA-120,EXIT,GA-120,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58141,33.969138,-84.013564,http://maps.google.com/maps?t=m&q=loc:33.969138+-84.013564,Westbound
Georgia,GA 316,58142,Riverside Pkwy,EXIT,Riverside Pkwy,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58142,33.962172,-84.026905,http://maps.google.com/maps?t=m&q=loc:33.962172+-84.026905,Westbound
Georgia,GA 316,58143,Sugarloaf Parkway,EXIT,Sugarloaf Parkway,", Georgia",https://www.iexitapp.com/Georgia/GA%20316/Exit%20/58143,33.959875,-84.052924,http://maps.google.com/maps?t=m&q=loc:33.959875+-84.052924,Westbound
