state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Georgia,I-20,48557,Georgia Welcome Center,WELCOME CENTER,Georgia Welcome Center,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Welcome%20Center/48557,33.527518,-82.019545,http://maps.google.com/maps?t=m&q=loc:33.527518+-82.019545,Westbound
Georgia,I-20,48558,Exit 200,EXIT 200,GA-104; River Watch Pkwy; Augusta,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20200/48558,33.523404,-82.027412,http://maps.google.com/maps?t=m&q=loc:33.523404+-82.027412,Westbound
Georgia,I-20,48559,Exit 199,EXIT 199,GA-28; Washington Rd; Augusta,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20199/48559,33.515191,-82.040143,http://maps.google.com/maps?t=m&q=loc:33.515191+-82.040143,Westbound
Georgia,I-20,76650,Exit 196,EXIT 196,Walton Way Ext,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20196/76650,33.498378,-82.071555,http://maps.google.com/maps?t=m&q=loc:33.498378+-82.071555,Westbound
Georgia,I-20,48560,Exit 196,EXIT 196,"I 520
          (MM: 196.0)","Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20196/48560,33.496763,-82.076007,http://maps.google.com/maps?t=m&q=loc:33.496763+-82.076007,Westbound
Georgia,I-20,48561,Exit 196,EXIT 196,GA 232 West; Martinez,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20196/48561,33.494641,-82.081657,http://maps.google.com/maps?t=m&q=loc:33.494641+-82.081657,Westbound
Georgia,I-20,11644,Exit 195,EXIT 195,Wheeler Rd,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20195/11644,33.489771,-82.100181,http://maps.google.com/maps?t=m&q=loc:33.489771+-82.100181,Westbound
Georgia,I-20,11645,Exit 194,EXIT 194,GA-383; Belair Rd; Dyess Pkwy,"Augusta, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20194/11645,33.483658,-82.127089,http://maps.google.com/maps?t=m&q=loc:33.483658+-82.127089,Westbound
Georgia,I-20,11646,Exit 190,EXIT 190,GA-388; Grovetown,"Grovetown, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20190/11646,33.483583,-82.195351,http://maps.google.com/maps?t=m&q=loc:33.483583+-82.195351,Westbound
Georgia,I-20,46996,Weigh Station,WEIGH STATION,Weigh Station,"Grovetown, Georgia",https://www.iexitapp.com/Georgia/I-20/Weigh%20Station/46996,33.486467,-82.225888,http://maps.google.com/maps?t=m&q=loc:33.486467+-82.225888,Westbound
Georgia,I-20,11648,Exit 183,EXIT 183,US-221; Appling Harlem,"Appling, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20183/11648,33.496337,-82.310677,http://maps.google.com/maps?t=m&q=loc:33.496337+-82.310677,Westbound
Georgia,I-20,46997,Rest Area,REST AREA,Rest Area,"Appling, Georgia",https://www.iexitapp.com/Georgia/I-20/Rest%20Area/46997,33.497892,-82.324272,http://maps.google.com/maps?t=m&q=loc:33.497892+-82.324272,Westbound
Georgia,I-20,11650,Exit 175,EXIT 175,GA-150 W; Thomson,"Thomson, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20175/11650,33.510947,-82.441946,http://maps.google.com/maps?t=m&q=loc:33.510947+-82.441946,Westbound
Georgia,I-20,11651,Exit 172,EXIT 172,US-78; GA-17; Thomson; Washington,"Thomson, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20172/11651,33.511994,-82.497945,http://maps.google.com/maps?t=m&q=loc:33.511994+-82.497945,Westbound
Georgia,I-20,11652,Exit 165,EXIT 165,GA-80; Camak; Warrenton,"Warrenton, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20165/11652,33.495773,-82.613412,http://maps.google.com/maps?t=m&q=loc:33.495773+-82.613412,Westbound
Georgia,I-20,11653,Exit 160,EXIT 160,Norwood,"Norwood, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20160/11653,33.501797,-82.709368,http://maps.google.com/maps?t=m&q=loc:33.501797+-82.709368,Westbound
Georgia,I-20,45333,Exit 154,EXIT 154,US-278,"Norwood, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20154/45333,33.498874,-82.805687,http://maps.google.com/maps?t=m&q=loc:33.498874+-82.805687,Westbound
Georgia,I-20,11655,Exit 148,EXIT 148,GA-22; Crawfordville; Sparta,"Crawfordville, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20148/11655,33.529642,-82.904515,http://maps.google.com/maps?t=m&q=loc:33.529642+-82.904515,Westbound
Georgia,I-20,45334,Exit 138,EXIT 138,GA-77; GA-15; Siloam; Greenshore; Union Point,"Greensboro, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20138/45334,33.544714,-83.074689,http://maps.google.com/maps?t=m&q=loc:33.544714+-83.074689,Westbound
Georgia,I-20,11657,Exit 130,EXIT 130,GA-44; Eatonton; Greensboro,"Greensboro, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20130/11657,33.546211,-83.199807,http://maps.google.com/maps?t=m&q=loc:33.546211+-83.199807,Westbound
Georgia,I-20,11658,Exit 121,EXIT 121,Buchhead,"Buckhead, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20121/11658,33.549971,-83.352151,http://maps.google.com/maps?t=m&q=loc:33.549971+-83.352151,Westbound
Georgia,I-20,11659,Exit 114,EXIT 114,US-129; US-441; Madison; Eatonton,"Madison, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20114/11659,33.555413,-83.468445,http://maps.google.com/maps?t=m&q=loc:33.555413+-83.468445,Westbound
Georgia,I-20,11660,Exit 113,EXIT 113,GA-83; Madison; Monticello,"Madison, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20113/11660,33.559521,-83.495028,http://maps.google.com/maps?t=m&q=loc:33.559521+-83.495028,Westbound
Georgia,I-20,11661,Rest Area,REST AREA,Rest Area,"Madison, Georgia",https://www.iexitapp.com/Georgia/I-20/Rest%20Area/11661,33.577227,-83.572488,http://maps.google.com/maps?t=m&q=loc:33.577227+-83.572488,Westbound
Georgia,I-20,11662,Exit 105,EXIT 105,Rutledge; Newborn,"Rutledge, Georgia",https://www.iexitapp.com/Georgia/I-20/Exit%20105/11662,33.59138,-83.62516,http://maps.google.com/maps?t=m&q=loc:33.59138+-83.62516,Westbound
