state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Idaho,I-84,28003,Snake River View Rest Area,REST AREA,"Snake River View Rest Area
          (MM: 1.0)","Fruitland, Idaho",https://www.iexitapp.com/Idaho/I-84/Rest%20Area/28003,43.996121,-116.936566,http://maps.google.com/maps?t=m&q=loc:43.996121+-116.936566,Eastbound
Idaho,I-84,28004,Exit 3,EXIT 3,US-95; Payette; Parma,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%203/28004,43.972676,-116.91613,http://maps.google.com/maps?t=m&q=loc:43.972676+-116.91613,Eastbound
Idaho,I-84,28005,Exit 9,EXIT 9,US-30; New Plymouth; Emmett,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%209/28005,43.908639,-116.817885,http://maps.google.com/maps?t=m&q=loc:43.908639+-116.817885,Eastbound
Idaho,I-84,28006,Exit 13,EXIT 13,Black Canyon Jct,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2013/28006,43.86819,-116.781437,http://maps.google.com/maps?t=m&q=loc:43.86819+-116.781437,Eastbound
Idaho,I-84,28007,Exit 17,EXIT 17,Sand Hollow,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2017/28007,43.808439,-116.753265,http://maps.google.com/maps?t=m&q=loc:43.808439+-116.753265,Eastbound
Idaho,I-84,28008,Exit 25,EXIT 25,ID-44; Middleton,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2025/28008,43.71275,-116.700787,http://maps.google.com/maps?t=m&q=loc:43.71275+-116.700787,Eastbound
Idaho,I-84,28009,Exit 26,EXIT 26,US-20; US-26; Notus,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2026/28009,43.692986,-116.695542,http://maps.google.com/maps?t=m&q=loc:43.692986+-116.695542,Eastbound
Idaho,I-84,28010,Exit 27,EXIT 27,I-84; Caldwell; Homedale,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2027/28010,43.68377,-116.69007,http://maps.google.com/maps?t=m&q=loc:43.68377+-116.69007,Eastbound
Idaho,I-84,28011,Exit 28,EXIT 28,10th Ave; City Center,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2028/28011,43.673423,-116.682055,http://maps.google.com/maps?t=m&q=loc:43.673423+-116.682055,Eastbound
Idaho,I-84,28012,Exit 29,EXIT 29,US-20 E; US-26 E,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2029/28012,43.664999,-116.665271,http://maps.google.com/maps?t=m&q=loc:43.664999+-116.665271,Eastbound
Idaho,I-84,28013,Exit 33,EXIT 33,ID-55 S; Nampa; Marsing,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2033/28013,43.613798,-116.602058,http://maps.google.com/maps?t=m&q=loc:43.613798+-116.602058,Eastbound
Idaho,I-84,28014,Exit 35,EXIT 35,Northside Blvd,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2035/28014,43.600801,-116.577028,http://maps.google.com/maps?t=m&q=loc:43.600801+-116.577028,Eastbound
Idaho,I-84,28015,Exit 36,EXIT 36,N Franklin Blvd; Murphy,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2036/28015,43.599193,-116.557802,http://maps.google.com/maps?t=m&q=loc:43.599193+-116.557802,Eastbound
Idaho,I-84,28016,Exit 38,EXIT 38,Garrity Blvd,", Idaho",https://www.iexitapp.com/Idaho/I-84/Exit%2038/28016,43.598849,-116.519654,http://maps.google.com/maps?t=m&q=loc:43.598849+-116.519654,Eastbound
