state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Illinois,I-80,39152,Exit 1,EXIT 1,IL-84; E Moline; Savanna,"East Moline, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%201/39152,41.575431,-90.36211,http://maps.google.com/maps?t=m&q=loc:41.575431+-90.36211,Eastbound
Illinois,I-80,39153,Weigh Station,EXIT,Weigh Station,"East Moline, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%20/39153,41.56813,-90.356132,http://maps.google.com/maps?t=m&q=loc:41.56813+-90.356132,Eastbound
Illinois,I-80,52392,Weigh Station,WEIGH STATION,Weigh Station,"East Moline, Illinois",https://www.iexitapp.com/Illinois/I-80/Weigh%20Station/52392,41.560292,-90.344115,http://maps.google.com/maps?t=m&q=loc:41.560292+-90.344115,Eastbound
Illinois,I-80,39154,Exit 4A,EXIT 4A,"IL 5;IL 92
          (MM: 4.0)","East Moline, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%204A/39154,41.541174,-90.341775,http://maps.google.com/maps?t=m&q=loc:41.541174+-90.341775,Eastbound
Illinois,I-80,39155,Exit 7,EXIT 7,Colona,"Colona, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%207/39155,41.490871,-90.33885,http://maps.google.com/maps?t=m&q=loc:41.490871+-90.33885,Eastbound
Illinois,I-80,39156,Exit 9,EXIT 9,U.S. 6,"Colona, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%209/39156,41.45915,-90.338265,http://maps.google.com/maps?t=m&q=loc:41.45915+-90.338265,Eastbound
Illinois,I-80,39158,IL 110,EXIT,IL 110,"Colona, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%20/39158,41.439691,-90.32986,http://maps.google.com/maps?t=m&q=loc:41.439691+-90.32986,Eastbound
Illinois,I-80,39161,Exit 19,EXIT 19,Illinois 82; Geneseo; Cambridge,"Geneseo, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%2019/39161,41.431654,-90.159979,http://maps.google.com/maps?t=m&q=loc:41.431654+-90.159979,Eastbound
Illinois,I-80,39162,Exit 27,EXIT 27,Galva; Atkinson,"Atkinson, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%2027/39162,41.409617,-90.020043,http://maps.google.com/maps?t=m&q=loc:41.409617+-90.020043,Eastbound
Illinois,I-80,39163,Exit 33,EXIT 33,IL-78; Kewanee; Prophetstown,"Annawan, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%2033/39163,41.405226,-89.908507,http://maps.google.com/maps?t=m&q=loc:41.405226+-89.908507,Eastbound
Illinois,I-80,39164,Exit 45,EXIT 45,Illinois 40; Peoria; Sterling,"Sheffield, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%2045/39164,41.386994,-89.692,http://maps.google.com/maps?t=m&q=loc:41.386994+-89.692,Eastbound
Illinois,I-80,39165,Great Sauk Trail Rest Area,REST AREA,"Great Sauk Trail Rest Area
          (MM: 51.0)","Wyanet, Illinois",https://www.iexitapp.com/Illinois/I-80/Rest%20Area/39165,41.394542,-89.57217,http://maps.google.com/maps?t=m&q=loc:41.394542+-89.57217,Eastbound
Illinois,I-80,39166,Exit 56,EXIT 56,IL-26; Dixon; Princeton,"Princeton, Illinois",https://www.iexitapp.com/Illinois/I-80/Exit%2056/39166,41.398634,-89.474636,http://maps.google.com/maps?t=m&q=loc:41.398634+-89.474636,Eastbound
