state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Illinois,IL 255,57168,US 67,EXIT,US 67,"Godfrey, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%20/57168,38.977265,-90.198139,http://maps.google.com/maps?t=m&q=loc:38.977265+-90.198139,Southbound
Illinois,IL 255,57169,Exit 20,EXIT 20,IL 111;IL 267,"Godfrey, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%2020/57169,38.974099,-90.19299,http://maps.google.com/maps?t=m&q=loc:38.974099+-90.19299,Southbound
Illinois,IL 255,57170,Exit 19,EXIT 19,North Humbert Road,"Godfrey, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%2019/57170,38.964521,-90.183991,http://maps.google.com/maps?t=m&q=loc:38.964521+-90.183991,Southbound
Illinois,IL 255,33737,Exit 16,EXIT 16,Seminary Rd S,"Alton, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%2016/33737,38.947862,-90.147981,http://maps.google.com/maps?t=m&q=loc:38.947862+-90.147981,Southbound
Illinois,IL 255,33738,Exit 13,EXIT 13,Fosterburg Rd,"Alton, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%2013/33738,38.934557,-90.104186,http://maps.google.com/maps?t=m&q=loc:38.934557+-90.104186,Southbound
Illinois,IL 255,33739,Exit 10,EXIT 10,IL-111; IL-140; Alton; Bethalto,"East Alton, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%2010/33739,38.907083,-90.064784,http://maps.google.com/maps?t=m&q=loc:38.907083+-90.064784,Southbound
Illinois,IL 255,33740,Exit 8,EXIT 8,IL-111; Wood River; Bethalto,"East Alton, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%208/33740,38.877832,-90.06046,http://maps.google.com/maps?t=m&q=loc:38.877832+-90.06046,Southbound
Illinois,IL 255,33741,Exit 6,EXIT 6,IL-143; Wood River; Edwardsville,"East Alton, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%206/33741,38.857853,-90.053017,http://maps.google.com/maps?t=m&q=loc:38.857853+-90.053017,Southbound
Illinois,IL 255,33742,Exit 5,EXIT 5,Madison Ave; S Roxana,"Edwardsville, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%205/33742,38.832902,-90.043725,http://maps.google.com/maps?t=m&q=loc:38.832902+-90.043725,Southbound
Illinois,IL 255,33743,Exit 3,EXIT 3,New Poag Rd,"Edwardsville, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%203/33743,38.800363,-90.044563,http://maps.google.com/maps?t=m&q=loc:38.800363+-90.044563,Southbound
Illinois,IL 255,33744,Exit 2,EXIT 2,Gateway Commerce Centre Dr,"Edwardsville, Illinois",https://www.iexitapp.com/Illinois/IL%20255/Exit%202/33744,38.784808,-90.044339,http://maps.google.com/maps?t=m&q=loc:38.784808+-90.044339,Southbound
