state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Indiana,I-70,8550,Exit 1,EXIT 1,US-40 E; W Terre Haute; Terre Haute,"West Terre Haute, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%201/8550,39.439878,-87.515227,http://maps.google.com/maps?t=m&q=loc:39.439878+-87.515227,Eastbound
Indiana,I-70,8551,Temporarily Closed - Clear Creek Welcome Center,WELCOME CENTER,"Temporarily Closed - Clear Creek Welcome Center
          (MM: 2.0)","West Terre Haute, Indiana",https://www.iexitapp.com/Indiana/I-70/Welcome%20Center/8551,39.441933,-87.505586,http://maps.google.com/maps?t=m&q=loc:39.441933+-87.505586,Eastbound
Indiana,I-70,8552,Exit 3,EXIT 3,Darwin Rd; W Terre Haute,"West Terre Haute, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%203/8552,39.448399,-87.47322,http://maps.google.com/maps?t=m&q=loc:39.448399+-87.47322,Eastbound
Indiana,I-70,8553,Exit 7,EXIT 7,US-41; US-150; Terre Haute; Evansville,"Terre Haute, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%207/8553,39.430701,-87.418655,http://maps.google.com/maps?t=m&q=loc:39.430701+-87.418655,Eastbound
Indiana,I-70,8554,Exit 11,EXIT 11,IN 46,"Terre Haute, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2011/8554,39.430557,-87.332305,http://maps.google.com/maps?t=m&q=loc:39.430557+-87.332305,Eastbound
Indiana,I-70,8555,Exit 23,EXIT 23,IN-59; Brazil; Linton,"Brazil, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2023/8555,39.449402,-87.132356,http://maps.google.com/maps?t=m&q=loc:39.449402+-87.132356,Eastbound
Indiana,I-70,8556,Exit 37,EXIT 37,IN-243; Putnamville,"Cloverdale, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2037/8556,39.523847,-86.883391,http://maps.google.com/maps?t=m&q=loc:39.523847+-86.883391,Eastbound
Indiana,I-70,8557,Exit 41,EXIT 41,US-231; Cloverdale; Greencastle,"Cloverdale, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2041/8557,39.532706,-86.809005,http://maps.google.com/maps?t=m&q=loc:39.532706+-86.809005,Eastbound
Indiana,I-70,8558,Exit 51,EXIT 51,Co. Rd 1100 W,"Stilesville, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2051/8558,39.567599,-86.637027,http://maps.google.com/maps?t=m&q=loc:39.567599+-86.637027,Eastbound
Indiana,I-70,8559,Exit 59,EXIT 59,Belleville,"Clayton, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2059/8559,39.6116,-86.485611,http://maps.google.com/maps?t=m&q=loc:39.6116+-86.485611,Eastbound
Indiana,I-70,8560,Plainfield Rest Area,REST AREA,"Plainfield Rest Area
          (MM: 64.0)","Mooresville, Indiana",https://www.iexitapp.com/Indiana/I-70/Rest%20Area/8560,39.650764,-86.401493,http://maps.google.com/maps?t=m&q=loc:39.650764+-86.401493,Eastbound
Indiana,I-70,8561,Exit 66,EXIT 66,IN-267; Plainfield; Mooresville,"Plainfield, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2066/8561,39.665489,-86.376889,http://maps.google.com/maps?t=m&q=loc:39.665489+-86.376889,Eastbound
Indiana,I-70,51437,Exit 68B,EXIT 68B,"Colonel H. Weir Cook Memorial Drive South
          (MM: 68.0)","Plainfield, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2068B/51437,39.684536,-86.329729,http://maps.google.com/maps?t=m&q=loc:39.684536+-86.329729,Eastbound
Indiana,I-70,8562,Exit 68,EXIT 68,Ameriplex Pkwy S,"Plainfield, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2068/8562,39.680183,-86.340301,http://maps.google.com/maps?t=m&q=loc:39.680183+-86.340301,Eastbound
Indiana,I-70,51438,Exit 68,EXIT 68,Ameriplex Pkwy S,"Indianapolis, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2068/51438,39.681621,-86.336664,http://maps.google.com/maps?t=m&q=loc:39.681621+-86.336664,Eastbound
Indiana,I-70,8564,Exit 75,EXIT 75,"Sam Jones Expressway
          (MM: 75.0)","Indianapolis, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2075/8564,39.727635,-86.247203,http://maps.google.com/maps?t=m&q=loc:39.727635+-86.247203,Eastbound
Indiana,I-70,8565,Exit 77,EXIT 77,Holt Rd,"Indianapolis, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2077/8565,39.750327,-86.2316,http://maps.google.com/maps?t=m&q=loc:39.750327+-86.2316,Eastbound
Indiana,I-70,8566,Exit 78,EXIT 78,Harding St,"Indianapolis, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2078/8566,39.756065,-86.195391,http://maps.google.com/maps?t=m&q=loc:39.756065+-86.195391,Eastbound
Indiana,I-70,8567,Exit 79A,EXIT 79A,West St,"Indianapolis, Indiana",https://www.iexitapp.com/Indiana/I-70/Exit%2079A/8567,39.754154,-86.172814,http://maps.google.com/maps?t=m&q=loc:39.754154+-86.172814,Eastbound
