state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,Cumberland Parkway,43342,Exit 86,EXIT 86,"To US 27 / KY 914 – Somerset, Burnside","Somerset, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2086/43342,37.110866,-84.657783,http://maps.google.com/maps?t=m&q=loc:37.110866+-84.657783,Westbound
Kentucky,Cumberland Parkway,43343,Exit 78,EXIT 78,KY 80 – Nancy,"Nancy, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2078/43343,37.093639,-84.795894,http://maps.google.com/maps?t=m&q=loc:37.093639+-84.795894,Westbound
Kentucky,Cumberland Parkway,43344,Exit 62,EXIT 62,"US 127 – Jamestown, Russell Springs","Russell Springs, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2062/43344,37.051465,-85.070415,http://maps.google.com/maps?t=m&q=loc:37.051465+-85.070415,Westbound
Kentucky,Cumberland Parkway,43345,Exit 49,EXIT 49,KY 55 – Columbia,"Columbia, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2049/43345,37.090228,-85.298341,http://maps.google.com/maps?t=m&q=loc:37.090228+-85.298341,Westbound
Kentucky,Cumberland Parkway,43346,Exit 46,EXIT 46,"KY 61 – Columbia, Burkesville","Columbia, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2046/43346,37.073708,-85.335197,http://maps.google.com/maps?t=m&q=loc:37.073708+-85.335197,Westbound
Kentucky,Cumberland Parkway,43347,Exit 27,EXIT 27,"US 68 / KY 80 – Edmonton, Glasgow","Edmonton, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2027/43347,36.996508,-85.658625,http://maps.google.com/maps?t=m&q=loc:36.996508+-85.658625,Westbound
Kentucky,Cumberland Parkway,43348,Exit 15,EXIT 15,KY 1519 to US 68 – Glasgow,"Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2015/43348,36.995358,-85.868061,http://maps.google.com/maps?t=m&q=loc:36.995358+-85.868061,Westbound
Kentucky,Cumberland Parkway,43349,Exit 14,EXIT 14,KY 90 – Glasgow,"Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2014/43349,36.986828,-85.891856,http://maps.google.com/maps?t=m&q=loc:36.986828+-85.891856,Westbound
Kentucky,Cumberland Parkway,43350,Exit 11,EXIT 11,"US 31E – Glasgow, Scottsville","Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2011/43350,36.975463,-85.929374,http://maps.google.com/maps?t=m&q=loc:36.975463+-85.929374,Westbound
Kentucky,Cumberland Parkway,43351,"Exit 1A,B","EXIT 1A,B",US 65 – Louisville (north); Bowling Green (south),"Park City, Kentucky","https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%201A,B/43351",37.055746,-86.106962,http://maps.google.com/maps?t=m&q=loc:37.055746+-86.106962,Westbound
