state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,Cumberland Parkway,43352,"Exit 1A,B","EXIT 1A,B",US 65 – Louisville (north); Bowling Green (south),"Park City, Kentucky","https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%201A,B/43352",37.055746,-86.106962,http://maps.google.com/maps?t=m&q=loc:37.055746+-86.106962,Eastbound
Kentucky,Cumberland Parkway,43331,Exit 11,EXIT 11,"US 31E – Glasgow, Scottsville","Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2011/43331,36.980952,-85.940282,http://maps.google.com/maps?t=m&q=loc:36.980952+-85.940282,Eastbound
Kentucky,Cumberland Parkway,43332,Exit 14,EXIT 14,KY 90 – Glasgow,"Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2014/43332,36.979435,-85.898463,http://maps.google.com/maps?t=m&q=loc:36.979435+-85.898463,Eastbound
Kentucky,Cumberland Parkway,43333,Exit 15,EXIT 15,KY 1519 to US 68 – Glasgow,"Glasgow, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2015/43333,36.992938,-85.88146,http://maps.google.com/maps?t=m&q=loc:36.992938+-85.88146,Eastbound
Kentucky,Cumberland Parkway,43334,Exit 27,EXIT 27,"US 68 / KY 80 – Edmonton, Glasgow","Edmonton, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2027/43334,36.996337,-85.658289,http://maps.google.com/maps?t=m&q=loc:36.996337+-85.658289,Eastbound
Kentucky,Cumberland Parkway,43335,Exit 46,EXIT 46,"KY 61 – Columbia, Burkesville","Columbia, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2046/43335,37.072932,-85.34452,http://maps.google.com/maps?t=m&q=loc:37.072932+-85.34452,Eastbound
Kentucky,Cumberland Parkway,43336,Exit 49,EXIT 49,KY 55 – Columbia,"Columbia, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2049/43336,37.085924,-85.308738,http://maps.google.com/maps?t=m&q=loc:37.085924+-85.308738,Eastbound
Kentucky,Cumberland Parkway,43337,Exit 62,EXIT 62,"US 127 – Jamestown, Russell Springs","Russell Springs, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2062/43337,37.051451,-85.069712,http://maps.google.com/maps?t=m&q=loc:37.051451+-85.069712,Eastbound
Kentucky,Cumberland Parkway,43338,Exit 78,EXIT 78,KY 80 – Nancy,"Nancy, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2078/43338,37.091721,-84.805852,http://maps.google.com/maps?t=m&q=loc:37.091721+-84.805852,Eastbound
Kentucky,Cumberland Parkway,43339,Exit 86,EXIT 86,"To US 27 / KY 914 – Somerset, Burnside","Somerset, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2086/43339,37.102347,-84.665707,http://maps.google.com/maps?t=m&q=loc:37.102347+-84.665707,Eastbound
Kentucky,Cumberland Parkway,43340,Exit 88A,EXIT 88A,"KY 3091 – Clifty Road; Somerset, Lexington","Somerset, Kentucky",https://www.iexitapp.com/Kentucky/Cumberland%20Parkway/Exit%2088A/43340,37.123134,-84.641889,http://maps.google.com/maps?t=m&q=loc:37.123134+-84.641889,Eastbound
