state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,I-264,33836,Exit 1,EXIT 1,Bank St; N w Pkwy,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%201/33836,38.270812,-85.808568,http://maps.google.com/maps?t=m&q=loc:38.270812+-85.808568,Eastbound
Kentucky,I-264,33837,Exit 2,EXIT 2,Muhammed Ali Blvd; River Park Dr,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%202/33837,38.259611,-85.80515,http://maps.google.com/maps?t=m&q=loc:38.259611+-85.80515,Eastbound
Kentucky,I-264,33838,Exit 3,EXIT 3,Virginia Ave; Dumesnil St,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%203/33838,38.243342,-85.813782,http://maps.google.com/maps?t=m&q=loc:38.243342+-85.813782,Eastbound
Kentucky,I-264,33839,Exit 4,EXIT 4,Bells Ln; KY-2056,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%204/33839,38.226369,-85.82191,http://maps.google.com/maps?t=m&q=loc:38.226369+-85.82191,Eastbound
Kentucky,I-264,33840,Exit 5A,EXIT 5A,Ralph Ave; KY-1934 N; Cane Run Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%205A/33840,38.211325,-85.825507,http://maps.google.com/maps?t=m&q=loc:38.211325+-85.825507,Eastbound
Kentucky,I-264,33841,Exit 5B,EXIT 5B,Cane Run Rd; KY-1934 S,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%205B/33841,38.208578,-85.827809,http://maps.google.com/maps?t=m&q=loc:38.208578+-85.827809,Eastbound
Kentucky,I-264,57310,Exit 8A,EXIT 8A,US-31W S; US-60 W; Fort Knox,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%208A/57310,38.185504,-85.819771,http://maps.google.com/maps?t=m&q=loc:38.185504+-85.819771,Eastbound
Kentucky,I-264,33843,Exit 8B,EXIT 8B,US-31W N; US-60 E; Shively,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%208B/33843,38.185173,-85.814763,http://maps.google.com/maps?t=m&q=loc:38.185173+-85.814763,Eastbound
Kentucky,I-264,33844,Exit 9,EXIT 9,KY-1865; Taylor Blvd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%209/33844,38.186864,-85.78924,http://maps.google.com/maps?t=m&q=loc:38.186864+-85.78924,Eastbound
Kentucky,I-264,33845,Exit 10,EXIT 10,KY-1020; Southern Pkwy; 3rd St,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2010/33845,38.189573,-85.771636,http://maps.google.com/maps?t=m&q=loc:38.189573+-85.771636,Eastbound
Kentucky,I-264,33846,Exit 11,EXIT 11,Crittenden Dr,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2011/33846,38.190122,-85.75413,http://maps.google.com/maps?t=m&q=loc:38.190122+-85.75413,Eastbound
Kentucky,I-264,57311,Exit 11,EXIT 11,Crittenden Dr,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2011/57311,38.189726,-85.750691,http://maps.google.com/maps?t=m&q=loc:38.189726+-85.750691,Eastbound
Kentucky,I-264,57312,Exit 12,EXIT 12,I-65; KY-61; Nashville; Indianapolis,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2012/57312,38.189793,-85.749429,http://maps.google.com/maps?t=m&q=loc:38.189793+-85.749429,Eastbound
Kentucky,I-264,33848,Exit 14,EXIT 14,KY-864; Poplar Level Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2014/33848,38.19258,-85.712278,http://maps.google.com/maps?t=m&q=loc:38.19258+-85.712278,Eastbound
Kentucky,I-264,33849,Exit 15,EXIT 15,KY-1703; Newburg Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2015/33849,38.201041,-85.693552,http://maps.google.com/maps?t=m&q=loc:38.201041+-85.693552,Eastbound
Kentucky,I-264,33850,Exit 16,EXIT 16,US-31E; US-150; Bardstown Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2016/33850,38.208178,-85.675881,http://maps.google.com/maps?t=m&q=loc:38.208178+-85.675881,Eastbound
Kentucky,I-264,33851,Exit 17A,EXIT 17A,KY-155 S; Taylorsville Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2017A/33851,38.218951,-85.656081,http://maps.google.com/maps?t=m&q=loc:38.218951+-85.656081,Eastbound
Kentucky,I-264,33852,Exit 17B,EXIT 17B,KY-155 N; Taylorsville Rd,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2017B/33852,38.22168,-85.650173,http://maps.google.com/maps?t=m&q=loc:38.22168+-85.650173,Eastbound
Kentucky,I-264,57314,Exit 18,EXIT 18,KY-1932 S; Breckenridge Ln,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2018/57314,38.224903,-85.643055,http://maps.google.com/maps?t=m&q=loc:38.224903+-85.643055,Eastbound
Kentucky,I-264,57315,Exit 18B,EXIT 18B,KY-1932 N; Breckenridge Ln,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2018B/57315,38.228351,-85.635561,http://maps.google.com/maps?t=m&q=loc:38.228351+-85.635561,Eastbound
Kentucky,I-264,57317,Exit 20A,EXIT 20A,US 60,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2020A/57317,38.246471,-85.620156,http://maps.google.com/maps?t=m&q=loc:38.246471+-85.620156,Eastbound
Kentucky,I-264,57318,Exit 20B,EXIT 20B,US 60,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2020B/57318,38.250424,-85.618943,http://maps.google.com/maps?t=m&q=loc:38.250424+-85.618943,Eastbound
Kentucky,I-264,33856,Exit 21,EXIT 21,Kentucky 1447 E,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2021/33856,38.26107,-85.623124,http://maps.google.com/maps?t=m&q=loc:38.26107+-85.623124,Eastbound
Kentucky,I-264,33857,Exit 22,EXIT 22,US 42; Brownsboro,"Louisville, Kentucky",https://www.iexitapp.com/Kentucky/I-264/Exit%2022/33857,38.276321,-85.632534,http://maps.google.com/maps?t=m&q=loc:38.276321+-85.632534,Eastbound
