state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,I-471,34793,"Exit 1B,A","EXIT 1B,A","I-275 west to I-71 / I-75 – Airport; I-275 east – Columbus, OH","Newport, Kentucky","https://www.iexitapp.com/Kentucky/I-471/Exit%201B,A/34793",39.050789,-84.466539,http://maps.google.com/maps?t=m&q=loc:39.050789+-84.466539,Northbound
Kentucky,I-471,34775,Exit 2,EXIT 2,US 27 (Alexandria Pike),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%202/34775,39.062907,-84.46798,http://maps.google.com/maps?t=m&q=loc:39.062907+-84.46798,Northbound
Kentucky,I-471,34776,Exit 3,EXIT 3,KY 1892 (North Grand Avenue),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%203/34776,39.07739,-84.469535,http://maps.google.com/maps?t=m&q=loc:39.07739+-84.469535,Northbound
Kentucky,I-471,34777,Exit 4,EXIT 4,KY 1120 (East 10th Street),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%204/34777,39.088755,-84.474829,http://maps.google.com/maps?t=m&q=loc:39.088755+-84.474829,Northbound
Kentucky,I-471,34778,Exit 5,EXIT 5,KY 8 (Fairfield Avenue) / Park Avenue,"Bellevue, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%205/34778,39.095415,-84.481374,http://maps.google.com/maps?t=m&q=loc:39.095415+-84.481374,Northbound
Kentucky,I-471,34779,Exit 6A,EXIT 6A,US 50 (Columbia Parkway) to I-71 / I-75,"Cincinnati, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%206A/34779,39.101646,-84.496663,http://maps.google.com/maps?t=m&q=loc:39.101646+-84.496663,Northbound
Kentucky,I-471,34787,Exit 5,EXIT 5,KY 8 (Fairfield Avenue) / Park Avenue,"Bellevue, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%205/34787,39.099384,-84.492698,http://maps.google.com/maps?t=m&q=loc:39.099384+-84.492698,Southbound
Kentucky,I-471,34788,Exit 4,EXIT 4,KY 1120 (East 10th Street),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%204/34788,39.095212,-84.48137,http://maps.google.com/maps?t=m&q=loc:39.095212+-84.48137,Southbound
Kentucky,I-471,34789,Exit 3,EXIT 3,KY 1892 (North Grand Avenue),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%203/34789,39.088147,-84.474838,http://maps.google.com/maps?t=m&q=loc:39.088147+-84.474838,Southbound
Kentucky,I-471,34790,Exit 2,EXIT 2,US 27 (Alexandria Pike),"Newport, Kentucky",https://www.iexitapp.com/Kentucky/I-471/Exit%202/34790,39.072776,-84.464233,http://maps.google.com/maps?t=m&q=loc:39.072776+-84.464233,Southbound
