state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,Natcher Parkway,42468,Exit 1,EXIT 1,"KY 622 – Bowling Green, Plano","Alvaton, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%201/42468,36.905118,-86.413406,http://maps.google.com/maps?t=m&q=loc:36.905118+-86.413406,Northbound
Kentucky,Natcher Parkway,42470,Exit 3,EXIT 3,US 31W – Bowling Green,"Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%203/42470,36.940485,-86.478426,http://maps.google.com/maps?t=m&q=loc:36.940485+-86.478426,Northbound
Kentucky,Natcher Parkway,42471,Exit 5,EXIT 5,"US 68 / KY 80 – Bowling Green, Russellville","Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%205/42471,36.952914,-86.495988,http://maps.google.com/maps?t=m&q=loc:36.952914+-86.495988,Northbound
Kentucky,Natcher Parkway,42472,Exit 7,EXIT 7,"US 231 – Bowling Green, Morgantown","Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%207/42472,36.992493,-86.504028,http://maps.google.com/maps?t=m&q=loc:36.992493+-86.504028,Northbound
Kentucky,Natcher Parkway,42473,Exit 26,EXIT 26,US 231 / KY 79 – Morgantown,"Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2026/42473,37.200493,-86.697814,http://maps.google.com/maps?t=m&q=loc:37.200493+-86.697814,Northbound
Kentucky,Natcher Parkway,42474,Exit 27,EXIT 27,"KY 70 – Morgantown, Rochester","Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2027/42474,37.210567,-86.708583,http://maps.google.com/maps?t=m&q=loc:37.210567+-86.708583,Northbound
Kentucky,Natcher Parkway,42475,Exit 33,EXIT 33,"US 231 – Cromwell, Morgantown","Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2033/42475,37.298401,-86.738746,http://maps.google.com/maps?t=m&q=loc:37.298401+-86.738746,Northbound
Kentucky,Natcher Parkway,42477,Exit 48,EXIT 48,"KY 69 – Beaver Dam, Hartford","Hartford, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2048/42477,37.45778,-86.88228,http://maps.google.com/maps?t=m&q=loc:37.45778+-86.88228,Northbound
Kentucky,Natcher Parkway,42478,"Exit 70A,B","EXIT 70A,B","US 60 Byp. / US 231 – Hawesville (east); Henderson, Owensboro (west)
          (MM: 70.0)","Owensboro, Kentucky","https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2070A,B/42478",37.737329,-87.069284,http://maps.google.com/maps?t=m&q=loc:37.737329+-87.069284,Northbound
Kentucky,Natcher Parkway,42479,Exit 48,EXIT 48,"KY 69 – Beaver Dam, Hartford","Hartford, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2048/42479,37.457487,-86.882177,http://maps.google.com/maps?t=m&q=loc:37.457487+-86.882177,Southbound
Kentucky,Natcher Parkway,42489,"Exit 70A,B","EXIT 70A,B","US 60 Byp. / US 231 – Hawesville (east); Henderson, Owensboro (west)
          (MM: 70.0)","Owensboro, Kentucky","https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2070A,B/42489",37.737329,-87.069284,http://maps.google.com/maps?t=m&q=loc:37.737329+-87.069284,Southbound
Kentucky,Natcher Parkway,42481,Exit 33,EXIT 33,"US 231 – Cromwell, Morgantown","Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2033/42481,37.298165,-86.739027,http://maps.google.com/maps?t=m&q=loc:37.298165+-86.739027,Southbound
Kentucky,Natcher Parkway,42482,Exit 27,EXIT 27,"KY 70 – Morgantown, Rochester","Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2027/42482,37.219252,-86.7143,http://maps.google.com/maps?t=m&q=loc:37.219252+-86.7143,Southbound
Kentucky,Natcher Parkway,42483,Exit 26,EXIT 26,US 231 / KY 79 – Morgantown,"Morgantown, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%2026/42483,37.206156,-86.705298,http://maps.google.com/maps?t=m&q=loc:37.206156+-86.705298,Southbound
Kentucky,Natcher Parkway,42484,Exit 7,EXIT 7,"US 231 – Bowling Green, Morgantown","Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%207/42484,36.992233,-86.504172,http://maps.google.com/maps?t=m&q=loc:36.992233+-86.504172,Southbound
Kentucky,Natcher Parkway,42485,Exit 5,EXIT 5,"US 68 / KY 80 – Bowling Green, Russellville","Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%205/42485,36.962347,-86.498125,http://maps.google.com/maps?t=m&q=loc:36.962347+-86.498125,Southbound
Kentucky,Natcher Parkway,42486,Exit 3,EXIT 3,US 31W – Bowling Green,"Bowling Green, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%203/42486,36.944631,-86.487337,http://maps.google.com/maps?t=m&q=loc:36.944631+-86.487337,Southbound
Kentucky,Natcher Parkway,42488,Exit 1,EXIT 1,"KY 622 – Bowling Green, Plano","Alvaton, Kentucky",https://www.iexitapp.com/Kentucky/Natcher%20Parkway/Exit%201/42488,36.908485,-86.424509,http://maps.google.com/maps?t=m&q=loc:36.908485+-86.424509,Southbound
