state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Kentucky,Western Kentucky Parkway,41133,Exit 136,EXIT 136,US 31W Byp. north – Fort Knox,"Elizabethtown, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%20136/41133,37.679672,-85.857221,http://maps.google.com/maps?t=m&q=loc:37.679672+-85.857221,Westbound
Kentucky,Western Kentucky Parkway,41134,Exit 124,EXIT 124,"KY 84 – Eastview, White Mills","Eastview, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%20124/41134,37.572984,-86.033249,http://maps.google.com/maps?t=m&q=loc:37.572984+-86.033249,Westbound
Kentucky,Western Kentucky Parkway,41135,Exit 112,EXIT 112,"KY 224 – Clarkson, Millerstown","Clarkson, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%20112/41135,37.491106,-86.20392,http://maps.google.com/maps?t=m&q=loc:37.491106+-86.20392,Westbound
Kentucky,Western Kentucky Parkway,41136,Exit 107,EXIT 107,"KY 259 – Leitchfield, Brownsville","Leitchfield, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%20107/41136,37.466769,-86.287082,http://maps.google.com/maps?t=m&q=loc:37.466769+-86.287082,Westbound
Kentucky,Western Kentucky Parkway,41137,Exit 94,EXIT 94,"KY 79 – Caneyville, Morgantown","Caneyville, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2094/41137,37.413014,-86.497879,http://maps.google.com/maps?t=m&q=loc:37.413014+-86.497879,Westbound
Kentucky,Western Kentucky Parkway,41139,Beaver Dam Rest Area,REST AREA,"Beaver Dam Rest Area
          (MM: 76.0)","Beaver Dam, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Rest%20Area/41139,37.379013,-86.823248,http://maps.google.com/maps?t=m&q=loc:37.379013+-86.823248,Westbound
Kentucky,Western Kentucky Parkway,41140,Exit 75,EXIT 75,"US 231 – Beaver Dam, Morgantown","Beaver Dam, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2075/41140,37.370049,-86.837913,http://maps.google.com/maps?t=m&q=loc:37.370049+-86.837913,Westbound
Kentucky,Western Kentucky Parkway,41141,Exit 58,EXIT 58,"US 431 / KY 70 – Drakesboro, Central City","Central City, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2058/41141,37.28195,-87.109411,http://maps.google.com/maps?t=m&q=loc:37.28195+-87.109411,Westbound
Kentucky,Western Kentucky Parkway,41142,Exit 53,EXIT 53,"KY 181 – Sacramento, Greenville","Greenville, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2053/41142,37.253423,-87.198896,http://maps.google.com/maps?t=m&q=loc:37.253423+-87.198896,Westbound
Kentucky,Western Kentucky Parkway,41143,Exit 48,EXIT 48,KY 175 (Cemetery Road),"Graham, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2048/41143,37.237384,-87.260888,http://maps.google.com/maps?t=m&q=loc:37.237384+-87.260888,Westbound
Kentucky,Western Kentucky Parkway,41144,Kentucky State Police,EXIT,Kentucky State Police,"Madisonville, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%20/41144,37.212277,-87.413865,http://maps.google.com/maps?t=m&q=loc:37.212277+-87.413865,Westbound
Kentucky,Western Kentucky Parkway,76635,Exit 92,EXIT 92,KY 109; Dawson Springs; Providence,"Dawson Springs, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2092/76635,37.198812,-87.682854,http://maps.google.com/maps?t=m&q=loc:37.198812+-87.682854,Westbound
Kentucky,Western Kentucky Parkway,76636,Exit 81,EXIT 81,KY 293; Princeton; Providence,"Princeton, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2081/76636,37.13484,-87.865307,http://maps.google.com/maps?t=m&q=loc:37.13484+-87.865307,Westbound
Kentucky,Western Kentucky Parkway,76638,Exit 79,EXIT 79,KY 91; KY 139; Princeton; Marion,"Princeton, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2079/76638,37.124228,-87.888343,http://maps.google.com/maps?t=m&q=loc:37.124228+-87.888343,Westbound
Kentucky,Western Kentucky Parkway,76640,Exit 71,EXIT 71,US 62; Eddyville,"Eddyville, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2071/76640,37.107803,-88.029664,http://maps.google.com/maps?t=m&q=loc:37.107803+-88.029664,Westbound
Kentucky,Western Kentucky Parkway,76637,Exit 68AB,EXIT 68AB,"I-24
          (MM: 68.0)","Eddyville, Kentucky",https://www.iexitapp.com/Kentucky/Western%20Kentucky%20Parkway/Exit%2068AB/76637,37.073338,-88.082647,http://maps.google.com/maps?t=m&q=loc:37.073338+-88.082647,Westbound
