state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Maryland,I-68,24689,Exit 4,EXIT 4,MD-42; Friendsville,"Friendsville, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%204/24689,39.66205,-79.418002,http://maps.google.com/maps?t=m&q=loc:39.66205+-79.418002,Eastbound
Maryland,I-68,24690,Youghiogheny Overlook Welcome Center,WELCOME CENTER,"Youghiogheny Overlook Welcome Center
          (MM: 8.0)","Friendsville, Maryland",https://www.iexitapp.com/Maryland/I-68/Welcome%20Center/24690,39.67723,-79.379559,http://maps.google.com/maps?t=m&q=loc:39.67723+-79.379559,Eastbound
Maryland,I-68,24691,Exit 14A,EXIT 14A,US-219 S,"Accident, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2014A/24691,39.693907,-79.258281,http://maps.google.com/maps?t=m&q=loc:39.693907+-79.258281,Eastbound
Maryland,I-68,24692,Exit 14B,EXIT 14B,US-40 W; Uniontown,"Accident, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2014B/24692,39.689305,-79.249209,http://maps.google.com/maps?t=m&q=loc:39.689305+-79.249209,Eastbound
Maryland,I-68,24693,Exit 19,EXIT 19,MD-495; Grantsville; Swanton,"Grantsville, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2019/24693,39.693177,-79.167138,http://maps.google.com/maps?t=m&q=loc:39.693177+-79.167138,Eastbound
Maryland,I-68,24694,Exit 22,EXIT 22,US-219 N; Meyersdale Pa,"Grantsville, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2022/24694,39.690235,-79.109903,http://maps.google.com/maps?t=m&q=loc:39.690235+-79.109903,Eastbound
Maryland,I-68,24695,Exit 24,EXIT 24,Lower New; Germany Rd,"Grantsville, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2024/24695,39.683825,-79.079695,http://maps.google.com/maps?t=m&q=loc:39.683825+-79.079695,Eastbound
Maryland,I-68,24696,Exit 29,EXIT 29,MD-546; Finzel,"Frostburg, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2029/24696,39.687624,-78.975947,http://maps.google.com/maps?t=m&q=loc:39.687624+-78.975947,Eastbound
Maryland,I-68,24697,Weigh Station,WEIGH STATION,Weigh Station,"Frostburg, Maryland",https://www.iexitapp.com/Maryland/I-68/Weigh%20Station/24697,39.670415,-78.962233,http://maps.google.com/maps?t=m&q=loc:39.670415+-78.962233,Eastbound
Maryland,I-68,24698,Exit 33,EXIT 33,Midlothian Rd; Frostburg,"Frostburg, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2033/24698,39.641652,-78.95133,http://maps.google.com/maps?t=m&q=loc:39.641652+-78.95133,Eastbound
Maryland,I-68,24699,Exit 34,EXIT 34,MD-36; Westernport; Frostburg,"Frostburg, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2034/24699,39.633485,-78.923518,http://maps.google.com/maps?t=m&q=loc:39.633485+-78.923518,Eastbound
Maryland,I-68,24700,Exit 40,EXIT 40,Campground Rd,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2040/24700,39.634964,-78.83476,http://maps.google.com/maps?t=m&q=loc:39.634964+-78.83476,Eastbound
Maryland,I-68,24701,Exit 42,EXIT 42,US-220 S; Greene St; Mc Coole; Keyser w V,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2042/24701,39.641689,-78.797101,http://maps.google.com/maps?t=m&q=loc:39.641689+-78.797101,Eastbound
Maryland,I-68,24702,Exit 43A,EXIT 43A,Johnson St; WV 28 Alt,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2043A/24702,39.648009,-78.769388,http://maps.google.com/maps?t=m&q=loc:39.648009+-78.769388,Eastbound
Maryland,I-68,24703,Exit 43B,EXIT 43B,MD-51; Industrial Blvd; Airport,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2043B/24703,39.648804,-78.762832,http://maps.google.com/maps?t=m&q=loc:39.648804+-78.762832,Eastbound
Maryland,I-68,24704,Exit 43C,EXIT 43C,Downtown,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2043C/24704,39.648881,-78.761859,http://maps.google.com/maps?t=m&q=loc:39.648881+-78.761859,Eastbound
Maryland,I-68,24705,Exit 43D,EXIT 43D,Maryland Avenue,"Cumberland, Maryland",https://www.iexitapp.com/Maryland/I-68/Exit%2043D/24705,39.649819,-78.755804,http://maps.google.com/maps?t=m&q=loc:39.649819+-78.755804,Eastbound
