state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Maryland,MD 100,42513,MD 10 south (Arundel Expressway) to MD 2 – Severna Park,EXIT,MD 10 south (Arundel Expressway) to MD 2 – Severna Park,"Pasadena, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%20/42513,39.125507,-76.5776,http://maps.google.com/maps?t=m&q=loc:39.125507+-76.5776,Westbound
Maryland,MD 100,42514,Exit 16B,EXIT 16B,"MD 2 (Ritchie Highway) / MD 177 (Mountain Road) to MD 10 north – Pasadena, Glen Burnie","Pasadena, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2016B/42514,39.133161,-76.588268,http://maps.google.com/maps?t=m&q=loc:39.133161+-76.588268,Westbound
Maryland,MD 100,42515,Exit 16A,EXIT 16A,"MD 2 (Ritchie Highway) / MD 177 (Mountain Road) to MD 10 north – Pasadena, Glen Burnie","Pasadena, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2016A/42515,39.134862,-76.598332,http://maps.google.com/maps?t=m&q=loc:39.134862+-76.598332,Westbound
Maryland,MD 100,42516,Exit 15,EXIT 15,Oakwood Road,"Glen Burnie, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2015/42516,39.139487,-76.61548,http://maps.google.com/maps?t=m&q=loc:39.139487+-76.61548,Westbound
Maryland,MD 100,42517,Exit 14,EXIT 14,MD 174 (Quarterfield Road),"Glen Burnie, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2014/42517,39.14861,-76.634172,http://maps.google.com/maps?t=m&q=loc:39.14861+-76.634172,Westbound
Maryland,MD 100,42519,Exit 11,EXIT 11,"MD 170 (Telegraph Road) – Linthicum, Odenton","Hanover, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2011/42519,39.152205,-76.679758,http://maps.google.com/maps?t=m&q=loc:39.152205+-76.679758,Westbound
Maryland,MD 100,42520,Exit 10,EXIT 10,"MD 713 (Arundel Mills Boulevard) – Hanover, Arundel Mills","Hanover, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%2010/42520,39.155392,-76.712695,http://maps.google.com/maps?t=m&q=loc:39.155392+-76.712695,Westbound
Maryland,MD 100,42521,"Exit 9B,A","EXIT 9B,A","MD 295 (Baltimore–Washington Parkway) – Baltimore, Washington","Hanover, Maryland","https://www.iexitapp.com/Maryland/MD%20100/Exit%209B,A/42521",39.166914,-76.725825,http://maps.google.com/maps?t=m&q=loc:39.166914+-76.725825,Westbound
Maryland,MD 100,42522,Exit 8,EXIT 8,Coca-Cola Drive,"Elkridge, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%208/42522,39.174264,-76.736718,http://maps.google.com/maps?t=m&q=loc:39.174264+-76.736718,Westbound
Maryland,MD 100,42523,Exit 7,EXIT 7,Dorsey MARC Station,"Elkridge, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%207/42523,39.181895,-76.744178,http://maps.google.com/maps?t=m&q=loc:39.181895+-76.744178,Westbound
Maryland,MD 100,42524,Exit 6,EXIT 6,"US 1 (Washington Boulevard) – Laurel, Elkridge","Elkridge, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%206/42524,39.185406,-76.75072,http://maps.google.com/maps?t=m&q=loc:39.185406+-76.75072,Westbound
Maryland,MD 100,42526,Exit 4,EXIT 4,MD 103 (Meadowridge Road),"Elkridge, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%204/42526,39.207674,-76.779448,http://maps.google.com/maps?t=m&q=loc:39.207674+-76.779448,Westbound
Maryland,MD 100,42527,Exit 3,EXIT 3,Snowden River Parkway,"Ellicott City, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%203/42527,39.209546,-76.793415,http://maps.google.com/maps?t=m&q=loc:39.209546+-76.793415,Westbound
Maryland,MD 100,42528,Exit 2,EXIT 2,MD 104 (Waterloo Road) / MD 108 (Old Annapolis Road),"Ellicott City, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%202/42528,39.221771,-76.801192,http://maps.google.com/maps?t=m&q=loc:39.221771+-76.801192,Westbound
Maryland,MD 100,42529,"Exit 1B,C","EXIT 1B,C",Executive Park Drive,"Ellicott City, Maryland","https://www.iexitapp.com/Maryland/MD%20100/Exit%201B,C/42529",39.232539,-76.812965,http://maps.google.com/maps?t=m&q=loc:39.232539+-76.812965,Westbound
Maryland,MD 100,42530,Exit 1A,EXIT 1A,Long Gate Parkway,"Ellicott City, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%201A/42530,39.245042,-76.81502,http://maps.google.com/maps?t=m&q=loc:39.245042+-76.81502,Westbound
Maryland,MD 100,42531,US 29 (Columbia Pike) to I-70 – Washington,EXIT,US 29 (Columbia Pike) to I-70 – Washington,"Ellicott City, Maryland",https://www.iexitapp.com/Maryland/MD%20100/Exit%20/42531,39.250218,-76.819742,http://maps.google.com/maps?t=m&q=loc:39.250218+-76.819742,Westbound
