state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Maryland,US 50,40613,Baltimore–Washington Parkway (MD 295 north) – Baltimore,EXIT,Baltimore–Washington Parkway (MD 295 north) – Baltimore,"Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%20/40613,38.918559,-76.938544,http://maps.google.com/maps?t=m&q=loc:38.918559+-76.938544,Eastbound
Maryland,US 50,40614,"MD 201 (Kenilworth Avenue) to I-295 / Baltimore–Washington Parkway – Bladensburg, Alexandria",EXIT,"MD 201 (Kenilworth Avenue) to I-295 / Baltimore–Washington Parkway – Bladensburg, Alexandria","Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%20/40614,38.919129,-76.935225,http://maps.google.com/maps?t=m&q=loc:38.919129+-76.935225,Eastbound
Maryland,US 50,40615,"Columbia Park Road, Chevelry",EXIT,"Columbia Park Road, Chevelry","Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%20/40615,38.916738,-76.919619,http://maps.google.com/maps?t=m&q=loc:38.916738+-76.919619,Eastbound
Maryland,US 50,40616,Exit 3B,EXIT 3B,"MD 202 (Landover Road) – Bladensburg, Upper Marlboro","Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%203B/40616,38.925331,-76.902352,http://maps.google.com/maps?t=m&q=loc:38.925331+-76.902352,Eastbound
Maryland,US 50,40617,Exit 3A,EXIT 3A,"MD 202 (Landover Road) – Bladensburg, Upper Marlboro","Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%203A/40617,38.930886,-76.896698,http://maps.google.com/maps?t=m&q=loc:38.930886+-76.896698,Eastbound
Maryland,US 50,40618,Exit 5,EXIT 5,MD 410 (Veterans Parkway) to Ardwick Ardmore Road,"Hyattsville, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%205/40618,38.939251,-76.884521,http://maps.google.com/maps?t=m&q=loc:38.939251+-76.884521,Eastbound
Maryland,US 50,40620,Exit 8,EXIT 8,MD 704 (Martin Luther King Jr. Highway) – Glenarden,"Bowie, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%208/40620,38.946459,-76.844334,http://maps.google.com/maps?t=m&q=loc:38.946459+-76.844334,Eastbound
Maryland,US 50,40621,Exit 11,EXIT 11,MD 197 (Collington Road) – Bowie,"Bowie, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%2011/40621,38.951013,-76.749267,http://maps.google.com/maps?t=m&q=loc:38.951013+-76.749267,Eastbound
Maryland,US 50,40622,Exit 13A,EXIT 13A,US 301 South / Richmond,"Bowie, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%2013A/40622,38.953336,-76.727591,http://maps.google.com/maps?t=m&q=loc:38.953336+-76.727591,Eastbound
Maryland,US 50,76850,Exit 13B,EXIT 13B,Highway 3 North - Crofton,"Bowie, Maryland",https://www.iexitapp.com/Maryland/US%2050/Exit%2013B/76850,38.953356,-76.726599,http://maps.google.com/maps?t=m&q=loc:38.953356+-76.726599,Eastbound
