state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Massachusetts,I-195,38231,Exit 39,EXIT 39,"Route 28 – Wareham, South Middleboro","Wareham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2039/38231,41.778512,-70.736874,http://maps.google.com/maps?t=m&q=loc:41.778512+-70.736874,Westbound
Massachusetts,I-195,38262,Exit 40A,EXIT 40A,Route 25 east – Cape Cod,"Wareham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2040A/38262,41.780065,-70.735099,http://maps.google.com/maps?t=m&q=loc:41.780065+-70.735099,Westbound
Massachusetts,I-195,38232,Exit 35,EXIT 35,"Route 105 – Marion, Rochester","Marion, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2035/38232,41.723775,-70.776708,http://maps.google.com/maps?t=m&q=loc:41.723775+-70.776708,Westbound
Massachusetts,I-195,38233,Exit 31B,EXIT 31B,"Mattapoisett, North Rochester","Mattapoisett, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2031B/38233,41.678576,-70.818581,http://maps.google.com/maps?t=m&q=loc:41.678576+-70.818581,Westbound
Massachusetts,I-195,38234,Exit 31A,EXIT 31A,"Mattapoisett, North Rochester","Mattapoisett, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2031A/38234,41.673834,-70.823808,http://maps.google.com/maps?t=m&q=loc:41.673834+-70.823808,Westbound
Massachusetts,I-195,38235,Exit 29,EXIT 29,Route 240 south – Fairhaven,"Fairhaven, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2029/38235,41.658763,-70.888139,http://maps.google.com/maps?t=m&q=loc:41.658763+-70.888139,Westbound
Massachusetts,I-195,38236,Exit 28,EXIT 28,Coggeshall Street,"New Bedford, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2028/38236,41.654881,-70.917871,http://maps.google.com/maps?t=m&q=loc:41.654881+-70.917871,Westbound
Massachusetts,I-195,38237,Exit 26,EXIT 26,Route 18 south – Downtown New Bedford,"New Bedford, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2026/38237,41.65415,-70.928807,http://maps.google.com/maps?t=m&q=loc:41.65415+-70.928807,Westbound
Massachusetts,I-195,38238,"Exit 24B,A","EXIT 24B,A","Route 140 to US 6 – Dartmouth, Taunton","New Bedford, Massachusetts","https://www.iexitapp.com/Massachusetts/I-195/Exit%2024B,A/38238",41.65213,-70.948176,http://maps.google.com/maps?t=m&q=loc:41.65213+-70.948176,Westbound
Massachusetts,I-195,38239,Exit 22B,EXIT 22B,Faunce Corner Road / Faunce Corner Mall Road – North Dartmouth,"North Dartmouth, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2022B/38239,41.655036,-70.983952,http://maps.google.com/maps?t=m&q=loc:41.655036+-70.983952,Westbound
Massachusetts,I-195,38240,Exit 22A,EXIT 22A,Faunce Corner Road / Faunce Corner Mall Road – North Dartmouth,"North Dartmouth, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2022A/38240,41.655024,-70.98847,http://maps.google.com/maps?t=m&q=loc:41.655024+-70.98847,Westbound
Massachusetts,I-195,38241,Exit 19B,EXIT 19B,"Reed Road – Hixville, Dartmouth","North Dartmouth, Massachusetts",https://www.iexitapp.com/Massachusetts/I-195/Exit%2019B/38241,41.657175,-71.033383,http://maps.google.com/maps?t=m&q=loc:41.657175+-71.033383,Westbound
