state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Massachusetts,I-291,37290,Exit 3,EXIT 3,Armory Street,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%203/37290,42.115792,-72.588871,http://maps.google.com/maps?t=m&q=loc:42.115792+-72.588871,Northbound
Massachusetts,I-291,37291,Exit 4,EXIT 4,St. James Avenue - Chicopee Falls,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%204/37291,42.125604,-72.569085,http://maps.google.com/maps?t=m&q=loc:42.125604+-72.569085,Northbound
Massachusetts,I-291,37292,Exit 5A,EXIT 5A,US 20 east – Indian Orchard,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%205A/37292,42.14354,-72.549484,http://maps.google.com/maps?t=m&q=loc:42.14354+-72.549484,Northbound
Massachusetts,I-291,37293,Exit 5B,EXIT 5B,Route 20A west – East Springfield,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%205B/37293,42.14639,-72.549296,http://maps.google.com/maps?t=m&q=loc:42.14639+-72.549296,Northbound
Massachusetts,I-291,37294,Exit 6,EXIT 6,"Fuller Road – Ludlow, Chicopee Falls","Chicopee, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%206/37294,42.160098,-72.547583,http://maps.google.com/maps?t=m&q=loc:42.160098+-72.547583,Northbound
Massachusetts,I-291,37296,Burnett Road north,EXIT,Burnett Road north,"Chicopee, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%20/37296,42.164059,-72.546907,http://maps.google.com/maps?t=m&q=loc:42.164059+-72.546907,Southbound
Massachusetts,I-291,37297,Exit 6,EXIT 6,"Fuller Road – Ludlow, Chicopee Falls","Chicopee, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%206/37297,42.162067,-72.547338,http://maps.google.com/maps?t=m&q=loc:42.162067+-72.547338,Southbound
Massachusetts,I-291,37298,Exit 5,EXIT 5,"US 20 east / Route 20A west – Indian Orchard, East Springfield","Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%205/37298,42.150521,-72.549607,http://maps.google.com/maps?t=m&q=loc:42.150521+-72.549607,Southbound
Massachusetts,I-291,37299,Exit 4,EXIT 4,St. James Avenue - Chicopee Falls,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%204/37299,42.128974,-72.562521,http://maps.google.com/maps?t=m&q=loc:42.128974+-72.562521,Southbound
Massachusetts,I-291,37300,Exit 3,EXIT 3,Armory Street,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%203/37300,42.119886,-72.580584,http://maps.google.com/maps?t=m&q=loc:42.119886+-72.580584,Southbound
Massachusetts,I-291,37302,Exit 2A,EXIT 2A,Chestnut Street,"Springfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-291/Exit%202A/37302,42.111882,-72.594642,http://maps.google.com/maps?t=m&q=loc:42.111882+-72.594642,Southbound
