state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Massachusetts,I-495,40581,Exit 1,EXIT 1,"I-195 west – New Bedford, Providence, RI","West Wareham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%201/40581,41.78502,-70.735697,http://maps.google.com/maps?t=m&q=loc:41.78502+-70.735697,Northbound
Massachusetts,I-495,40452,Exit 2,EXIT 2,"Route 58 – Carver, Plymouth","West Wareham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%202/40452,41.804385,-70.766168,http://maps.google.com/maps?t=m&q=loc:41.804385+-70.766168,Northbound
Massachusetts,I-495,40453,Exit 8,EXIT 8,"Route 28 – Rock Village, South Middleboro","Middleboro, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%208/40453,41.845659,-70.846006,http://maps.google.com/maps?t=m&q=loc:41.845659+-70.846006,Northbound
Massachusetts,I-495,40454,Temporarily Closed - Parking Area,PARKING AREA,Temporarily Closed - Parking Area,"Middleboro, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Parking%20Area/40454,41.86991,-70.891464,http://maps.google.com/maps?t=m&q=loc:41.86991+-70.891464,Northbound
Massachusetts,I-495,40455,Exit 12,EXIT 12,"Route 105 – Middleboro Center, Lakeville","Middleboro, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2012/40455,41.880894,-70.916926,http://maps.google.com/maps?t=m&q=loc:41.880894+-70.916926,Northbound
Massachusetts,I-495,40456,Exit 14,EXIT 14,"Route 18 to US 44 – Bridgewater, Plymouth, Lakeville, New Bedford","Middleboro, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2014/40456,41.89688,-70.955444,http://maps.google.com/maps?t=m&q=loc:41.89688+-70.955444,Northbound
Massachusetts,I-495,40457,Exit 15,EXIT 15,"US 44 – Middleboro, Taunton, Plymouth, Providence, RI","Middleboro, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2015/40457,41.903197,-70.965417,http://maps.google.com/maps?t=m&q=loc:41.903197+-70.965417,Northbound
Massachusetts,I-495,40458,Weigh Station,WEIGH STATION,Weigh Station,"Raynham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Weigh%20Station/40458,41.929381,-71.003217,http://maps.google.com/maps?t=m&q=loc:41.929381+-71.003217,Northbound
Massachusetts,I-495,40459,"Exit 19A,B","EXIT 19A,B","Route 24 – Boston (north); Fall River (south)
          (MM: 19.0)","Raynham, Massachusetts","https://www.iexitapp.com/Massachusetts/I-495/Exit%2019A,B/40459",41.942524,-71.016987,http://maps.google.com/maps?t=m&q=loc:41.942524+-71.016987,Northbound
Massachusetts,I-495,40460,Exit 22,EXIT 22,"Route 138 – Stoughton, Taunton","Raynham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2022/40460,41.958819,-71.062787,http://maps.google.com/maps?t=m&q=loc:41.958819+-71.062787,Northbound
Massachusetts,I-495,40461,Exit 25,EXIT 25,"Bay Street – Taunton, Easton","Taunton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2025/40461,41.962226,-71.116744,http://maps.google.com/maps?t=m&q=loc:41.962226+-71.116744,Northbound
Massachusetts,I-495,40462,Exit 27,EXIT 27,"Route 123 to Route 140 south – Norton, East Mansfield, Easton","Norton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2027/40462,41.978963,-71.155415,http://maps.google.com/maps?t=m&q=loc:41.978963+-71.155415,Northbound
Massachusetts,I-495,40463,Exit 31,EXIT 31,"Route 140 north – Mansfield
          (MM: 31.0)","Mansfield, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2031/40463,42.000937,-71.211672,http://maps.google.com/maps?t=m&q=loc:42.000937+-71.211672,Northbound
Massachusetts,I-495,40465,Exit 36A,EXIT 36A,US 1 north – Wrentham,"Plainville, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2036A/40465,42.03707,-71.300623,http://maps.google.com/maps?t=m&q=loc:42.03707+-71.300623,Northbound
Massachusetts,I-495,40466,Exit 36B,EXIT 36B,US 1 south – North Attleboro,"Plainville, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2036B/40466,42.037491,-71.307081,http://maps.google.com/maps?t=m&q=loc:42.037491+-71.307081,Northbound
Massachusetts,I-495,40467,Exit 38,EXIT 38,"Route 1A – Wrentham, Plainville, Norfolk","Wrentham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2038/40467,42.03999,-71.34086,http://maps.google.com/maps?t=m&q=loc:42.03999+-71.34086,Northbound
Massachusetts,I-495,40468,Exit 41,EXIT 41,"King Street – Franklin, Woonsocket, RI","Franklin, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2041/40468,42.06304,-71.39707,http://maps.google.com/maps?t=m&q=loc:42.06304+-71.39707,Northbound
Massachusetts,I-495,40469,Exit 43,EXIT 43,"Route 140 – Franklin, Bellingham","Franklin, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2043/40469,42.08749,-71.42484,http://maps.google.com/maps?t=m&q=loc:42.08749+-71.42484,Northbound
Massachusetts,I-495,40470,Exit 46,EXIT 46,"Route 126 – Medway, Bellingham","Bellingham, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2046/40470,42.111045,-71.462532,http://maps.google.com/maps?t=m&q=loc:42.111045+-71.462532,Northbound
Massachusetts,I-495,40471,Exit 48,EXIT 48,"Route 109 – Milford, Medway, Holliston, Uxbridge","Milford, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2048/40471,42.143174,-71.48251,http://maps.google.com/maps?t=m&q=loc:42.143174+-71.48251,Northbound
Massachusetts,I-495,40472,Exit 50,EXIT 50,"Route 85 – Milford, Hopkinton, Uxbridge","Milford, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2050/40472,42.1651,-71.504841,http://maps.google.com/maps?t=m&q=loc:42.1651+-71.504841,Northbound
Massachusetts,I-495,40473,Exit 54A,EXIT 54A,West Main Street – Hopkinton,"Hopkinton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2054A/40473,42.210319,-71.543765,http://maps.google.com/maps?t=m&q=loc:42.210319+-71.543765,Northbound
Massachusetts,I-495,40474,Exit 54B,EXIT 54B,West Main Street – Upton,"Hopkinton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2054B/40474,42.214896,-71.545936,http://maps.google.com/maps?t=m&q=loc:42.214896+-71.545936,Northbound
Massachusetts,I-495,40476,Exit 59A,EXIT 59A,Route 9 east – Framingham,"Westborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2059A/40476,42.284361,-71.566145,http://maps.google.com/maps?t=m&q=loc:42.284361+-71.566145,Northbound
Massachusetts,I-495,40477,Exit 59B,EXIT 59B,Route 9 west – Worcester,"Westborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2059B/40477,42.289037,-71.566192,http://maps.google.com/maps?t=m&q=loc:42.289037+-71.566192,Northbound
Massachusetts,I-495,40478,Exit 62,EXIT 62,"Simarano Drive – Marlboro, Southboro","Southborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2062/40478,42.317007,-71.569185,http://maps.google.com/maps?t=m&q=loc:42.317007+-71.569185,Northbound
Massachusetts,I-495,40479,Exit 63A,EXIT 63A,US 20 east – Marlboro,"Marlborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2063A/40479,42.337324,-71.575252,http://maps.google.com/maps?t=m&q=loc:42.337324+-71.575252,Northbound
Massachusetts,I-495,40480,Exit 63B,EXIT 63B,US 20 west – Northboro,"Marlborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2063B/40480,42.341428,-71.574993,http://maps.google.com/maps?t=m&q=loc:42.341428+-71.574993,Northbound
Massachusetts,I-495,40481,Exit 65A,EXIT 65A,Route 85 – Hudson,"Marlborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2065A/40481,42.359147,-71.585824,http://maps.google.com/maps?t=m&q=loc:42.359147+-71.585824,Northbound
Massachusetts,I-495,40483,Exit 67,EXIT 67,"Route 62 – Berlin, Hudson, Clinton","Berlin, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2067/40483,42.390666,-71.605533,http://maps.google.com/maps?t=m&q=loc:42.390666+-71.605533,Northbound
Massachusetts,I-495,40484,Exit 70,EXIT 70,"Route 117 – Bolton, Stow, Maynard","Bolton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2070/40484,42.431008,-71.592352,http://maps.google.com/maps?t=m&q=loc:42.431008+-71.592352,Northbound
Massachusetts,I-495,40485,Exit 75,EXIT 75,"Route 111 – Boxboro, Harvard","Boxborough, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2075/40485,42.487056,-71.544423,http://maps.google.com/maps?t=m&q=loc:42.487056+-71.544423,Northbound
Massachusetts,I-495,40486,"Exit 78A,B","EXIT 78A,B","Route 2 – Boston (east); Leominster (west)
          (MM: 78.0)","Littleton, Massachusetts","https://www.iexitapp.com/Massachusetts/I-495/Exit%2078A,B/40486",42.517774,-71.511082,http://maps.google.com/maps?t=m&q=loc:42.517774+-71.511082,Northbound
Massachusetts,I-495,40487,Exit 79,EXIT 79,"Route 2A / Route 110 – Littleton, Ayer","Littleton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2079/40487,42.535548,-71.496024,http://maps.google.com/maps?t=m&q=loc:42.535548+-71.496024,Northbound
Massachusetts,I-495,40488,Exit 80,EXIT 80,"Route 119 – Groton, Acton","Littleton, Massachusetts",https://www.iexitapp.com/Massachusetts/I-495/Exit%2080/40488,42.549358,-71.477385,http://maps.google.com/maps?t=m&q=loc:42.549358+-71.477385,Northbound
