state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Massachusetts,US 3,42533,Exit 26,EXIT 26,"Route 62 – Burlington, Bedford","Bedford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2026/42533,42.497921,-71.238857,http://maps.google.com/maps?t=m&q=loc:42.497921+-71.238857,Northbound
Massachusetts,US 3,42534,Exit 27,EXIT 27,"Concord Road – Billerica, Bedford","Billerica, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2027/42534,42.538616,-71.280568,http://maps.google.com/maps?t=m&q=loc:42.538616+-71.280568,Northbound
Massachusetts,US 3,42535,Exit 28,EXIT 28,"Treble Cove Road – North Billerica, Carlisle","North Billerica, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2028/42535,42.561374,-71.29793,http://maps.google.com/maps?t=m&q=loc:42.561374+-71.29793,Northbound
Massachusetts,US 3,42536,Exit 29,EXIT 29,"Route 129 – Billerica, Chelmsford","Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2029/42536,42.589307,-71.313106,http://maps.google.com/maps?t=m&q=loc:42.589307+-71.313106,Northbound
Massachusetts,US 3,42538,Exit 32,EXIT 32,"Route 4 – North Chelmsford, Chelmsford","North Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2032/42538,42.621275,-71.360687,http://maps.google.com/maps?t=m&q=loc:42.621275+-71.360687,Northbound
Massachusetts,US 3,42539,Exit 33,EXIT 33,"Route 40 – Westford, North Chelmsford","North Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2033/42539,42.632109,-71.405572,http://maps.google.com/maps?t=m&q=loc:42.632109+-71.405572,Northbound
Massachusetts,US 3,42540,Exit 34,EXIT 34,"Westford Road – Tyngsborough, Westford","Tyngsboro, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2034/42540,42.655481,-71.425325,http://maps.google.com/maps?t=m&q=loc:42.655481+-71.425325,Northbound
Massachusetts,US 3,42541,Exit 35,EXIT 35,"Route 113 – Dunstable, Tyngsborough","Tyngsboro, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2035/42541,42.680419,-71.441051,http://maps.google.com/maps?t=m&q=loc:42.680419+-71.441051,Northbound
Massachusetts,US 3,42542,Exit 36,EXIT 36,"Middlesex Road – South Nashua, NH","Tyngsboro, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2036/42542,42.694559,-71.446133,http://maps.google.com/maps?t=m&q=loc:42.694559+-71.446133,Northbound
Massachusetts,US 3,42561,Exit 35,EXIT 35,"Route 113 – Dunstable, Tyngsborough","Tyngsboro, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2035/42561,42.680223,-71.441393,http://maps.google.com/maps?t=m&q=loc:42.680223+-71.441393,Southbound
Massachusetts,US 3,42562,Exit 34,EXIT 34,"Westford Road – Tyngsborough, Westford","Tyngsboro, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2034/42562,42.662029,-71.431191,http://maps.google.com/maps?t=m&q=loc:42.662029+-71.431191,Southbound
Massachusetts,US 3,42563,Exit 33,EXIT 33,"Route 40 – Westford, North Chelmsford","North Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2033/42563,42.631248,-71.404967,http://maps.google.com/maps?t=m&q=loc:42.631248+-71.404967,Southbound
Massachusetts,US 3,42564,Exit 32,EXIT 32,"Route 4 – North Chelmsford, Chelmsford","North Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2032/42564,42.623522,-71.371711,http://maps.google.com/maps?t=m&q=loc:42.623522+-71.371711,Southbound
Massachusetts,US 3,42566,Exit 29,EXIT 29,"Route 129 – Billerica, Chelmsford","Chelmsford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2029/42566,42.588869,-71.313044,http://maps.google.com/maps?t=m&q=loc:42.588869+-71.313044,Southbound
Massachusetts,US 3,42567,Exit 28,EXIT 28,"Treble Cove Road – North Billerica, Carlisle","North Billerica, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2028/42567,42.563089,-71.299706,http://maps.google.com/maps?t=m&q=loc:42.563089+-71.299706,Southbound
Massachusetts,US 3,42568,Exit 27,EXIT 27,"Concord Road – Billerica, Bedford","Billerica, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2027/42568,42.542133,-71.283339,http://maps.google.com/maps?t=m&q=loc:42.542133+-71.283339,Southbound
Massachusetts,US 3,42569,Exit 26,EXIT 26,"Route 62 – Burlington, Bedford","Bedford, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2026/42569,42.506184,-71.247707,http://maps.google.com/maps?t=m&q=loc:42.506184+-71.247707,Southbound
Massachusetts,US 3,42570,Exit 50B,EXIT 50B,Middlesex Turnpike,"Burlington, Massachusetts",https://www.iexitapp.com/Massachusetts/US%203/Exit%2050B/42570,42.477827,-71.214484,http://maps.google.com/maps?t=m&q=loc:42.477827+-71.214484,Southbound
