state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Michigan,I-696,41099,Exit 27,EXIT 27,M-3 (Gratiot Avenue),"Roseville, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2027/41099,42.494602,-82.931804,http://maps.google.com/maps?t=m&q=loc:42.494602+-82.931804,Westbound
Michigan,I-696,41100,Exit 26,EXIT 26,M-97 (Groesbeck Highway) / Schoenherr Road,"Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2026/41100,42.494138,-82.961804,http://maps.google.com/maps?t=m&q=loc:42.494138+-82.961804,Westbound
Michigan,I-696,41101,Exit 24,EXIT 24,"Hoover Road, Schoenherr Road","Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2024/41101,42.492257,-82.997883,http://maps.google.com/maps?t=m&q=loc:42.492257+-82.997883,Westbound
Michigan,I-696,41102,Exit 23,EXIT 23,M-53 (Van Dyke Avenue) / Ryan Road,"Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2023/41102,42.491929,-83.021162,http://maps.google.com/maps?t=m&q=loc:42.491929+-83.021162,Westbound
Michigan,I-696,41103,Exit 22,EXIT 22,Mound Road,"Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2022/41103,42.49114,-83.036728,http://maps.google.com/maps?t=m&q=loc:42.49114+-83.036728,Westbound
Michigan,I-696,41104,Exit 21,EXIT 21,11 Mile Road,"Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2021/41104,42.49123,-83.069517,http://maps.google.com/maps?t=m&q=loc:42.49123+-83.069517,Westbound
Michigan,I-696,41105,"Dequindre Road, Ryan Road, John R Road",EXIT,"Dequindre Road, Ryan Road, John R Road","Warren, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%20/41105,42.489148,-83.081031,http://maps.google.com/maps?t=m&q=loc:42.489148+-83.081031,Westbound
Michigan,I-696,41106,Exit 18,EXIT 18,"I-75 (Chrysler Freeway) – Flint, Detroit, Toledo","Madison Heights, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2018/41106,42.477238,-83.104909,http://maps.google.com/maps?t=m&q=loc:42.477238+-83.104909,Westbound
Michigan,I-696,41107,Exit 17,EXIT 17,"Campbell Road, Hilton Road","Royal Oak, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2017/41107,42.476163,-83.121702,http://maps.google.com/maps?t=m&q=loc:42.476163+-83.121702,Westbound
Michigan,I-696,41108,Exit 16,EXIT 16,M-1 (Woodward Avenue) / Main Street – Detroit Zoo,"Oak Park, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2016/41108,42.475859,-83.136488,http://maps.google.com/maps?t=m&q=loc:42.475859+-83.136488,Westbound
Michigan,I-696,41109,Exit 14,EXIT 14,"10 Mile Road, Coolidge Road","Oak Park, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2014/41109,42.47485,-83.172917,http://maps.google.com/maps?t=m&q=loc:42.47485+-83.172917,Westbound
Michigan,I-696,41110,Exit 13,EXIT 13,Greenfield Road,"Southfield, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2013/41110,42.477369,-83.195679,http://maps.google.com/maps?t=m&q=loc:42.477369+-83.195679,Westbound
Michigan,I-696,41111,Exit 12,EXIT 12,"11 Mile Road, Southfield Road","Southfield, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2012/41111,42.487452,-83.211649,http://maps.google.com/maps?t=m&q=loc:42.487452+-83.211649,Westbound
Michigan,I-696,41112,Exit 11,EXIT 11,Evergreen Road,"Southfield, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2011/41112,42.487672,-83.232426,http://maps.google.com/maps?t=m&q=loc:42.487672+-83.232426,Westbound
Michigan,I-696,41113,Exit 10,EXIT 10,M-10 north (Northwestern Highway) to US 24 (Telegraph Road) / Lahser Road,"Southfield, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%2010/41113,42.485947,-83.257222,http://maps.google.com/maps?t=m&q=loc:42.485947+-83.257222,Westbound
Michigan,I-696,41114,Exit 5,EXIT 5,Orchard Lake Road,"Farmington, Michigan",https://www.iexitapp.com/Michigan/I-696/Exit%205/41114,42.496482,-83.35074,http://maps.google.com/maps?t=m&q=loc:42.496482+-83.35074,Westbound
