state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Michigan,US 131,40957,Parking Area,PARKING AREA,Parking Area,"Schoolcraft, Michigan",https://www.iexitapp.com/Michigan/US%20131/Parking%20Area/40957,42.168508,-85.644645,http://maps.google.com/maps?t=m&q=loc:42.168508+-85.644645,Northbound
Michigan,US 131,40958,Exit 31,EXIT 31,Centre Avenue – Portage,"Portage, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2031/40958,42.195043,-85.646338,http://maps.google.com/maps?t=m&q=loc:42.195043+-85.646338,Northbound
Michigan,US 131,40959,"Exit 34A,B","EXIT 34A,B","I-94 – Detroit (east), Chicago (west)","Portage, Michigan","https://www.iexitapp.com/Michigan/US%20131/Exit%2034A,B/40959",42.232978,-85.637938,http://maps.google.com/maps?t=m&q=loc:42.232978+-85.637938,Northbound
Michigan,US 131,40960,Exit 36A,EXIT 36A,BL I-94 east / BUS US 131 north (Stadium Drive) – Kalamazoo,"Kalamazoo, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2036A/40960,42.26348,-85.652251,http://maps.google.com/maps?t=m&q=loc:42.26348+-85.652251,Northbound
Michigan,US 131,40961,Exit 36B,EXIT 36B,Oshtemo,"Kalamazoo, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2036B/40961,42.269474,-85.653791,http://maps.google.com/maps?t=m&q=loc:42.269474+-85.653791,Northbound
Michigan,US 131,40962,Exit 38A,EXIT 38A,M-43 east – Kalamazoo,"Kalamazoo, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2038A/40962,42.291656,-85.663069,http://maps.google.com/maps?t=m&q=loc:42.291656+-85.663069,Northbound
Michigan,US 131,40963,Exit 38B,EXIT 38B,M-43 west – South Haven,"Kalamazoo, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2038B/40963,42.296549,-85.663566,http://maps.google.com/maps?t=m&q=loc:42.296549+-85.663566,Northbound
Michigan,US 131,40965,Exit 44,EXIT 44,D Avenue,"Kalamazoo, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2044/40965,42.371486,-85.655811,http://maps.google.com/maps?t=m&q=loc:42.371486+-85.655811,Northbound
Michigan,US 131,40966,Exit 49A,EXIT 49A,M-89 east – Plainwell,"Plainwell, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2049A/40966,42.444433,-85.658293,http://maps.google.com/maps?t=m&q=loc:42.444433+-85.658293,Northbound
Michigan,US 131,40967,Exit 49B,EXIT 49B,M-89 west – Allegan,"Plainwell, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2049B/40967,42.449921,-85.655785,http://maps.google.com/maps?t=m&q=loc:42.449921+-85.655785,Northbound
Michigan,US 131,40968,Exit 55,EXIT 55,"M-222 west – Martin, Allegan","Martin, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2055/40968,42.534686,-85.659457,http://maps.google.com/maps?t=m&q=loc:42.534686+-85.659457,Northbound
Michigan,US 131,40969,Exit 59,EXIT 59,Shelbyville,"Martin, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2059/40969,42.590979,-85.662667,http://maps.google.com/maps?t=m&q=loc:42.590979+-85.662667,Northbound
Michigan,US 131,40970,Exit 61,EXIT 61,"M-179 east – Bradley, A-42 west – Hopkins","Shelbyville, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2061/40970,42.628204,-85.662178,http://maps.google.com/maps?t=m&q=loc:42.628204+-85.662178,Northbound
Michigan,US 131,40971,Exit 64,EXIT 64,"135th Avenue – Wayland, Hilliards","Wayland, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2064/40971,42.671756,-85.661264,http://maps.google.com/maps?t=m&q=loc:42.671756+-85.661264,Northbound
Michigan,US 131,40972,Exit 68,EXIT 68,"142nd Avenue – Dorr, Moline","Dorr, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2068/40972,42.721713,-85.670391,http://maps.google.com/maps?t=m&q=loc:42.721713+-85.670391,Northbound
Michigan,US 131,40973,Exit 72,EXIT 72,100th Street,"Byron Center, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2072/40973,42.779522,-85.668829,http://maps.google.com/maps?t=m&q=loc:42.779522+-85.668829,Northbound
Michigan,US 131,40974,Exit 74,EXIT 74,84th Street – Byron Center,"Byron Center, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2074/40974,42.810117,-85.668717,http://maps.google.com/maps?t=m&q=loc:42.810117+-85.668717,Northbound
Michigan,US 131,40975,Exit 75,EXIT 75,76th Street,"Grand Rapids, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2075/40975,42.82463,-85.670974,http://maps.google.com/maps?t=m&q=loc:42.82463+-85.670974,Northbound
Michigan,US 131,40976,Exit 77,EXIT 77,M-6 Eastbound - Lansing,"Grand Rapids, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2077/40976,42.83437,-85.676086,http://maps.google.com/maps?t=m&q=loc:42.83437+-85.676086,Northbound
Michigan,US 131,77087,Exit 77,EXIT 77,M-6 West - Holland,"Byron Center, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2077/77087,42.849505,-85.678162,http://maps.google.com/maps?t=m&q=loc:42.849505+-85.678162,Northbound
Michigan,US 131,40977,Exit 76,EXIT 76,68th Street – Cutlerville,"Grand Rapids, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2076/40977,42.837782,-85.677132,http://maps.google.com/maps?t=m&q=loc:42.837782+-85.677132,Northbound
Michigan,US 131,40978,Exit 78,EXIT 78,54th Street,"Wyoming, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2078/40978,42.861558,-85.679113,http://maps.google.com/maps?t=m&q=loc:42.861558+-85.679113,Northbound
Michigan,US 131,40979,Exit 79,EXIT 79,"44th Street – Kentwood, Grandville","Wyoming, Michigan",https://www.iexitapp.com/Michigan/US%20131/Exit%2079/40979,42.881057,-85.68152,http://maps.google.com/maps?t=m&q=loc:42.881057+-85.68152,Northbound
