state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Minnesota,I-35W,2878,Exit 36,EXIT 36,County Road 23,"Circle Pines, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2036/2878,45.181739,-93.108412,http://maps.google.com/maps?t=m&q=loc:45.181739+-93.108412,Southbound
Minnesota,I-35W,2879,Exit 33,EXIT 33,Lexington Ave,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2033/2879,45.162742,-93.158967,http://maps.google.com/maps?t=m&q=loc:45.162742+-93.158967,Southbound
Minnesota,I-35W,2880,Exit 32,EXIT 32,95th Ave NE; Anoka County 52,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2032/2880,45.145538,-93.182595,http://maps.google.com/maps?t=m&q=loc:45.145538+-93.182595,Southbound
Minnesota,I-35W,2881,Exit 30,EXIT 30,"US 10
          (MM: 30.0)","Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2030/2881,45.119843,-93.188645,http://maps.google.com/maps?t=m&q=loc:45.119843+-93.188645,Southbound
Minnesota,I-35W,2882,Exit 29,EXIT 29,County Rd I,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2029/2882,45.107682,-93.188563,http://maps.google.com/maps?t=m&q=loc:45.107682+-93.188563,Southbound
Minnesota,I-35W,2883,Exit 28C,EXIT 28C,Ramsey County 10; County H,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2028C/2883,45.099354,-93.188436,http://maps.google.com/maps?t=m&q=loc:45.099354+-93.188436,Southbound
Minnesota,I-35W,2884,Exit 28B,EXIT 28B,US-10 E; St Paul,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2028B/2884,45.092984,-93.188365,http://maps.google.com/maps?t=m&q=loc:45.092984+-93.188365,Southbound
Minnesota,I-35W,2885,Exit 28A,EXIT 28A,County Rd 96,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2028A/2885,45.082274,-93.186073,http://maps.google.com/maps?t=m&q=loc:45.082274+-93.186073,Southbound
Minnesota,I-35W,2886,Exit 27B,EXIT 27B,"I 694
          (MM: 27.0)","Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2027B/2886,45.07117,-93.185723,http://maps.google.com/maps?t=m&q=loc:45.07117+-93.185723,Southbound
Minnesota,I-35W,49172,Exit 27A,EXIT 27A,"I 694
          (MM: 27.0)","Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2027A/49172,45.066904,-93.18621,http://maps.google.com/maps?t=m&q=loc:45.066904+-93.18621,Southbound
Minnesota,I-35W,2887,Exit 26,EXIT 26,County E2,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2026/2887,45.060267,-93.187045,http://maps.google.com/maps?t=m&q=loc:45.060267+-93.187045,Southbound
Minnesota,I-35W,2888,Exit 25B,EXIT 25B,County Road 88,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2025B/2888,45.042884,-93.189502,http://maps.google.com/maps?t=m&q=loc:45.042884+-93.189502,Southbound
Minnesota,I-35W,2889,Exit 25A,EXIT 25A,County D,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2025A/2889,45.035028,-93.19076,http://maps.google.com/maps?t=m&q=loc:45.035028+-93.19076,Southbound
Minnesota,I-35W,2890,Exit 24,EXIT 24,County C,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2024/2890,45.02471,-93.190777,http://maps.google.com/maps?t=m&q=loc:45.02471+-93.190777,Southbound
Minnesota,I-35W,2891,Exit 23B,EXIT 23B,"MN 36
          (MM: 23.0)","Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2023B/2891,45.014904,-93.187762,http://maps.google.com/maps?t=m&q=loc:45.014904+-93.187762,Southbound
Minnesota,I-35W,49174,Exit 23B,EXIT 23B,Cleveland Ave; MN-36,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2023B/49174,45.014904,-93.187762,http://maps.google.com/maps?t=m&q=loc:45.014904+-93.187762,Southbound
Minnesota,I-35W,2895,Exit 22,EXIT 22,Industrial Blvd,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2022/2895,45.005618,-93.208961,http://maps.google.com/maps?t=m&q=loc:45.005618+-93.208961,Southbound
Minnesota,I-35W,49175,Exit 21A,EXIT 21A,Quarry Center Drive;CR 27,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-35W/Exit%2021A/49175,45.001078,-93.220982,http://maps.google.com/maps?t=m&q=loc:45.001078+-93.220982,Southbound
