state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Minnesota,I-494,37999,Exit 26,EXIT 26,County 10 (Bass Lake Road),"Osseo, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2026/37999,45.071159,-93.44631,http://maps.google.com/maps?t=m&q=loc:45.071159+-93.44631,Eastbound
Minnesota,I-494,38000,Exit 23,EXIT 23,County 9 (Rockford Road),"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2023/38000,45.032199,-93.452639,http://maps.google.com/maps?t=m&q=loc:45.032199+-93.452639,Eastbound
Minnesota,I-494,38001,Exit 22,EXIT 22,MN 55,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2022/38001,45.014858,-93.457146,http://maps.google.com/maps?t=m&q=loc:45.014858+-93.457146,Eastbound
Minnesota,I-494,38002,Exit 21,EXIT 21,County 6,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2021/38002,45.000546,-93.457709,http://maps.google.com/maps?t=m&q=loc:45.000546+-93.457709,Eastbound
Minnesota,I-494,38003,Exit 20,EXIT 20,Carlson Parkway,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2020/38003,44.988985,-93.459556,http://maps.google.com/maps?t=m&q=loc:44.988985+-93.459556,Eastbound
Minnesota,I-494,38004,Exit 19B,EXIT 19B,I-394 west / US 12 – Wayzata,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2019B/38004,44.975737,-93.460335,http://maps.google.com/maps?t=m&q=loc:44.975737+-93.460335,Eastbound
Minnesota,I-494,38006,Exit 17,EXIT 17,Minnetonka Boulevard,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2017/38006,44.944728,-93.456742,http://maps.google.com/maps?t=m&q=loc:44.944728+-93.456742,Eastbound
Minnesota,I-494,38007,Exit 16B,EXIT 16B,MN 7 west,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2016B/38007,44.929876,-93.452848,http://maps.google.com/maps?t=m&q=loc:44.929876+-93.452848,Eastbound
Minnesota,I-494,38008,Exit 16A,EXIT 16A,MN 7 east,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2016A/38008,44.924679,-93.451689,http://maps.google.com/maps?t=m&q=loc:44.924679+-93.451689,Eastbound
Minnesota,I-494,38009,Exit 13,EXIT 13,MN 62 / County 62,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2013/38009,44.896263,-93.444701,http://maps.google.com/maps?t=m&q=loc:44.896263+-93.444701,Eastbound
Minnesota,I-494,38010,Exit 12,EXIT 12,County 39 (Valley View Road),"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2012/38010,44.873938,-93.435161,http://maps.google.com/maps?t=m&q=loc:44.873938+-93.435161,Eastbound
Minnesota,I-494,38011,"Exit 11C,B","EXIT 11C,B",US 212 west / MN 5 west; US 212 east,"Minneapolis, Minnesota","https://www.iexitapp.com/Minnesota/I-494/Exit%2011C,B/38011",44.868945,-93.432766,http://maps.google.com/maps?t=m&q=loc:44.868945+-93.432766,Eastbound
Minnesota,I-494,38012,Exit 10B&amp;amp;A,EXIT 10B&amp;A,US 169 south; US 169 north,"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%2010B&amp;A/38012,44.859164,-93.408878,http://maps.google.com/maps?t=m&q=loc:44.859164+-93.408878,Eastbound
Minnesota,I-494,38013,"Exit 10B,A","EXIT 10B,A",Washington Avenue; US 169 south,"Minneapolis, Minnesota","https://www.iexitapp.com/Minnesota/I-494/Exit%2010B,A/38013",44.859212,-93.405009,http://maps.google.com/maps?t=m&q=loc:44.859212+-93.405009,Eastbound
Minnesota,I-494,38014,Exit 8,EXIT 8,County 28 (East Bush Lake Road),"Minneapolis, Minnesota",https://www.iexitapp.com/Minnesota/I-494/Exit%208/38014,44.859747,-93.36657,http://maps.google.com/maps?t=m&q=loc:44.859747+-93.36657,Eastbound
Minnesota,I-494,38015,"Exit 7B,A","EXIT 7B,A",County 34 (Normandale Boulevard); MN 100,"Minneapolis, Minnesota","https://www.iexitapp.com/Minnesota/I-494/Exit%207B,A/38015",44.859035,-93.355448,http://maps.google.com/maps?t=m&q=loc:44.859035+-93.355448,Eastbound
