state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Minnesota,I-94,29862,Exit 1A,EXIT 1A,US-75; Moorhead; Breckenridge,"Moorhead, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%201A/29862,46.84692,-96.774241,http://maps.google.com/maps?t=m&q=loc:46.84692+-96.774241,Eastbound
Minnesota,I-94,29863,Exit 1B,EXIT 1B,20th St,"Moorhead, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%201B/29863,46.847022,-96.753769,http://maps.google.com/maps?t=m&q=loc:46.847022+-96.753769,Eastbound
Minnesota,I-94,29864,Moorhead Welcome Center,WELCOME CENTER,"Moorhead Welcome Center
          (MM: 2.0)","Moorhead, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Welcome%20Center/29864,46.84707,-96.7451,http://maps.google.com/maps?t=m&q=loc:46.84707+-96.7451,Eastbound
Minnesota,I-94,29865,CR 52,EXIT,CR 52,"Moorhead, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%20/29865,46.847084,-96.729329,http://maps.google.com/maps?t=m&q=loc:46.847084+-96.729329,Eastbound
Minnesota,I-94,29866,Exit 2,EXIT 2,34th Street,"Moorhead, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%202/29866,46.847136,-96.720268,http://maps.google.com/maps?t=m&q=loc:46.847136+-96.720268,Eastbound
Minnesota,I-94,29867,Weigh Station,WEIGH STATION,Weigh Station,"Glyndon, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Weigh%20Station/29867,46.847084,-96.687217,http://maps.google.com/maps?t=m&q=loc:46.847084+-96.687217,Eastbound
Minnesota,I-94,29868,Exit 6,EXIT 6,MN-336 N,"Glyndon, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%206/29868,46.846048,-96.652533,http://maps.google.com/maps?t=m&q=loc:46.846048+-96.652533,Eastbound
Minnesota,I-94,29869,Exit 15,EXIT 15,County Hwy 10; Downer,"Glyndon, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%2015/29869,46.758639,-96.522028,http://maps.google.com/maps?t=m&q=loc:46.758639+-96.522028,Eastbound
Minnesota,I-94,29870,Exit 22,EXIT 22,MN-9; Barnesville,"Barnesville, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%2022/29870,46.679605,-96.426715,http://maps.google.com/maps?t=m&q=loc:46.679605+-96.426715,Eastbound
Minnesota,I-94,29871,Exit 24,EXIT 24,MN-34; Detroit Lakes,"Barnesville, Minnesota",https://www.iexitapp.com/Minnesota/I-94/Exit%2024/29871,46.662984,-96.397809,http://maps.google.com/maps?t=m&q=loc:46.662984+-96.397809,Eastbound
