state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Mississippi,I-22,52067,Mississippi Welcome Center,WELCOME CENTER,Mississippi Welcome Center,"Tremont, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Welcome%20Center/52067,34.219938,-88.228954,http://maps.google.com/maps?t=m&q=loc:34.219938+-88.228954,Westbound
Mississippi,I-22,12374,Exit 113,EXIT 113,MS-23; Tremont; Smithville,"Tremont, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%20113/12374,34.220333,-88.254333,http://maps.google.com/maps?t=m&q=loc:34.220333+-88.254333,Westbound
Mississippi,I-22,12375,Exit 108,EXIT 108,Mississippi 25; Luka; Belmont,"Fulton, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%20108/12375,34.235362,-88.333846,http://maps.google.com/maps?t=m&q=loc:34.235362+-88.333846,Westbound
Mississippi,I-22,12376,Weigh Station,WEIGH STATION,Weigh Station,"Fulton, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Weigh%20Station/12376,34.245983,-88.376144,http://maps.google.com/maps?t=m&q=loc:34.245983+-88.376144,Westbound
Mississippi,I-22,12377,Exit 104,EXIT 104,MS-25 S; Fulton; Amory,"Fulton, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%20104/12377,34.244067,-88.396335,http://maps.google.com/maps?t=m&q=loc:34.244067+-88.396335,Westbound
Mississippi,I-22,12378,Exit 101,EXIT 101,MS-178; MS-363; Peppertown; Mantachie,"Fulton, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%20101/12378,34.251826,-88.458074,http://maps.google.com/maps?t=m&q=loc:34.251826+-88.458074,Westbound
Mississippi,I-22,52068,Exit 94,EXIT 94,MS-371; Mantachie; Mooreville,"Mooreville, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2094/52068,34.276838,-88.565632,http://maps.google.com/maps?t=m&q=loc:34.276838+-88.565632,Westbound
Mississippi,I-22,12381,Exit 90,EXIT 90,Auburn Road,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2090/12381,34.275962,-88.634626,http://maps.google.com/maps?t=m&q=loc:34.275962+-88.634626,Westbound
Mississippi,I-22,12382,Exit 87,EXIT 87,Veterans Blvd,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2087/12382,34.284919,-88.673463,http://maps.google.com/maps?t=m&q=loc:34.284919+-88.673463,Westbound
Mississippi,I-22,12383,Exit 86B,EXIT 86B,US 45,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2086B/12383,34.293742,-88.697913,http://maps.google.com/maps?t=m&q=loc:34.293742+-88.697913,Westbound
Mississippi,I-22,52070,Exit 86A,EXIT 86A,US 45,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2086A/52070,34.295321,-88.7033,http://maps.google.com/maps?t=m&q=loc:34.295321+-88.7033,Westbound
Mississippi,I-22,12384,Exit 85,EXIT 85,Natchez Trace Pkwy,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2085/12384,34.298682,-88.718637,http://maps.google.com/maps?t=m&q=loc:34.298682+-88.718637,Westbound
Mississippi,I-22,52072,Exit 82,EXIT 82,W Barnes Crossing Rd,"Tupelo, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2082/52072,34.305577,-88.765203,http://maps.google.com/maps?t=m&q=loc:34.305577+-88.765203,Westbound
Mississippi,I-22,12385,Exit 81,EXIT 81,MS-178 W; McCullough Blvd; W Tupelo,"Belden, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2081/12385,34.313883,-88.783533,http://maps.google.com/maps?t=m&q=loc:34.313883+-88.783533,Westbound
Mississippi,I-22,12386,Exit 76,EXIT 76,MS-9 S; Sherman; Pontotoc,"Ecru, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2076/12386,34.351234,-88.837757,http://maps.google.com/maps?t=m&q=loc:34.351234+-88.837757,Westbound
Mississippi,I-22,52073,Exit 73,EXIT 73,Mississippi 9 N; Blue Springs,"Blue Springs, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2073/52073,34.379743,-88.881642,http://maps.google.com/maps?t=m&q=loc:34.379743+-88.881642,Westbound
Mississippi,I-22,12388,Exit 73B,EXIT 73B,Mississippi 9 N; Blue Springs,"Blue Springs, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2073B/12388,34.387398,-88.891491,http://maps.google.com/maps?t=m&q=loc:34.387398+-88.891491,Westbound
Mississippi,I-22,12389,Exit 64,EXIT 64,MS 15;MS 30,"New Albany, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2064/12389,34.46797,-89.003162,http://maps.google.com/maps?t=m&q=loc:34.46797+-89.003162,Westbound
Mississippi,I-22,12390,Exit 63,EXIT 63,Downtown; New Albany,"New Albany, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2063/12390,34.479095,-89.013794,http://maps.google.com/maps?t=m&q=loc:34.479095+-89.013794,Westbound
Mississippi,I-22,12391,Exit 61,EXIT 61,MS-30 W; W New Albany; Oxford,"New Albany, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2061/12391,34.494258,-89.029689,http://maps.google.com/maps?t=m&q=loc:34.494258+-89.029689,Westbound
Mississippi,I-22,12392,Exit 60,EXIT 60,Glenfield,"New Albany, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2060/12392,34.506286,-89.038467,http://maps.google.com/maps?t=m&q=loc:34.506286+-89.038467,Westbound
Mississippi,I-22,12393,Exit 55,EXIT 55,Willow Dr,"Myrtle, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2055/12393,34.548351,-89.120894,http://maps.google.com/maps?t=m&q=loc:34.548351+-89.120894,Westbound
Mississippi,I-22,12394,Exit 48,EXIT 48,MS-178; Hickory Flat,"Hickory Flat, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2048/12394,34.61476,-89.199693,http://maps.google.com/maps?t=m&q=loc:34.61476+-89.199693,Westbound
Mississippi,I-22,12395,Exit 41,EXIT 41,Potts Camp,"Potts Camp, Mississippi",https://www.iexitapp.com/Mississippi/I-22/Exit%2041/12395,34.651152,-89.300608,http://maps.google.com/maps?t=m&q=loc:34.651152+-89.300608,Westbound
