state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Missouri,I-35,3863,Exit 114,EXIT 114,US 69;East 100th Street,"Eagleville, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%20114/3863,40.574227,-93.93869,http://maps.google.com/maps?t=m&q=loc:40.574227+-93.93869,Southbound
Missouri,I-35,3864,Eagleville Welcome Center,REST AREA,Eagleville Welcome Center,"Eagleville, Missouri",https://www.iexitapp.com/Missouri/I-35/Rest%20Area/3864,40.553174,-93.952555,http://maps.google.com/maps?t=m&q=loc:40.553174+-93.952555,Southbound
Missouri,I-35,3865,Weigh Station,WEIGH STATION,Weigh Station,"Eagleville, Missouri",https://www.iexitapp.com/Missouri/I-35/Weigh%20Station/3865,40.524381,-93.960734,http://maps.google.com/maps?t=m&q=loc:40.524381+-93.960734,Southbound
Missouri,I-35,3866,Exit 106,EXIT 106,Missouri N; Blythedale; Eagleville,"Eagleville, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%20106/3866,40.469673,-93.976215,http://maps.google.com/maps?t=m&q=loc:40.469673+-93.976215,Southbound
Missouri,I-35,3867,Exit 99,EXIT 99,Missouri A; Ridgeway,"Ridgeway, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2099/3867,40.376936,-94.002498,http://maps.google.com/maps?t=m&q=loc:40.376936+-94.002498,Southbound
Missouri,I-35,3868,Exit 93,EXIT 93,US-69 Spur; Bethany,"Bethany, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2093/3868,40.283426,-94.012527,http://maps.google.com/maps?t=m&q=loc:40.283426+-94.012527,Southbound
Missouri,I-35,3869,Exit 92,EXIT 92,US-136; Bethany; Princeton,"Bethany, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2092/3869,40.268041,-94.012864,http://maps.google.com/maps?t=m&q=loc:40.268041+-94.012864,Southbound
Missouri,I-35,3870,Exit 88,EXIT 88,MO-13; Gallatin; Bethany,"Bethany, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2088/3870,40.214153,-94.013514,http://maps.google.com/maps?t=m&q=loc:40.214153+-94.013514,Southbound
Missouri,I-35,3871,Exit 84,EXIT 84,Missouri Aa; Missouri H; Gilman City,"Bethany, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2084/3871,40.15759,-94.031271,http://maps.google.com/maps?t=m&q=loc:40.15759+-94.031271,Southbound
Missouri,I-35,3872,Parking Area,PARKING AREA,Parking Area,"Coffey, Missouri",https://www.iexitapp.com/Missouri/I-35/Parking%20Area/3872,40.118076,-94.060557,http://maps.google.com/maps?t=m&q=loc:40.118076+-94.060557,Southbound
Missouri,I-35,3873,Exit 80,EXIT 80,Missouri B; Missouri N; Coffey,"Coffey, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2080/3873,40.107078,-94.069453,http://maps.google.com/maps?t=m&q=loc:40.107078+-94.069453,Southbound
Missouri,I-35,3874,Exit 78,EXIT 78,Missouri C; Pattonsburg,"Coffey, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2078/3874,40.079124,-94.093457,http://maps.google.com/maps?t=m&q=loc:40.079124+-94.093457,Southbound
Missouri,I-35,3875,Exit 72,EXIT 72,Missouri DD,"Pattonsburg, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2072/3875,40.000158,-94.096157,http://maps.google.com/maps?t=m&q=loc:40.000158+-94.096157,Southbound
Missouri,I-35,3876,Exit 68,EXIT 68,US-69,"Altamont, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2068/3876,39.947533,-94.114597,http://maps.google.com/maps?t=m&q=loc:39.947533+-94.114597,Southbound
Missouri,I-35,3877,Exit 64,EXIT 64,MO-6; Gallatin; Maysville,"Altamont, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2064/3877,39.9021,-94.150333,http://maps.google.com/maps?t=m&q=loc:39.9021+-94.150333,Southbound
Missouri,I-35,3878,Exit 61,EXIT 61,US-69; Jamesport; Winston,"Winston, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2061/3878,39.856699,-94.175578,http://maps.google.com/maps?t=m&q=loc:39.856699+-94.175578,Southbound
Missouri,I-35,3879,Exit 54,EXIT 54,US-36; I-35 S; Hamilton; Cameron,"Cameron, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2054/3879,39.756783,-94.219776,http://maps.google.com/maps?t=m&q=loc:39.756783+-94.219776,Southbound
Missouri,I-35,3880,Exit 52,EXIT 52,Missouri BB; I-35 BUS; Cameron,"Cameron, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2052/3880,39.735017,-94.220564,http://maps.google.com/maps?t=m&q=loc:39.735017+-94.220564,Southbound
Missouri,I-35,3881,Exit 48,EXIT 48,US-69; Lawson; Cameron,"Cameron, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2048/3881,39.672073,-94.234797,http://maps.google.com/maps?t=m&q=loc:39.672073+-94.234797,Southbound
Missouri,I-35,3882,Exit 40,EXIT 40,MO-116; Polo; Lathrop,"Lathrop, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2040/3882,39.555495,-94.268532,http://maps.google.com/maps?t=m&q=loc:39.555495+-94.268532,Southbound
Missouri,I-35,3883,Temporarily Closed - Rest Area,REST AREA,Temporarily Closed - Rest Area,"Lathrop, Missouri",https://www.iexitapp.com/Missouri/I-35/Rest%20Area/3883,39.485304,-94.304982,http://maps.google.com/maps?t=m&q=loc:39.485304+-94.304982,Southbound
Missouri,I-35,3884,Exit 33,EXIT 33,Missouri PP; Lawson; Holt,"Holt, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2033/3884,39.462786,-94.31921,http://maps.google.com/maps?t=m&q=loc:39.462786+-94.31921,Southbound
Missouri,I-35,3885,Exit 26,EXIT 26,MO-92; Kearney; Excelsior; Springs,"Kearney, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2026/3885,39.370216,-94.371219,http://maps.google.com/maps?t=m&q=loc:39.370216+-94.371219,Southbound
Missouri,I-35,3886,Parking Area,PARKING AREA,Parking Area,"Kearney, Missouri",https://www.iexitapp.com/Missouri/I-35/Parking%20Area/3886,39.321082,-94.397618,http://maps.google.com/maps?t=m&q=loc:39.321082+-94.397618,Southbound
Missouri,I-35,3887,Exit 20,EXIT 20,US-69; MO-33; Excelsior; Springs,"Liberty, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2020/3887,39.292113,-94.413164,http://maps.google.com/maps?t=m&q=loc:39.292113+-94.413164,Southbound
Missouri,I-35,3888,Exit 17,EXIT 17,MO-291 S; Liberty,"Liberty, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2017/3888,39.267214,-94.442969,http://maps.google.com/maps?t=m&q=loc:39.267214+-94.442969,Southbound
Missouri,I-35,3889,Exit 16,EXIT 16,Liberty,"Liberty, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2016/3889,39.247061,-94.454448,http://maps.google.com/maps?t=m&q=loc:39.247061+-94.454448,Southbound
Missouri,I-35,3890,Exit 14,EXIT 14,US-69; Pleasant Valley; Claycomo,"Liberty, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2014/3890,39.220109,-94.472936,http://maps.google.com/maps?t=m&q=loc:39.220109+-94.472936,Southbound
Missouri,I-35,3892,Exit 11,EXIT 11,U.S. 69; Vivion Road,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%2011/3892,39.187521,-94.516924,http://maps.google.com/maps?t=m&q=loc:39.187521+-94.516924,Southbound
Missouri,I-35,3893,Exit 9,EXIT 9,Route 1 S; Chouteau Trfwy,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%209/3893,39.175445,-94.53402,http://maps.google.com/maps?t=m&q=loc:39.175445+-94.53402,Southbound
Missouri,I-35,3894,Exit 8C,EXIT 8C,MO-1; Antioch Rd,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%208C/3894,39.173116,-94.545637,http://maps.google.com/maps?t=m&q=loc:39.173116+-94.545637,Southbound
Missouri,I-35,57586,Exit 8A,EXIT 8A,Parvin Rd,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%208A/57586,39.166065,-94.559193,http://maps.google.com/maps?t=m&q=loc:39.166065+-94.559193,Southbound
Missouri,I-35,3897,Exit 6,EXIT 6,Missouri 210; Armour Road,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%206/3897,39.14848,-94.559828,http://maps.google.com/maps?t=m&q=loc:39.14848+-94.559828,Southbound
Missouri,I-35,3898,Exit 5,EXIT 5,Levee Road,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%205/3898,39.130353,-94.568078,http://maps.google.com/maps?t=m&q=loc:39.130353+-94.568078,Southbound
Missouri,I-35,3899,Exit 4B,EXIT 4B,Front Street; Grand Boulevard,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%204B/3899,39.121445,-94.565085,http://maps.google.com/maps?t=m&q=loc:39.121445+-94.565085,Southbound
Missouri,I-35,3900,Exit 4A,EXIT 4A,The Paseo; US 24,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%204A/3900,39.112022,-94.56486,http://maps.google.com/maps?t=m&q=loc:39.112022+-94.56486,Southbound
Missouri,I-35,3902,Exit 2F,EXIT 2F,"MO 9
          (MM: 2.0)","Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202F/3902,39.106637,-94.574737,http://maps.google.com/maps?t=m&q=loc:39.106637+-94.574737,Southbound
Missouri,I-35,49477,Exit 2F,EXIT 2F,Walnut St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202F/49477,39.106637,-94.574737,http://maps.google.com/maps?t=m&q=loc:39.106637+-94.574737,Southbound
Missouri,I-35,57587,Exit 2D,EXIT 2D,Main-Delaware; Wyandotte St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202D/57587,39.10682,-94.581576,http://maps.google.com/maps?t=m&q=loc:39.10682+-94.581576,Southbound
Missouri,I-35,3904,Exit 2C,EXIT 2C,US-169 N; Broadway,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202C/3904,39.106959,-94.585573,http://maps.google.com/maps?t=m&q=loc:39.106959+-94.585573,Southbound
Missouri,I-35,3905,Exit 2A,EXIT 2A,"I 70;US 24;US 40
          (MM: 2.0)","Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202A/3905,39.107025,-94.58784,http://maps.google.com/maps?t=m&q=loc:39.107025+-94.58784,Southbound
Missouri,I-35,3906,Exit 2W,EXIT 2W,12th St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202W/3906,39.102495,-94.5939,http://maps.google.com/maps?t=m&q=loc:39.102495+-94.5939,Southbound
Missouri,I-35,3907,Exit 2U,EXIT 2U,"I 670
          (MM: 2.0)","Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%202U/3907,39.098169,-94.592689,http://maps.google.com/maps?t=m&q=loc:39.098169+-94.592689,Southbound
Missouri,I-35,49482,Exit 1D,EXIT 1D,20th St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%201D/49482,39.092509,-94.590995,http://maps.google.com/maps?t=m&q=loc:39.092509+-94.590995,Southbound
Missouri,I-35,3909,Exit 1B,EXIT 1B,27th St; Broadway,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-35/Exit%201B/3909,39.081619,-94.593573,http://maps.google.com/maps?t=m&q=loc:39.081619+-94.593573,Southbound
