state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Missouri,I-70,51404,Exit 2B,EXIT 2B,Beardsley Road,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202B/51404,39.106897,-94.59385,http://maps.google.com/maps?t=m&q=loc:39.106897+-94.59385,Eastbound
Missouri,I-70,8383,Exit 2C,EXIT 2C,US-169 N; W 6th St; Broadway; Downtown,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202C/8383,39.106835,-94.591957,http://maps.google.com/maps?t=m&q=loc:39.106835+-94.591957,Eastbound
Missouri,I-70,8384,Exit 2D,EXIT 2D,Main St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202D/8384,39.10679,-94.585136,http://maps.google.com/maps?t=m&q=loc:39.10679+-94.585136,Eastbound
Missouri,I-70,8385,Exit 2E,EXIT 2E,Oak St; MO-9 N,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202E/8385,39.106672,-94.58094,http://maps.google.com/maps?t=m&q=loc:39.106672+-94.58094,Eastbound
Missouri,I-70,8386,Exit 2H,EXIT 2H,U.S. 24 E,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202H/8386,39.106372,-94.573479,http://maps.google.com/maps?t=m&q=loc:39.106372+-94.573479,Eastbound
Missouri,I-70,8387,Exit 2J,EXIT 2J,11th St,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202J/8387,39.102784,-94.572595,http://maps.google.com/maps?t=m&q=loc:39.102784+-94.572595,Eastbound
Missouri,I-70,8388,Exit 2L;2M,EXIT 2L;2M,"US 71
          (MM: 2.0)","Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%202L;2M/8388,39.099367,-94.572752,http://maps.google.com/maps?t=m&q=loc:39.099367+-94.572752,Eastbound
Missouri,I-70,8390,Exit 3B,EXIT 3B,Brooklyn Ave,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%203B/8390,39.095898,-94.559786,http://maps.google.com/maps?t=m&q=loc:39.095898+-94.559786,Eastbound
Missouri,I-70,8391,Exit 3C,EXIT 3C,Prospect Ave,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%203C/8391,39.09578,-94.555194,http://maps.google.com/maps?t=m&q=loc:39.09578+-94.555194,Eastbound
Missouri,I-70,8392,Exit 4A,EXIT 4A,Benton Blvd; Truman Rd,"Kansas City, Missouri",https://www.iexitapp.com/Missouri/I-70/Exit%204A/8392,39.094739,-94.54406,http://maps.google.com/maps?t=m&q=loc:39.094739+-94.54406,Eastbound
