state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Montana,I-90,6331,Dena Mora Rest Area,REST AREA,"Dena Mora Rest Area
          (MM: 5.0)","St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Rest%20Area/6331,47.421665,-115.632591,http://maps.google.com/maps?t=m&q=loc:47.421665+-115.632591,Eastbound
Montana,I-90,6334,Weigh Station,WEIGH STATION,Weigh Station,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Weigh%20Station/6334,47.394393,-115.431398,http://maps.google.com/maps?t=m&q=loc:47.394393+-115.431398,Eastbound
Montana,I-90,6335,Exit 16,EXIT 16,Haugan,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2016/6335,47.387975,-115.40493,http://maps.google.com/maps?t=m&q=loc:47.387975+-115.40493,Eastbound
Montana,I-90,6336,Exit 18,EXIT 18,De Borgia,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2018/6336,47.377783,-115.354197,http://maps.google.com/maps?t=m&q=loc:47.377783+-115.354197,Eastbound
Montana,I-90,6337,Exit 22,EXIT 22,Henderson,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2022/6337,47.356137,-115.29842,http://maps.google.com/maps?t=m&q=loc:47.356137+-115.29842,Eastbound
Montana,I-90,6341,Exit 33,EXIT 33,MT-135; St Regis,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2033/6341,47.298519,-115.104919,http://maps.google.com/maps?t=m&q=loc:47.298519+-115.104919,Eastbound
Montana,I-90,6342,Exit 37,EXIT 37,Sloway Road,"St Regis, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2037/6342,47.259166,-115.053831,http://maps.google.com/maps?t=m&q=loc:47.259166+-115.053831,Eastbound
Montana,I-90,6343,Exit 43,EXIT 43,Dry Creek Rd,"Superior, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2043/6343,47.228097,-114.974297,http://maps.google.com/maps?t=m&q=loc:47.228097+-114.974297,Eastbound
Montana,I-90,6344,Exit 47,EXIT 47,State Route 257; Superior,"Superior, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2047/6344,47.193066,-114.895583,http://maps.google.com/maps?t=m&q=loc:47.193066+-114.895583,Eastbound
Montana,I-90,6345,Exit 55,EXIT 55,Lozeau; Quartz,"Superior, Montana",https://www.iexitapp.com/Montana/I-90/Exit%2055/6345,47.110843,-114.786957,http://maps.google.com/maps?t=m&q=loc:47.110843+-114.786957,Eastbound
Montana,I-90,6346,Quartz Flats Rest Area,REST AREA,"Quartz Flats Rest Area
          (MM: 58.0)","Superior, Montana",https://www.iexitapp.com/Montana/I-90/Rest%20Area/6346,47.079118,-114.768747,http://maps.google.com/maps?t=m&q=loc:47.079118+-114.768747,Eastbound
