state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Montana,I-94,29715,Exit 6,EXIT 6,MT-522; Huntley,"Huntley, Montana",https://www.iexitapp.com/Montana/I-94/Exit%206/29715,45.882224,-108.312824,http://maps.google.com/maps?t=m&q=loc:45.882224+-108.312824,Eastbound
Montana,I-94,29716,Exit 14,EXIT 14,Ballantine; Worden,"Huntley, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2014/29716,45.93753,-108.153688,http://maps.google.com/maps?t=m&q=loc:45.93753+-108.153688,Eastbound
Montana,I-94,29717,Exit 23,EXIT 23,Pompeys Pillar,"Pompeys Pillar, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2023/29717,45.985129,-107.994625,http://maps.google.com/maps?t=m&q=loc:45.985129+-107.994625,Eastbound
Montana,I-94,29718,Exit 36,EXIT 36,Reed Creek Road,"Custer, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2036/29718,46.051939,-107.756825,http://maps.google.com/maps?t=m&q=loc:46.051939+-107.756825,Eastbound
Montana,I-94,29719,Custer Rest Area,REST AREA,"Custer Rest Area
          (MM: 38.0)","Custer, Montana",https://www.iexitapp.com/Montana/I-94/Rest%20Area/29719,46.063064,-107.714788,http://maps.google.com/maps?t=m&q=loc:46.063064+-107.714788,Eastbound
Montana,I-94,29720,Exit 47,EXIT 47,5th Street;MT 310,"Custer, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2047/29720,46.128983,-107.560379,http://maps.google.com/maps?t=m&q=loc:46.128983+-107.560379,Eastbound
Montana,I-94,29721,Exit 49,EXIT 49,MT 47,"Custer, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2049/29721,46.137831,-107.512278,http://maps.google.com/maps?t=m&q=loc:46.137831+-107.512278,Eastbound
Montana,I-94,29722,Exit 53,EXIT 53,Exit,"Bighorn, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2053/29722,46.148826,-107.450352,http://maps.google.com/maps?t=m&q=loc:46.148826+-107.450352,Eastbound
Montana,I-94,29724,Hysham Rest Area,REST AREA,"Hysham Rest Area
          (MM: 65.0)","Bighorn, Montana",https://www.iexitapp.com/Montana/I-94/Rest%20Area/29724,46.215469,-107.251828,http://maps.google.com/maps?t=m&q=loc:46.215469+-107.251828,Eastbound
Montana,I-94,29725,Exit 67,EXIT 67,Hysham,"Bighorn, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2067/29725,46.257017,-107.22738,http://maps.google.com/maps?t=m&q=loc:46.257017+-107.22738,Eastbound
Montana,I-94,29726,Exit 72,EXIT 72,Sarpy Cr Rd; MT-384,"Bighorn, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2072/29726,46.263154,-107.143985,http://maps.google.com/maps?t=m&q=loc:46.263154+-107.143985,Eastbound
Montana,I-94,29727,Exit 82,EXIT 82,Reservation Creek Rd,"Forsyth, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2082/29727,46.260597,-106.931553,http://maps.google.com/maps?t=m&q=loc:46.260597+-106.931553,Eastbound
Montana,I-94,29728,Exit 87,EXIT 87,MT-39,"Forsyth, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2087/29728,46.250105,-106.82138,http://maps.google.com/maps?t=m&q=loc:46.250105+-106.82138,Eastbound
Montana,I-94,29729,Exit 93,EXIT 93,US-12 W; Forsyth,"Forsyth, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2093/29729,46.255487,-106.698509,http://maps.google.com/maps?t=m&q=loc:46.255487+-106.698509,Eastbound
Montana,I-94,29730,Exit 95,EXIT 95,Forsyth,"Forsyth, Montana",https://www.iexitapp.com/Montana/I-94/Exit%2095/29730,46.266066,-106.670247,http://maps.google.com/maps?t=m&q=loc:46.266066+-106.670247,Eastbound
Montana,I-94,29731,Weigh Station,WEIGH STATION,Weigh Station,"Forsyth, Montana",https://www.iexitapp.com/Montana/I-94/Weigh%20Station/29731,46.266247,-106.600343,http://maps.google.com/maps?t=m&q=loc:46.266247+-106.600343,Eastbound
Montana,I-94,29732,Exit 103,EXIT 103,Montana 447; Rosebud; Montana 446,"Rosebud, Montana",https://www.iexitapp.com/Montana/I-94/Exit%20103/29732,46.266528,-106.489011,http://maps.google.com/maps?t=m&q=loc:46.266528+-106.489011,Eastbound
Montana,I-94,29733,Exit 106,EXIT 106,Butte Creek Rd; Rosebud,"Rosebud, Montana",https://www.iexitapp.com/Montana/I-94/Exit%20106/29733,46.267405,-106.428799,http://maps.google.com/maps?t=m&q=loc:46.267405+-106.428799,Eastbound
Montana,I-94,29734,Hathaway Rest Area,REST AREA,"Hathaway Rest Area
          (MM: 112.0)","Hathaway, Montana",https://www.iexitapp.com/Montana/I-94/Rest%20Area/29734,46.263703,-106.286084,http://maps.google.com/maps?t=m&q=loc:46.263703+-106.286084,Eastbound
Montana,I-94,29735,Exit 117,EXIT 117,Hathaway,"Hathaway, Montana",https://www.iexitapp.com/Montana/I-94/Exit%20117/29735,46.273792,-106.20361,http://maps.google.com/maps?t=m&q=loc:46.273792+-106.20361,Eastbound
Montana,I-94,29736,Exit 126,EXIT 126,Exit,"Miles City, Montana",https://www.iexitapp.com/Montana/I-94/Exit%20126/29736,46.310434,-106.043072,http://maps.google.com/maps?t=m&q=loc:46.310434+-106.043072,Eastbound
Montana,I-94,29737,Exit 128,EXIT 128,Exit,"Miles City, Montana",https://www.iexitapp.com/Montana/I-94/Exit%20128/29737,46.319548,-105.98842,http://maps.google.com/maps?t=m&q=loc:46.319548+-105.98842,Eastbound
