state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Nebraska,I-480,36399,Exit 1A,EXIT 1A,Martha Street,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%201A/36399,41.235978,-95.953816,http://maps.google.com/maps?t=m&q=loc:41.235978+-95.953816,Eastbound
Nebraska,I-480,36400,Exit 1B,EXIT 1B,Leavenworth Street,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%201B/36400,41.249283,-95.953686,http://maps.google.com/maps?t=m&q=loc:41.249283+-95.953686,Eastbound
Nebraska,I-480,36401,Exit 2A,EXIT 2A,"Harney Street, Dodge Street","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%202A/36401,41.253204,-95.953695,http://maps.google.com/maps?t=m&q=loc:41.253204+-95.953695,Eastbound
Nebraska,I-480,36402,Exit 2C,EXIT 2C,"US 75 north (North Freeway) – Creighton University, Event Ctr-Ballpark, Eppley Airfield","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%202C/36402,41.257657,-95.953752,http://maps.google.com/maps?t=m&q=loc:41.257657+-95.953752,Eastbound
Nebraska,I-480,36403,Exit 2D,EXIT 2D,"Capitol Avenue, 20th Street – Omaha Civic Auditorium","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%202D/36403,41.26307,-95.944336,http://maps.google.com/maps?t=m&q=loc:41.26307+-95.944336,Eastbound
Nebraska,I-480,36404,Exit 3A,EXIT 3A,"14th Street - Qwest Center Omaha, Old Market District, Creighton University","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%203A/36404,41.262966,-95.938763,http://maps.google.com/maps?t=m&q=loc:41.262966+-95.938763,Eastbound
Nebraska,I-480,36412,Exit 4,EXIT 4,"US 6 west (Dodge Street) CenturyLink Center Omaha, TD Ameritrade Park, Eppley Airfield, Carter Lake, Iowa","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%204/36412,41.259645,-95.92271,http://maps.google.com/maps?t=m&q=loc:41.259645+-95.92271,Westbound
Nebraska,I-480,36413,Exit 3,EXIT 3,"14th Street - Qwest Center Omaha, Old Market District, Creighton University","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%203/36413,41.26226,-95.930488,http://maps.google.com/maps?t=m&q=loc:41.26226+-95.930488,Westbound
Nebraska,I-480,36414,Exit 2C,EXIT 2C,"US 75 north (North Freeway) – Creighton University, Event Ctr-Ballpark, Eppley Airfield","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%202C/36414,41.263435,-95.947862,http://maps.google.com/maps?t=m&q=loc:41.263435+-95.947862,Westbound
Nebraska,I-480,36415,Exit 2B,EXIT 2B,"30th Street, Dodge Street","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%202B/36415,41.263463,-95.949709,http://maps.google.com/maps?t=m&q=loc:41.263463+-95.949709,Westbound
Nebraska,I-480,36417,Exit 1A,EXIT 1A,Martha Street,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%201A/36417,41.242821,-95.953835,http://maps.google.com/maps?t=m&q=loc:41.242821+-95.953835,Westbound
Nebraska,I-480,36419,24th Street,EXIT,24th Street,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-480/Exit%20/36419,41.226443,-95.953244,http://maps.google.com/maps?t=m&q=loc:41.226443+-95.953244,Westbound
