state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Nebraska,I-80,39741,Exit 454,EXIT 454,13th St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20454/39741,41.230741,-95.92517,http://maps.google.com/maps?t=m&q=loc:41.230741+-95.92517,Westbound
Nebraska,I-80,52681,Exit 452,EXIT 452,"I 480;US 75;US 75
          (MM: 452.0)","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20452/52681,41.226898,-95.940845,http://maps.google.com/maps?t=m&q=loc:41.226898+-95.940845,Westbound
Nebraska,I-80,52682,Exit 452,EXIT 452,US-75 S; Bellevue,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20452/52682,41.226451,-95.948904,http://maps.google.com/maps?t=m&q=loc:41.226451+-95.948904,Westbound
Nebraska,I-80,39743,Exit 451,EXIT 451,42nd St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20451/39743,41.225907,-95.968575,http://maps.google.com/maps?t=m&q=loc:41.225907+-95.968575,Westbound
Nebraska,I-80,39744,Exit 450,EXIT 450,60th St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20450/39744,41.223048,-95.995827,http://maps.google.com/maps?t=m&q=loc:41.223048+-95.995827,Westbound
Nebraska,I-80,39745,Exit 449,EXIT 449,S 72nd St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20449/39745,41.223885,-96.017349,http://maps.google.com/maps?t=m&q=loc:41.223885+-96.017349,Westbound
Nebraska,I-80,39746,Exit 448,EXIT 448,84th Street,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20448/39746,41.223985,-96.035925,http://maps.google.com/maps?t=m&q=loc:41.223985+-96.035925,Westbound
Nebraska,I-80,52684,Exit 445,EXIT 445,US-275; NE-92; W Center Rd; I-L-Q Sts,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52684,41.231813,-96.086535,http://maps.google.com/maps?t=m&q=loc:41.231813+-96.086535,Westbound
Nebraska,I-80,52685,Exit 445,EXIT 445,US-275; NE-92; W Center Rd; I-L-Q Sts,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52685,41.231813,-96.086535,http://maps.google.com/maps?t=m&q=loc:41.231813+-96.086535,Westbound
Nebraska,I-80,52686,Exit 445,EXIT 445,US-275; NE-92,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52686,41.231813,-96.086535,http://maps.google.com/maps?t=m&q=loc:41.231813+-96.086535,Westbound
Nebraska,I-80,52687,Exit 445,EXIT 445,US-275; NE-92; I-L-Q Sts,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52687,41.231813,-96.086535,http://maps.google.com/maps?t=m&q=loc:41.231813+-96.086535,Westbound
Nebraska,I-80,52688,Exit 445,EXIT 445,NE-92 W; US-275 W; L St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52688,41.219145,-96.091678,http://maps.google.com/maps?t=m&q=loc:41.219145+-96.091678,Westbound
Nebraska,I-80,52689,Exit 445,EXIT 445,US-275; NE-92,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20445/52689,41.211401,-96.092124,http://maps.google.com/maps?t=m&q=loc:41.211401+-96.092124,Westbound
Nebraska,I-80,52690,Exit 446,EXIT 446,"I 680
          (MM: 446.0)","Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20446/52690,41.223547,-96.078357,http://maps.google.com/maps?t=m&q=loc:41.223547+-96.078357,Westbound
Nebraska,I-80,39748,Exit 442,EXIT 442,Giles Rd; Harrison St,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20442/39748,41.188517,-96.104353,http://maps.google.com/maps?t=m&q=loc:41.188517+-96.104353,Westbound
Nebraska,I-80,39749,Exit 440,EXIT 440,NE-50; 144th St; Springfield,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20440/39749,41.168285,-96.130355,http://maps.google.com/maps?t=m&q=loc:41.168285+-96.130355,Westbound
Nebraska,I-80,39750,Exit 439,EXIT 439,NE-370; Gretna,"Omaha, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20439/39750,41.151661,-96.15458,http://maps.google.com/maps?t=m&q=loc:41.151661+-96.15458,Westbound
Nebraska,I-80,39751,Exit 432,EXIT 432,NE-31; US-6; Gretna; Ashland,"Gretna, Nebraska",https://www.iexitapp.com/Nebraska/I-80/Exit%20432/39751,41.097631,-96.247632,http://maps.google.com/maps?t=m&q=loc:41.097631+-96.247632,Westbound
