state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Nevada,I-11,76549,Exit 2,EXIT 2,Hoover Dam,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%202/76549,36.010675,-114.76892,http://maps.google.com/maps?t=m&q=loc:36.010675+-114.76892,Northbound
Nevada,I-11,76550,Exit 2,EXIT 2,Boulder City; US 93 Business; Great Basin Highway,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%202/76550,36.010758,-114.7691,http://maps.google.com/maps?t=m&q=loc:36.010758+-114.7691,Northbound
Nevada,I-11,76551,Exit 14,EXIT 14,US 93 Business; US 95 South,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2014/76551,35.949921,-114.89667,http://maps.google.com/maps?t=m&q=loc:35.949921+-114.89667,Northbound
Nevada,I-11,76552,Exit 15A,EXIT 15A,Railroad Pass Casino Rd,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2015A/76552,35.962395,-114.911417,http://maps.google.com/maps?t=m&q=loc:35.962395+-114.911417,Northbound
Nevada,I-11,32484,Exit 56A,EXIT 56A,Wagonwheel Dr; Nevada State Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2056A/32484,35.992579,-114.929054,http://maps.google.com/maps?t=m&q=loc:35.992579+-114.929054,Northbound
Nevada,I-11,32485,Exit 56B,EXIT 56B,NV-582 N; S Boulder Hwy,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2056B/32485,35.99535,-114.933603,http://maps.google.com/maps?t=m&q=loc:35.99535+-114.933603,Northbound
Nevada,I-11,32486,Exit 57,EXIT 57,College Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2057/32486,36.000084,-114.955612,http://maps.google.com/maps?t=m&q=loc:36.000084+-114.955612,Northbound
Nevada,I-11,32487,Exit 59,EXIT 59,Horizon Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2059/32487,36.005893,-114.985652,http://maps.google.com/maps?t=m&q=loc:36.005893+-114.985652,Northbound
Nevada,I-11,32488,Exit 61,EXIT 61,"NV 564;NV 564
          (MM: 61.0)","Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2061/32488,36.027124,-115.007085,http://maps.google.com/maps?t=m&q=loc:36.027124+-115.007085,Northbound
Nevada,I-11,32513,Exit 59,EXIT 59,Horizon Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2059/32513,36.015983,-114.994032,http://maps.google.com/maps?t=m&q=loc:36.015983+-114.994032,Southbound
Nevada,I-11,32514,Exit 57,EXIT 57,College Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2057/32514,35.999866,-114.970307,http://maps.google.com/maps?t=m&q=loc:35.999866+-114.970307,Southbound
Nevada,I-11,32515,Exit 56,EXIT 56,Wagonwheel Dr; Nevada State Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2056/32515,35.999529,-114.945706,http://maps.google.com/maps?t=m&q=loc:35.999529+-114.945706,Southbound
Nevada,I-11,76544,Exit 15B,EXIT 15B,Boulder City Parkway,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2015B/76544,35.974326,-114.914774,http://maps.google.com/maps?t=m&q=loc:35.974326+-114.914774,Southbound
Nevada,I-11,76545,Exit 15A,EXIT 15A,Railroad Pass Casino Road,"Henderson, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2015A/76545,35.969891,-114.913587,http://maps.google.com/maps?t=m&q=loc:35.969891+-114.913587,Southbound
Nevada,I-11,76546,Exit 14,EXIT 14,Searchlight; Boulder City; US 95 South,"Boulder City, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%2014/76546,35.955842,-114.907973,http://maps.google.com/maps?t=m&q=loc:35.955842+-114.907973,Southbound
Nevada,I-11,76547,Robert L Mendenhall Scenic Overlook,SCENIC AREA,Robert L Mendenhall Scenic Overlook,"Boulder City, Nevada",https://www.iexitapp.com/Nevada/I-11/Scenic%20Area/76547,35.993118,-114.799695,http://maps.google.com/maps?t=m&q=loc:35.993118+-114.799695,Southbound
Nevada,I-11,76548,Exit 2,EXIT 2,Boulder City; US 93 Business; Hoover Dam,"Boulder City, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%202/76548,36.007795,-114.78019,http://maps.google.com/maps?t=m&q=loc:36.007795+-114.78019,Southbound
Nevada,I-11,76543,Great Basin Highway,EXIT,Great Basin Highway,"Boulder City, Nevada",https://www.iexitapp.com/Nevada/I-11/Exit%20%20/76543,36.010662,-114.769175,http://maps.google.com/maps?t=m&q=loc:36.010662+-114.769175,Southbound
