state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Nevada,I-215,56448,Exit 49,EXIT 49,Exit,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2049/56448,36.28945,-115.074254,http://maps.google.com/maps?t=m&q=loc:36.28945+-115.074254,Southbound
Nevada,I-215,56449,Exit 48,EXIT 48,Exit,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2048/56449,36.28997,-115.091343,http://maps.google.com/maps?t=m&q=loc:36.28997+-115.091343,Southbound
Nevada,I-215,56450,Exit 47,EXIT 47,Exit,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2047/56450,36.289739,-115.109503,http://maps.google.com/maps?t=m&q=loc:36.289739+-115.109503,Southbound
Nevada,I-215,56451,Exit 46,EXIT 46,North 5th Street,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2046/56451,36.290406,-115.128555,http://maps.google.com/maps?t=m&q=loc:36.290406+-115.128555,Southbound
Nevada,I-215,56452,Exit 43,EXIT 43,Aliante Parkway,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2043/56452,36.292467,-115.175454,http://maps.google.com/maps?t=m&q=loc:36.292467+-115.175454,Southbound
Nevada,I-215,56453,Exit 41,EXIT 41,Exit 41; Decatur Blvd,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2041/56453,36.276377,-115.198755,http://maps.google.com/maps?t=m&q=loc:36.276377+-115.198755,Southbound
Nevada,I-215,56454,Exit 40,EXIT 40,40; Jones Blvd,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2040/56454,36.275299,-115.219052,http://maps.google.com/maps?t=m&q=loc:36.275299+-115.219052,Southbound
Nevada,I-215,56455,Exit 35,EXIT 35,Hualapai Way,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2035/56455,36.280518,-115.305629,http://maps.google.com/maps?t=m&q=loc:36.280518+-115.305629,Southbound
Nevada,I-215,56456,Exit,EXIT,Exit,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%20/56456,36.251477,-115.314982,http://maps.google.com/maps?t=m&q=loc:36.251477+-115.314982,Southbound
Nevada,I-215,34199,Exit 30,EXIT 30,Cheyenne Ave,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2030/34199,36.225727,-115.325677,http://maps.google.com/maps?t=m&q=loc:36.225727+-115.325677,Southbound
Nevada,I-215,34200,Exit 29,EXIT 29,W Lake Mead Blvd,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2029/34200,36.210922,-115.33702,http://maps.google.com/maps?t=m&q=loc:36.210922+-115.33702,Southbound
Nevada,I-215,34201,Exit 28,EXIT 28,Summerlin Parkway,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2028/34201,36.197581,-115.341926,http://maps.google.com/maps?t=m&q=loc:36.197581+-115.341926,Southbound
Nevada,I-215,34202,Exit 27,EXIT 27,Far Hills Ave,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/I-215/Exit%2027/34202,36.186516,-115.342919,http://maps.google.com/maps?t=m&q=loc:36.186516+-115.342919,Southbound
