state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Nevada,US 95,43073,Exit 56A,EXIT 56A,Wagonwheel Dr; Nevada State Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2056A/43073,35.992579,-114.929054,http://maps.google.com/maps?t=m&q=loc:35.992579+-114.929054,Northbound
Nevada,US 95,43074,Exit 56B,EXIT 56B,NV-582 N; S Boulder Hwy,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2056B/43074,35.99535,-114.933603,http://maps.google.com/maps?t=m&q=loc:35.99535+-114.933603,Northbound
Nevada,US 95,43075,Exit 57,EXIT 57,College Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2057/43075,36.000084,-114.955612,http://maps.google.com/maps?t=m&q=loc:36.000084+-114.955612,Northbound
Nevada,US 95,43076,Exit 59,EXIT 59,Horizon Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2059/43076,36.005893,-114.985652,http://maps.google.com/maps?t=m&q=loc:36.005893+-114.985652,Northbound
Nevada,US 95,43077,Exit 61,EXIT 61,"NV 564;NV 564
          (MM: 61.0)","Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2061/43077,36.027124,-115.007085,http://maps.google.com/maps?t=m&q=loc:36.027124+-115.007085,Northbound
Nevada,US 95,43078,Exit 62,EXIT 62,Auto Show Dr,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2062/43078,36.039644,-115.020254,http://maps.google.com/maps?t=m&q=loc:36.039644+-115.020254,Northbound
Nevada,US 95,43079,Exit 64A,EXIT 64A,Sunset Rd W,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2064A/43079,36.059272,-115.029038,http://maps.google.com/maps?t=m&q=loc:36.059272+-115.029038,Northbound
Nevada,US 95,43080,Exit 64B,EXIT 64B,Galleria Drive,"Henderson, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2064B/43080,36.061968,-115.030685,http://maps.google.com/maps?t=m&q=loc:36.061968+-115.030685,Northbound
Nevada,US 95,43081,Exit 65,EXIT 65,Russell Road,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2065/43081,36.080822,-115.044745,http://maps.google.com/maps?t=m&q=loc:36.080822+-115.044745,Northbound
Nevada,US 95,43082,Exit 68,EXIT 68,Tropicana Ave; Mc Carran Airport,"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2068/43082,36.095585,-115.078372,http://maps.google.com/maps?t=m&q=loc:36.095585+-115.078372,Northbound
Nevada,US 95,43083,Exit 69,EXIT 69,E Flamingo Road (SR 592),"Las Vegas, Nevada",https://www.iexitapp.com/Nevada/US%2095/Exit%2069/43083,36.109431,-115.082367,http://maps.google.com/maps?t=m&q=loc:36.109431+-115.082367,Northbound
