state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Hampshire,I-293,37900,Exit 1,EXIT 1,NH 28 (South Willow Street),"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%201/37900,42.959083,-71.429746,http://maps.google.com/maps?t=m&q=loc:42.959083+-71.429746,Northbound
New Hampshire,I-293,37901,Exit 2,EXIT 2,NH 3A (Brown Avenue),"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%202/37901,42.952172,-71.450178,http://maps.google.com/maps?t=m&q=loc:42.952172+-71.450178,Northbound
New Hampshire,I-293,37902,"NH 101 west to US 3 / NH 114, Everett Tpk. south – Nashua",EXIT,"NH 101 west to US 3 / NH 114, Everett Tpk. south – Nashua","Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%20/37902,42.946847,-71.46676,http://maps.google.com/maps?t=m&q=loc:42.946847+-71.46676,Northbound
New Hampshire,I-293,37904,Exit 4,EXIT 4,US 3 / NH 3A south / NH 114A,"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%204/37904,42.97007,-71.476079,http://maps.google.com/maps?t=m&q=loc:42.97007+-71.476079,Northbound
New Hampshire,I-293,37905,Exit 5,EXIT 5,Granite Street – West Manchester,"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%205/37905,42.980367,-71.470105,http://maps.google.com/maps?t=m&q=loc:42.980367+-71.470105,Northbound
New Hampshire,I-293,37906,Exit 6,EXIT 6,"Amoskeag Bridge/Goffstown Road – West Manchester, Downtown","Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%206/37906,43.000691,-71.474986,http://maps.google.com/maps?t=m&q=loc:43.000691+-71.474986,Northbound
New Hampshire,I-293,37907,Exit 7,EXIT 7,NH 3A north (Front Street),"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%207/37907,43.014235,-71.479889,http://maps.google.com/maps?t=m&q=loc:43.014235+-71.479889,Northbound
New Hampshire,I-293,37910,Exit 6,EXIT 6,"Amoskeag Bridge/Goffstown Road – West Manchester, Downtown","Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%206/37910,43.001898,-71.475277,http://maps.google.com/maps?t=m&q=loc:43.001898+-71.475277,Southbound
New Hampshire,I-293,37911,Exit 5,EXIT 5,Granite Street – West Manchester,"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%205/37911,42.990197,-71.471275,http://maps.google.com/maps?t=m&q=loc:42.990197+-71.471275,Southbound
New Hampshire,I-293,37912,Exit 4,EXIT 4,US 3 / NH 3A south / NH 114A,"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%204/37912,42.971974,-71.475161,http://maps.google.com/maps?t=m&q=loc:42.971974+-71.475161,Southbound
New Hampshire,I-293,37914,NH 101 west to US 3 / NH 114  Everett Tpk. south – Nashua,EXIT,NH 101 west to US 3 / NH 114  Everett Tpk. south – Nashua,"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%20/37914,42.947136,-71.470405,http://maps.google.com/maps?t=m&q=loc:42.947136+-71.470405,Southbound
New Hampshire,I-293,37915,Exit 2,EXIT 2,NH 3A (Brown Avenue),"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%202/37915,42.947659,-71.457577,http://maps.google.com/maps?t=m&q=loc:42.947659+-71.457577,Southbound
New Hampshire,I-293,37916,Exit 1,EXIT 1,NH 28 (South Willow Street),"Manchester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-293/Exit%201/37916,42.954431,-71.44308,http://maps.google.com/maps?t=m&q=loc:42.954431+-71.44308,Southbound
