state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Hampshire,I-95,5935,Exit 7,EXIT 7,Market Street; Woodbury Avenue,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%207/5935,43.088004,-70.772017,http://maps.google.com/maps?t=m&q=loc:43.088004+-70.772017,Southbound
New Hampshire,I-95,47470,Exit 5,EXIT 5,"US 4;NH 16
          (MM: 5.0)","Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%205/47470,43.075236,-70.788064,http://maps.google.com/maps?t=m&q=loc:43.075236+-70.788064,Southbound
New Hampshire,I-95,5936,Exit 5,EXIT 5,US-4; NH-16; Newington; Dover,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%205/5936,43.073323,-70.784282,http://maps.google.com/maps?t=m&q=loc:43.073323+-70.784282,Southbound
New Hampshire,I-95,5937,Exit 3A,EXIT 3A,Grafton Drive,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%203A/5937,43.060419,-70.800894,http://maps.google.com/maps?t=m&q=loc:43.060419+-70.800894,Southbound
New Hampshire,I-95,5938,Exit 3B,EXIT 3B,NH-33; Portsmouth; Greenland,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%203B/5938,43.058395,-70.804037,http://maps.google.com/maps?t=m&q=loc:43.058395+-70.804037,Southbound
New Hampshire,I-95,5939,Exit 2,EXIT 2,"Toll Lane
          (MM: 2.0)","North Hampton, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%202/5939,42.977977,-70.853346,http://maps.google.com/maps?t=m&q=loc:42.977977+-70.853346,Southbound
New Hampshire,I-95,47472,Toll,TOLL BOOTH,Toll,"North Hampton, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Toll/47472,42.968653,-70.855211,http://maps.google.com/maps?t=m&q=loc:42.968653+-70.855211,Southbound
New Hampshire,I-95,5940,New Hampshire Liquor Store,REST AREA,New Hampshire Liquor Store,"Hampton, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Rest%20Area/5940,42.941872,-70.8607,http://maps.google.com/maps?t=m&q=loc:42.941872+-70.8607,Southbound
New Hampshire,I-95,5941,Exit 1,EXIT 1,NH-107; Kingston; Seabrook,"Seabrook, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%201/5941,42.899124,-70.879075,http://maps.google.com/maps?t=m&q=loc:42.899124+-70.879075,Southbound
New Hampshire,I-95,5942,Exit 60,EXIT 60,MA-286 E; Beaches; Salisbury,"Seabrook, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Exit%2060/5942,42.884316,-70.882461,http://maps.google.com/maps?t=m&q=loc:42.884316+-70.882461,Southbound
New Hampshire,I-95,47641,Exit 60,REST AREA,"Visitor Center
          (MM: 60.0)","Seabrook, New Hampshire",https://www.iexitapp.com/New%20Hampshire/I-95/Rest%20Area/47641,42.884316,-70.882461,http://maps.google.com/maps?t=m&q=loc:42.884316+-70.882461,Southbound
