state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Hampshire,Spaulding Turnpike,41166,"US 202 east / NH 11 east to NH 125 – East Rochester, Sanford",EXIT,"US 202 east / NH 11 east to NH 125 – East Rochester, Sanford","Rochester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41166,43.333385,-70.983526,http://maps.google.com/maps?t=m&q=loc:43.333385+-70.983526,Southbound
New Hampshire,Spaulding Turnpike,41167,"NH 11 west – Farmington, Alton",EXIT,"NH 11 west – Farmington, Alton","Rochester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41167,43.322993,-70.991026,http://maps.google.com/maps?t=m&q=loc:43.322993+-70.991026,Southbound
New Hampshire,Spaulding Turnpike,41168,"US 202 – Rochester, Concord",EXIT,"US 202 – Rochester, Concord","Rochester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41168,43.298301,-70.994517,http://maps.google.com/maps?t=m&q=loc:43.298301+-70.994517,Southbound
New Hampshire,Spaulding Turnpike,41169,"NH 125 – Rochester, Gonic",EXIT,"NH 125 – Rochester, Gonic","Rochester, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41169,43.285441,-70.984745,http://maps.google.com/maps?t=m&q=loc:43.285441+-70.984745,Southbound
New Hampshire,Spaulding Turnpike,41170,"To NH 9 / NH 108 – Dover, Somersworth",EXIT,"To NH 9 / NH 108 – Dover, Somersworth","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41170,43.217886,-70.893836,http://maps.google.com/maps?t=m&q=loc:43.217886+-70.893836,Southbound
New Hampshire,Spaulding Turnpike,41171,"NH 9 to NH 155 – Downtown Dover, Madbury",EXIT,"NH 9 to NH 155 – Downtown Dover, Madbury","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41171,43.187451,-70.889114,http://maps.google.com/maps?t=m&q=loc:43.187451+-70.889114,Southbound
New Hampshire,Spaulding Turnpike,41172,"NH 9 to NH 155 – Downtown Dover, Madbury",EXIT,"NH 9 to NH 155 – Downtown Dover, Madbury","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41172,43.185048,-70.886986,http://maps.google.com/maps?t=m&q=loc:43.185048+-70.886986,Southbound
New Hampshire,Spaulding Turnpike,41173,"NH 9 to NH 155 – Downtown Dover, Madbury",EXIT,"NH 9 to NH 155 – Downtown Dover, Madbury","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41173,43.182886,-70.882547,http://maps.google.com/maps?t=m&q=loc:43.182886+-70.882547,Southbound
New Hampshire,Spaulding Turnpike,41174,Toll,TOLL BOOTH,Toll,"Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Toll/41174,43.137084,-70.841684,http://maps.google.com/maps?t=m&q=loc:43.137084+-70.841684,Southbound
New Hampshire,Spaulding Turnpike,41175,Exit 6,EXIT 6,"US 4 – Durham, Concord","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%206/41175,43.135178,-70.840963,http://maps.google.com/maps?t=m&q=loc:43.135178+-70.840963,Southbound
New Hampshire,Spaulding Turnpike,41176,Exit 4,EXIT 4,Newington Village,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%204/41176,43.11467,-70.8217,http://maps.google.com/maps?t=m&q=loc:43.11467+-70.8217,Southbound
New Hampshire,Spaulding Turnpike,41177,Exit 3,EXIT 3,Woodbury AvenueS,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%203/41177,43.107235,-70.815142,http://maps.google.com/maps?t=m&q=loc:43.107235+-70.815142,Southbound
New Hampshire,Spaulding Turnpike,41178,Exit 1,EXIT 1,Gosling Road – Pease International Tradeport,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%201/41178,43.09494,-70.807547,http://maps.google.com/maps?t=m&q=loc:43.09494+-70.807547,Southbound
