state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Hampshire,Spaulding Turnpike,41149,Exit 1,EXIT 1,Gosling Road – Pease International Tradeport,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%201/41149,43.087333,-70.798103,http://maps.google.com/maps?t=m&q=loc:43.087333+-70.798103,Northbound
New Hampshire,Spaulding Turnpike,41150,Exit 2,EXIT 2,Fox Run Road,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%202/41150,43.098702,-70.809676,http://maps.google.com/maps?t=m&q=loc:43.098702+-70.809676,Northbound
New Hampshire,Spaulding Turnpike,41151,Exit 4,EXIT 4,Newington Village,"Portsmouth, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%204/41151,43.111875,-70.817372,http://maps.google.com/maps?t=m&q=loc:43.111875+-70.817372,Northbound
New Hampshire,Spaulding Turnpike,41152,Hilton Park,EXIT,Hilton Park,"Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41152,43.12279,-70.8306,http://maps.google.com/maps?t=m&q=loc:43.12279+-70.8306,Northbound
New Hampshire,Spaulding Turnpike,41153,Dover,EXIT,Dover,"Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41153,43.127851,-70.837452,http://maps.google.com/maps?t=m&q=loc:43.127851+-70.837452,Northbound
New Hampshire,Spaulding Turnpike,41154,"US 4 – Durham, Concord",EXIT,"US 4 – Durham, Concord","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41154,43.130483,-70.838592,http://maps.google.com/maps?t=m&q=loc:43.130483+-70.838592,Northbound
New Hampshire,Spaulding Turnpike,41155,"NH 108 – Dover, Durham",EXIT,"NH 108 – Dover, Durham","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41155,43.179272,-70.872938,http://maps.google.com/maps?t=m&q=loc:43.179272+-70.872938,Northbound
New Hampshire,Spaulding Turnpike,41156,NH 9 east – Downtown Dover,EXIT,NH 9 east – Downtown Dover,"Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41156,43.18249,-70.880519,http://maps.google.com/maps?t=m&q=loc:43.18249+-70.880519,Northbound
New Hampshire,Spaulding Turnpike,41157,NH 9 to NH 155 west – Madbury,EXIT,NH 9 to NH 155 west – Madbury,"Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41157,43.18533,-70.887025,http://maps.google.com/maps?t=m&q=loc:43.18533+-70.887025,Northbound
New Hampshire,Spaulding Turnpike,41158,"To NH 9 / NH 108 – Dover, Somersworth",EXIT,"To NH 9 / NH 108 – Dover, Somersworth","Dover, New Hampshire",https://www.iexitapp.com/New%20Hampshire/Spaulding%20Turnpike/Exit%20/41158,43.216712,-70.892528,http://maps.google.com/maps?t=m&q=loc:43.216712+-70.892528,Northbound
