state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,Garden State Parkway,42840,Exit 4,EXIT 4,"Route 47 – Wildwood, Wildwood Crest, Rio Grande","Cape May, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%204/42840,39.004766,-74.868853,http://maps.google.com/maps?t=m&q=loc:39.004766+-74.868853,Northbound
New Jersey,Garden State Parkway,42841,Exit 9,EXIT 9,To US 9 (Shell Bay Avenue) – Mayville,"Cape May Court House, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%209/42841,39.0653,-74.831225,http://maps.google.com/maps?t=m&q=loc:39.0653+-74.831225,Northbound
New Jersey,Garden State Parkway,76733,Exit 10,EXIT 10,Stone Harbor; Cape May Court House,"Middle Township, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%2010/76733,39.082014,-74.817484,http://maps.google.com/maps?t=m&q=loc:39.082014+-74.817484,Northbound
New Jersey,Garden State Parkway,76734,Exit 11,EXIT 11,To US 9; Crest Haven Rd,"Middle Township, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%2011/76734,39.09641,-74.80855,http://maps.google.com/maps?t=m&q=loc:39.09641+-74.80855,Northbound
New Jersey,Garden State Parkway,42842,Exit 13,EXIT 13,"US 9 (CR 601) – Swainton, Avalon","Cape May Court House, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%2013/42842,39.126591,-74.771464,http://maps.google.com/maps?t=m&q=loc:39.126591+-74.771464,Northbound
New Jersey,Garden State Parkway,76729,Oceanview Service Area,SERVICE PLAZA,"Oceanview Service Area
          (MM: 18.3)","Dennis, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Service%20Plaza/76729,39.17801,-74.72459,http://maps.google.com/maps?t=m&q=loc:39.17801+-74.72459,Northbound
New Jersey,Garden State Parkway,42843,Toll,TOLL BOOTH,Toll,"Ocean View, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Toll/42843,39.191075,-74.712493,http://maps.google.com/maps?t=m&q=loc:39.191075+-74.712493,Northbound
New Jersey,Garden State Parkway,42844,Exit 20,EXIT 20,Route 50 north / US 9 – Upper Township,"Ocean View, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%2020/42844,39.201473,-74.7007,http://maps.google.com/maps?t=m&q=loc:39.201473+-74.7007,Northbound
New Jersey,Garden State Parkway,42845,Picnic Area,PICNIC AREA,Picnic Area,"Ocean View, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Picnic%20Area/42845,39.230528,-74.672791,http://maps.google.com/maps?t=m&q=loc:39.230528+-74.672791,Northbound
New Jersey,Garden State Parkway,42846,Exit 25,EXIT 25,"CR 623 / US 9 south – Ocean City, Marmora","Marmora, New Jersey",https://www.iexitapp.com/New%20Jersey/Garden%20State%20Parkway/Exit%2025/42846,39.257977,-74.645482,http://maps.google.com/maps?t=m&q=loc:39.257977+-74.645482,Northbound
