state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,I-280,35693,(508); Newark Turnpike,EXIT,(508); Newark Turnpike,"Kearny, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%20/35693,40.75375,-74.126076,http://maps.google.com/maps?t=m&q=loc:40.75375+-74.126076,Westbound
New Jersey,I-280,35694,Exit 17A,EXIT 17A,"CR 508 – Jersey City, Kearny","Kearny, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2017A/35694,40.750089,-74.128574,http://maps.google.com/maps?t=m&q=loc:40.750089+-74.128574,Westbound
New Jersey,I-280,35695,Exit 16,EXIT 16,"Harrison, Newark (CR 508)","Harrison, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2016/35695,40.742497,-74.149298,http://maps.google.com/maps?t=m&q=loc:40.742497+-74.149298,Westbound
New Jersey,I-280,35696,"Exit 15A,B","EXIT 15A,B","Route 21 south – Downtown Newark, Ironbound / Route 21 north – Belleville","Newark, New Jersey","https://www.iexitapp.com/New%20Jersey/I-280/Exit%2015A,B/35696",40.748109,-74.166843,http://maps.google.com/maps?t=m&q=loc:40.748109+-74.166843,Westbound
New Jersey,I-280,35697,Exit 14B,EXIT 14B,"Martin Luther King Boulevard – Broad Street Station, Rutgers University, NJIT, Essex County College","Newark, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2014B/35697,40.747773,-74.170901,http://maps.google.com/maps?t=m&q=loc:40.747773+-74.170901,Westbound
New Jersey,I-280,35698,Exit 14A,EXIT 14A,Clifton Avenue,"Newark, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2014A/35698,40.749122,-74.177622,http://maps.google.com/maps?t=m&q=loc:40.749122+-74.177622,Westbound
New Jersey,I-280,35699,Exit 13,EXIT 13,"1st Street – Branch Brook Park, UMDNJ, NJIT","Newark, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2013/35699,40.751561,-74.187155,http://maps.google.com/maps?t=m&q=loc:40.751561+-74.187155,Westbound
New Jersey,I-280,35700,Exit 12B,EXIT 12B,G.S. Pkwy. / Oraton Parkway,"East Orange, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2012B/35700,40.755312,-74.198871,http://maps.google.com/maps?t=m&q=loc:40.755312+-74.198871,Westbound
New Jersey,I-280,35702,Exit 11B,EXIT 11B,"Day Street, Essex Avenue – Orange","Orange, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2011B/35702,40.767716,-74.226658,http://maps.google.com/maps?t=m&q=loc:40.767716+-74.226658,Westbound
New Jersey,I-280,35703,Exit 10,EXIT 10,"CR 508 – West Orange, South Orange, Montclair","West Orange, New Jersey",https://www.iexitapp.com/New%20Jersey/I-280/Exit%2010/35703,40.773969,-74.24097,http://maps.google.com/maps?t=m&q=loc:40.773969+-74.24097,Westbound
