state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Jersey,I-676,35360,"US 30 east to US 130 / NJ Tpk. – Cherry Hill, Trenton",EXIT,"US 30 east to US 130 / NJ Tpk. – Cherry Hill, Trenton","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%20/35360,39.948877,-75.119586,http://maps.google.com/maps?t=m&q=loc:39.948877+-75.119586,Eastbound
New Jersey,I-676,35361,"Broadway, University District, Campbell&#39;s Field",EXIT,"Broadway, University District, Campbell's Field","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%20/35361,39.947832,-75.118146,http://maps.google.com/maps?t=m&q=loc:39.947832+-75.118146,Eastbound
New Jersey,I-676,35362,Exit 5B,EXIT 5B,"6th Street, Broadway – Downtown Camden, Rutgers University","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%205B/35362,39.945731,-75.114484,http://maps.google.com/maps?t=m&q=loc:39.945731+-75.114484,Eastbound
New Jersey,I-676,35363,Exit 5A,EXIT 5A,"To US 30 (M.L. King Boulevard) – Campbell Place, Waterfront","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%205A/35363,39.943882,-75.113769,http://maps.google.com/maps?t=m&q=loc:39.943882+-75.113769,Eastbound
New Jersey,I-676,35364,Exit 4,EXIT 4,Kaighns Avenue (CR 607) / Atlantic Avenue,"Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%204/35364,39.930706,-75.113778,http://maps.google.com/maps?t=m&q=loc:39.930706+-75.113778,Eastbound
New Jersey,I-676,35365,Exit 3,EXIT 3,Broadway (CR 551) / Morgan Boulevard – Port Terminals,"Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%203/35365,39.91566,-75.116448,http://maps.google.com/maps?t=m&q=loc:39.91566+-75.116448,Eastbound
New Jersey,I-676,35366,Exit 2,2,I-76 west (Walt Whitman Bridge) – Philadelphia,"Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/JunctionNotTreatedAsJunction/35366,39.906477,-75.114075,http://maps.google.com/maps?t=m&q=loc:39.906477+-75.114075,Eastbound
New Jersey,I-676,35367,Exit 1C,EXIT 1C,"Collings Avenue, Gluocester","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%201C/35367,39.905143,-75.113721,http://maps.google.com/maps?t=m&q=loc:39.905143+-75.113721,Eastbound
New Jersey,I-676,35368,Exit 1B,EXIT 1B,"Collings Avenue, Collingswood","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%201B/35368,39.902632,-75.112988,http://maps.google.com/maps?t=m&q=loc:39.902632+-75.112988,Eastbound
New Jersey,I-676,35369,Exit 1A,EXIT 1A,"US 130 north / Route 168 south (Route 76C) – Camden, Trenton","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%201A/35369,39.8997,-75.111164,http://maps.google.com/maps?t=m&q=loc:39.8997+-75.111164,Eastbound
New Jersey,I-676,35386,Exit 1A,EXIT 1A,"US 130 north / Route 168 south (Route 76C) – Camden, Trenton","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%201A/35386,39.8997,-75.111164,http://maps.google.com/maps?t=m&q=loc:39.8997+-75.111164,Westbound
New Jersey,I-676,35371,Exit 1,EXIT 1,"Collings Avenue (CR 630) – Gloucester City, Collingswood","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%201/35371,39.902962,-75.111629,http://maps.google.com/maps?t=m&q=loc:39.902962+-75.111629,Westbound
New Jersey,I-676,35372,Exit 3,EXIT 3,Broadway (CR 551) / Morgan Boulevard – Port Terminals,"Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%203/35372,39.910099,-75.11509,http://maps.google.com/maps?t=m&q=loc:39.910099+-75.11509,Westbound
New Jersey,I-676,35373,Exit 4,EXIT 4,Kaighns Avenue (CR 607) / Atlantic Avenue,"Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%204/35373,39.926703,-75.115906,http://maps.google.com/maps?t=m&q=loc:39.926703+-75.115906,Westbound
New Jersey,I-676,35374,Exit 5A,EXIT 5A,"To US 30 (M.L. King Boulevard) – Campbell Place, Waterfront","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%205A/35374,39.943022,-75.113426,http://maps.google.com/maps?t=m&q=loc:39.943022+-75.113426,Westbound
New Jersey,I-676,35375,Exit 5B,EXIT 5B,"Market Street (CR 537) – Downtown Camden, Adventure Aquarium","Camden, New Jersey",https://www.iexitapp.com/New%20Jersey/I-676/Exit%205B/35375,39.946862,-75.114577,http://maps.google.com/maps?t=m&q=loc:39.946862+-75.114577,Westbound
